,id,publisher,publisher_url,rating,developer,multigenre,player,metascore_how,metascore_review,userscore_how,userscore_review
0,102184,Midway,https://www.metacritic.com/company/midway,T,Kuju Entertainment,"Simulation, Flight, Helicopter",,Mixed or average reviews,20,No user score yet,
1,102090,Sammy Studios,https://www.metacritic.com/company/sammy-studios,E,Bit Town,"Simulation, Flight, Modern Jet",,Mixed or average reviews,16,No user score yet,
2,102107,Ubisoft,https://www.metacritic.com/company/ubisoft,E,Eagle Dynamics,"Simulation, Flight, Modern Jet, Combat",,Generally favorable reviews,4,Generally favorable reviews,13
3,101918,Xicat Interactive,https://www.metacritic.com/company/xicat-interactive,E,Mad Doc Software,"Simulation, Flight, WWII, Modern Jet, Combat",,Mixed or average reviews,9,No user score yet,
4,101838,Simon & Schuster,https://www.metacritic.com/company/simon-schuster,E,iEntertainment Network,"Simulation, Flight, WWII, Combat",,Generally favorable reviews,4,Mixed or average reviews,4
5,101230,Ubisoft,https://www.metacritic.com/company/ubisoft,T,"1C, 1C Entertainment","Simulation, Flight, WWII, WWII, Combat",,Universal acclaim,12,Generally favorable reviews,179
6,161037,Konami,https://www.metacritic.com/company/konami,E,KCE Studios,"Simulation, Flight, Modern Jet",,Mixed or average reviews,21,Mixed or average reviews,8
7,101775,NovaLogic,https://www.metacritic.com/company/novalogic,T,NovaLogic,"Simulation, Flight, Helicopter, Helicopter, Combat, Civilian",Up to 16 Players,Mixed or average reviews,16,Generally favorable reviews,30
8,101456,Namco,https://www.metacritic.com/company/namco,E,Namco,"Simulation, Flight, Modern Jet",,Generally favorable reviews,22,Generally favorable reviews,152
9,101739,Titus Software,https://www.metacritic.com/company/titus-software,E,Titus Software,"Simulation, Flight, Modern Jet",,Mixed or average reviews,17,Generally unfavorable reviews,9
10,101585,Microsoft Game Studios,https://www.metacritic.com/company/microsoft-game-studios,E,Microsoft Game Studios,"Simulation, Flight, Civilian Plane, Civilian",,Universal acclaim,9,Mixed or average reviews,48
11,101647,Eidos Interactive,https://www.metacritic.com/company/eidos-interactive,T,Core Design Ltd.,"Action, Simulation, Shooter, Flight, Third-Person, Helicopter, Modern",,Mixed or average reviews,15,Mixed or average reviews,7
12,101782,Take-Two Interactive,https://www.metacritic.com/company/take-two-interactive,E,Rage Software,"Simulation, Flight, Modern Jet, Modern Jet, Combat",No Online Multiplayer,Mixed or average reviews,10,Mixed or average reviews,17
13,101774,Take-Two Interactive,https://www.metacritic.com/company/take-two-interactive,E,Syscom,"Simulation, Flight, Helicopter",,Mixed or average reviews,20,Mixed or average reviews,5
14,101664,WizardWorks,https://www.metacritic.com/company/wizardworks,T,Sunstorm Interactive,"Simulation, Flight, WWII, WWII, Combat",No Online Multiplayer,Generally unfavorable reviews,9,No user score yet,
15,102859,Bethesda Softworks,https://www.metacritic.com/company/bethesda-softworks,E,Buka Entertainment,"Simulation, Flight, Sci-Fi, Small Spaceship, Futuristic Jet, Combat",No Online Multiplayer,Mixed or average reviews,16,Mixed or average reviews,16
16,101635,Simon & Schuster,https://www.metacritic.com/company/simon-schuster,E,Zono Inc.,"Simulation, Flight, WWII, Combat",,Mixed or average reviews,4,Generally favorable reviews,29
17,160929,Xicat Interactive,https://www.metacritic.com/company/xicat-interactive,E,Marionette,"Simulation, Flight, WWII",,Mixed or average reviews,11,Generally favorable reviews,6
18,101286,Empire Interactive,https://www.metacritic.com/company/empire-interactive,T,Rowan Software Ltd.,"Simulation, Flight, WWII, Combat",,Generally favorable reviews,14,No user score yet,
19,101335,"Atari, MicroProse",https://www.metacritic.com/company/atari,T,Wayward Simulations,"Simulation, Flight, WWII, WWII, Combat",No Online Multiplayer,Generally favorable reviews,14,Mixed or average reviews,13
20,101434,Xicat Interactive,https://www.metacritic.com/company/xicat-interactive,E,Laminar Research,"Simulation, Flight, Civilian Plane, Civilian Plane, Civilian",,Mixed or average reviews,5,Mixed or average reviews,6
21,101337,Activision,https://www.metacritic.com/company/activision,E,CAProduction,"Simulation, Flight, WWII",,Generally favorable reviews,18,Generally favorable reviews,12
22,101210,TalonSoft,https://www.metacritic.com/company/talonsoft,E,Mission Studios,"Simulation, Flight, Modern Jet, Combat",,Mixed or average reviews,15,Mixed or average reviews,5
23,101237,Microsoft Game Studios,https://www.metacritic.com/company/microsoft-game-studios,E,Microsoft Game Studios,"Simulation, Flight, WWII, WWII, Combat",,Generally favorable reviews,22,Mixed or average reviews,10
24,102924,Microsoft Game Studios,https://www.metacritic.com/company/microsoft-game-studios,T,Zipper Interactive,"Simulation, Flight, Sci-Fi, Futuristic Jet, Futuristic Jet, Combat",,Generally favorable reviews,32,Generally favorable reviews,24
25,160841,Crave,https://www.metacritic.com/company/crave,E,CRI,"Simulation, Flight, Modern Jet",,Mixed or average reviews,20,Generally favorable reviews,10
26,102913,Empire Interactive,https://www.metacritic.com/company/empire-interactive,T,Razorworks,"Simulation, Flight, Helicopter, Helicopter, Combat, Civilian",Up to 16 Players,Generally favorable reviews,11,Mixed or average reviews,19
27,101243,EON Digital Entertainment,https://www.metacritic.com/company/eon-digital-entertainment,E,Paradox Interactive,"Simulation, Flight, Modern Jet, Modern Jet, Combat",,Generally favorable reviews,7,Generally favorable reviews,43
28,100560,SSI,https://www.metacritic.com/company/ssi,E,Flying Legends,"Simulation, Flight, Modern Jet, Modern Jet, Combat",,Generally favorable reviews,10,No user score yet,
29,100020,"Atari, MicroProse",https://www.metacritic.com/company/atari,T,"Atari, MicroProse","Simulation, Flight, Modern Jet, Modern Jet, Combat",,Generally favorable reviews,10,Generally favorable reviews,31
30,160618,Namco,https://www.metacritic.com/company/namco,T,Namco,"Simulation, Flight, Modern Jet",,Generally favorable reviews,10,Generally favorable reviews,60
31,143225,The Bearded Ladies Consulting,https://www.metacritic.com/company/the-bearded-ladies-consulting,E10+,The Bearded Ladies Consulting,"Simulation, Flight, Helicopter, Civilian",,Mixed or average reviews,10,Mixed or average reviews,4
32,126083,Legendo Entertainment,https://www.metacritic.com/company/legendo-entertainment,T,Arcade Moon,"Action, Simulation, General, Flight, WWII, WWII, Combat",,Mixed or average reviews,16,Generally favorable reviews,9
33,126766,Microsoft Game Studios,https://www.metacritic.com/company/microsoft-game-studios,E10+,Smart Bomb Interactive,"Action, Simulation, Flight, Flight, Combat",,Generally favorable reviews,30,Generally favorable reviews,30
34,150734,Coresoft Inc.,https://www.metacritic.com/company/coresoft-inc,T,Coresoft Inc.,"Simulation, Flight, WWII, WWII, Combat",,Overwhelming dislike,4,Generally unfavorable reviews,13
35,133565,Sega,https://www.metacritic.com/company/sega,E10+,Sega AM2,"Simulation, Flight, Modern Jet, Modern Jet, Combat",,Generally favorable reviews,24,Generally unfavorable reviews,42
36,133564,Sega,https://www.metacritic.com/company/sega,E10+,Sega AM2,"Simulation, Flight, Modern Jet, Modern Jet, Combat",,Mixed or average reviews,31,Generally favorable reviews,1266
37,145762,QubicGames,https://www.metacritic.com/company/qubicgames,E,NoWay Studio,"Simulation, Flight, Civilian Plane, Civilian Plane, Civilian",,Generally favorable reviews,6,No user score yet,
38,145814,Firemint Pty Ltd,https://www.metacritic.com/company/firemint-pty-ltd,E,Firemint Pty Ltd,"Simulation, Puzzle, Action, Flight, Civilian Plane, Civilian Plane",,Generally favorable reviews,4,No user score yet,
39,130432,QubicGames,https://www.metacritic.com/company/qubicgames,E,NoWay Studio,"Simulation, Flight, Civilian Plane, Civilian Plane, Civilian",,Mixed or average reviews,4,No user score yet,
40,112037,XSEED Games,https://www.metacritic.com/company/xseed-games,T,Access Games,"Action, Simulation, Flight, Flight, Modern Jet, Combat",,Mixed or average reviews,42,Generally favorable reviews,15
41,132520,YuPlay,https://www.metacritic.com/company/yuplay,T,Gaijin Entertainment,"Simulation, Flight, WWII, WWII, Combat",No Online Multiplayer,Generally favorable reviews,16,Generally favorable reviews,106
42,135120,Gameloft,https://www.metacritic.com/company/gameloft,,Gameloft,"Action, Simulation, General, Flight, Combat",,Generally favorable reviews,7,Generally favorable reviews,8
43,131766,Namco Networks America,https://www.metacritic.com/company/namco-networks-america,,"Namco Networks America, Project Aces ","Action, Simulation, General, Flight, Modern Jet, Combat",,Mixed or average reviews,9,No user score yet,
44,114440,"Digital Leisure Inc., Digital Leisure",https://www.metacritic.com/company/digital-leisure-inc,E,"Digital Leisure Inc., Digital Leisure","Simulation, Flight, Helicopter, Helicopter, Civilian",,Generally unfavorable reviews,4,Overwhelming dislike,8
45,111539,Ubisoft,https://www.metacritic.com/company/ubisoft,T,"Atari, Transmission Games, Atari SA","Simulation, Flight, WWII, WWII, Combat",Up to 16 Players,Mixed or average reviews,34,Mixed or average reviews,17
46,111540,Ubisoft,https://www.metacritic.com/company/ubisoft,T,Transmission Games,"Simulation, Flight, WWII, WWII, Combat",Up to 16 Players,Mixed or average reviews,39,Generally favorable reviews,9
47,112481,"1C, 505 Games, 1C Entertainment",https://www.metacritic.com/company/1c,E10+,DiP Interactive,"Simulation, Flight, WWII, WWII, Combat",,Generally unfavorable reviews,4,Generally unfavorable reviews,8
48,112478,"1C, 505 Games, 1C Entertainment",https://www.metacritic.com/company/1c,T,Gaijin Entertainment,"Simulation, Flight, WWII, WWII, Combat",Up to 16 Players,Generally favorable reviews,43,Generally favorable reviews,23
49,112479,"1C, 505 Games, 1C Entertainment",https://www.metacritic.com/company/1c,T,Gaijin Entertainment,"Simulation, Flight, WWII, WWII, Combat",Up to 16 Players,Generally favorable reviews,28,Generally favorable reviews,26
50,111538,Ubisoft,https://www.metacritic.com/company/ubisoft,T,"Atari, Transmission Games, Atari SA","Simulation, Flight, WWII, WWII, Combat",,Mixed or average reviews,20,Mixed or average reviews,12
51,115017,777 Studios,https://www.metacritic.com/company/777-studios,E10+,neoqb,"Simulation, Flight, WWI, WWI, Combat",,Generally favorable reviews,14,Generally favorable reviews,84
52,114100,Graffiti Entertainment,https://www.metacritic.com/company/graffiti-entertainment,T,Cowboy Rodeo,"Simulation, Flight, WWII, WWII, Combat",,Generally unfavorable reviews,12,Generally unfavorable reviews,4
53,109978,Take-Two Interactive,https://www.metacritic.com/company/take-two-interactive,T,Eagle Dynamics,"Simulation, Flight, Helicopter, Helicopter, Civilian",,Generally favorable reviews,12,Generally favorable reviews,62
54,111152,Ubisoft,https://www.metacritic.com/company/ubisoft,T,Ubisoft Romania,"Action, Simulation, Flight, Flight, Combat",,Mixed or average reviews,23,Mixed or average reviews,140
55,111153,Ubisoft,https://www.metacritic.com/company/ubisoft,T,Ubisoft Romania,"Action, Simulation, Flight, Flight, Combat",,Mixed or average reviews,35,Generally favorable reviews,49
56,111154,Ubisoft,https://www.metacritic.com/company/ubisoft,T,Ubisoft Romania,"Action, Simulation, Flight, Flight, Combat",,Mixed or average reviews,64,Mixed or average reviews,55
57,112424,"Paradox Interactive, GamersGate",https://www.metacritic.com/company/paradox-interactive,E10+,Paradox Interactive,"Simulation, Flight, Sci-Fi, Space, Futuristic Jet, Futuristic Jet, Combat",No Online Multiplayer,Mixed or average reviews,13,Mixed or average reviews,6
58,110627,XS Games,https://www.metacritic.com/company/xs-games,E10+,Kando Games,"Simulation, Flight, Modern Jet, Modern Jet, Combat",,Generally unfavorable reviews,4,No user score yet,
59,113086,SCEA,https://www.metacritic.com/company/scea,T,Incognito Inc.,"Action, Simulation, Shooter, Flight, Shooter, Third-Person, Combat, Sci-Fi, Sci-Fi, Arcade",,Generally favorable reviews,4,Generally favorable reviews,9
60,112153,SCEA,https://www.metacritic.com/company/scea,T,Incognito Inc.,"Action, Simulation, Shooter, Flight, Shooter, Third-Person, Combat, Sci-Fi, Sci-Fi, Arcade",,Generally favorable reviews,4,Generally favorable reviews,12
61,111610,Destineer,https://www.metacritic.com/company/destineer,T,Arcade Moon,"Simulation, Flight, WWII, WWII, Combat",,Generally unfavorable reviews,7,Mixed or average reviews,18
62,111883,Destineer,https://www.metacritic.com/company/destineer,E10+,Big John Games,"Action, Flight, Flight",4 Players Online,Generally unfavorable reviews,10,No user score yet,
63,110214,Ubisoft,https://www.metacritic.com/company/ubisoft,T,Ubisoft Romania,"Simulation, Flight, WWII, WWII, Combat",16 Players Online Up to 16 Players,Mixed or average reviews,10,Mixed or average reviews,13
64,109844,"Namco Bandai Games America, Namco Bandai Games",https://www.metacritic.com/company/namco-bandai-games-america,T,Project Aces ,"Action, Simulation, Flight, Flight, Combat",16 Players Online Up to 16 Players,Generally favorable reviews,54,Generally favorable reviews,123
65,109792,Microsoft Game Studios,https://www.metacritic.com/company/microsoft-game-studios,E10+,Microsoft Game Studios,"Simulation, Flight, Modern Jet, Combat, Civilian",,Generally favorable reviews,15,Generally favorable reviews,31
66,109582,Ubisoft,https://www.metacritic.com/company/ubisoft,T,Ubisoft Romania,"Simulation, Flight, WWII, WWII, Combat",16 Players Online,Mixed or average reviews,9,Mixed or average reviews,10
