,id,publisher,publisher_url,rating,developer,multigenre,player,metascore_how,metascore_review,userscore_how,userscore_review
0,161823,Kemco,https://www.metacritic.com/company/kemco,E,SystemSoft,"Strategy, Turn-Based, Modern",,Mixed or average reviews,11,Generally favorable reviews,8
1,103268,Matrix Games,https://www.metacritic.com/company/matrix-games,,Matrix Games,"Strategy, Turn-Based, Historic",2 Players Online,Generally favorable reviews,5,No user score yet,
2,104258,Matrix Games,https://www.metacritic.com/company/matrix-games,,"Slitherine Software, Slitherine","Strategy, Turn-Based, Historic, General",,Mixed or average reviews,6,Generally favorable reviews,10
3,104015,Sega,https://www.metacritic.com/company/sega,,Team17,"Strategy, Turn-Based, Fantasy, Fantasy, Artillery",4 Players Online,Mixed or average reviews,10,Mixed or average reviews,31
4,103775,Strategy First,https://www.metacritic.com/company/strategy-first,E,Stardock,"Strategy, Turn-Based, Real-Time, Sci-Fi, 4X",No Online Multiplayer,Generally favorable reviews,11,Mixed or average reviews,8
5,162467,EA Games,https://www.metacritic.com/company/ea-games,T,Griptonite Games,"Strategy, Turn-Based, Fantasy",,Mixed or average reviews,7,Generally favorable reviews,21
6,104317,Matrix Games,https://www.metacritic.com/company/matrix-games,,Koios Works,"Strategy, Turn-Based, Historic",2 Players Online,Generally favorable reviews,5,No user score yet,
7,103473,NIS America,https://www.metacritic.com/company/nis-america,T,Nippon Ichi Software,"Strategy, Turn-Based, Fantasy",,Generally favorable reviews,40,Generally favorable reviews,30
8,103436,Square Enix,https://www.metacritic.com/company/square-enix,T,Square Enix,"Strategy, Turn-Based, Sci-Fi",,Generally favorable reviews,39,Generally favorable reviews,38
9,162287,Atlus Co.,https://www.metacritic.com/company/atlus-co,T,Amusement Vision,"Strategy, Turn-Based, Fantasy",,Generally favorable reviews,20,Generally favorable reviews,24
10,103363,Graphsim Entertainment,https://www.metacritic.com/company/graphsim-entertainment,T,Slitherine,"Strategy, Turn-Based, Historic, General, Historic",,Mixed or average reviews,13,Generally favorable reviews,32
11,162363,Crave,https://www.metacritic.com/company/crave,T,Zed Two Limited,"Strategy, Turn-Based, Sci-Fi",,Mixed or average reviews,19,No user score yet,
12,103569,Crave,https://www.metacritic.com/company/crave,T,Zed Two Limited,"Strategy, Turn-Based, Sci-Fi",,Mixed or average reviews,25,Mixed or average reviews,9
13,163254,Crave,https://www.metacritic.com/company/crave,T,,"Strategy, Turn-Based, Sci-Fi",,Mixed or average reviews,24,No user score yet,
14,102597,Mastiff,https://www.metacritic.com/company/mastiff,T,Nippon Ichi Software,"Strategy, Turn-Based, Fantasy",,Generally favorable reviews,47,Generally favorable reviews,22
15,103748,Wargaming.net,https://www.metacritic.com/company/wargamingnet,,Wargaming.net,"Strategy, Turn-Based, Sci-Fi, General",,Mixed or average reviews,10,Generally unfavorable reviews,5
16,102472,Acclaim,https://www.metacritic.com/company/acclaim,T,Team17,"Strategy, Turn-Based, Real-Time, Fantasy, Fantasy, Artillery",,Mixed or average reviews,15,Mixed or average reviews,84
17,103518,Koei,https://www.metacritic.com/company/koei,E,Koei,"Strategy, Turn-Based, Historic",,Mixed or average reviews,17,Generally favorable reviews,16
