,id,publisher,publisher_url,rating,developer,multigenre,player,metascore_how,metascore_review,userscore_how,userscore_review
0,285022,Team17,https://www.metacritic.com/company/team17,E10+,Team17,"Strategy, Turn-Based, Wargame, Artillery",Up to 4 Players,Mixed or average reviews,16,Mixed or average reviews,82
1,284627,Team17,https://www.metacritic.com/company/team17,E10+,Team17,"Strategy, Turn-Based, Wargame, Artillery",,Mixed or average reviews,12,Mixed or average reviews,41
2,174700,Microsoft Game Studios,https://www.metacritic.com/company/microsoft-game-studios,T,Signal Studios,"Strategy, Real-Time, Wargame, Real-Time, General",No Online Multiplayer,Mixed or average reviews,4,Mixed or average reviews,90
3,173856,Paradox Interactive,https://www.metacritic.com/company/paradox-interactive,T,Paradox Development Studio,"Strategy, Real-Time, Wargame, Real-Time, General",,Mixed or average reviews,13,Mixed or average reviews,85
4,174699,Microsoft Game Studios,https://www.metacritic.com/company/microsoft-game-studios,T,Signal Studios,"Strategy, Real-Time, Wargame, Real-Time, General",,Generally favorable reviews,46,Generally favorable reviews,127
5,154759,Paradox Interactive,https://www.metacritic.com/company/paradox-interactive,RP,BattleGoat Studios,"Strategy, Turn-Based, Wargame, Turn-Based, General",16 Players Online,Mixed or average reviews,12,Mixed or average reviews,28
6,166673,Slitherine,https://www.metacritic.com/company/slitherine,,The Lordz Games Studio,"Strategy, Turn-Based, Real-Time, Wargame, Real-Time, General, Tactics",,Generally favorable reviews,12,Generally favorable reviews,88
7,181213,"Games Distillery, Just A Game",https://www.metacritic.com/company/games-distillery,,Games Distillery,"Action, Strategy, Wargame, Shooter, Real-Time, Shoot-'Em-Up, Top-Down",,Mixed or average reviews,4,Mixed or average reviews,16
8,180296,Battlefront.com,https://www.metacritic.com/company/battlefrontcom,,Battlefront.com,"Wargame, Turn-Based, Strategy, Turn-Based, General",2 Players,Generally favorable reviews,4,Mixed or average reviews,47
9,174767,Electronic Arts,https://www.metacritic.com/company/electronic-arts,E10+,Stainless Games,"Strategy, Miscellaneous, Turn-Based, Wargame, Board / Card Game, Turn-Based, General",,Generally favorable reviews,4,Mixed or average reviews,14
10,155425,Team17,https://www.metacritic.com/company/team17,E10+,Team17,"Strategy, Turn-Based, Wargame, Turn-Based, Fantasy, Artillery",Up to 4 Players,Generally favorable reviews,13,Generally favorable reviews,26
11,154010,Team17,https://www.metacritic.com/company/team17,E10+,Team17,"Strategy, Turn-Based, General, Wargame, General, Fantasy, Artillery",,Generally favorable reviews,28,Mixed or average reviews,208
12,133510,Electronic Arts,https://www.metacritic.com/company/electronic-arts,E10+,Stainless Games,"Strategy, Miscellaneous, Turn-Based, Wargame, Board / Card Game, Turn-Based, General",,Generally favorable reviews,33,Mixed or average reviews,26
13,126744,Microsoft Game Studios,https://www.metacritic.com/company/microsoft-game-studios,T,Signal Studios,"Strategy, Real-Time, Wargame, Real-Time, General",,Generally favorable reviews,40,Generally favorable reviews,106
14,133559,Paradox Interactive,https://www.metacritic.com/company/paradox-interactive,,Paradox Interactive,"Strategy, Turn-Based, Wargame, Turn-Based, General",,Mixed or average reviews,6,Generally favorable reviews,27
15,124717,Ubisoft,https://www.metacritic.com/company/ubisoft,E,Petroglyph,"Strategy, Turn-Based, Wargame, Turn-Based, General",,Generally favorable reviews,20,Generally favorable reviews,19
16,115103,Team17,https://www.metacritic.com/company/team17,E10+,Team17,"Strategy, Turn-Based, Wargame, Turn-Based, Fantasy, Artillery",4 Players Online,Generally favorable reviews,24,Generally favorable reviews,52
17,114437,Team17,https://www.metacritic.com/company/team17,E10+,Team17,"Strategy, Turn-Based, Wargame, Turn-Based, Fantasy, Artillery",Up to 4 Players,Generally favorable reviews,9,Generally favorable reviews,19
18,113065,Ubisoft,https://www.metacritic.com/company/ubisoft,T,"Funatics Software, Funatics","Strategy, Real-Time, Wargame, Turn-Based, Military, Tactics",,Mixed or average reviews,7,Mixed or average reviews,9
19,113066,Ubisoft,https://www.metacritic.com/company/ubisoft,T,"Funatics Software, Funatics","Strategy, Real-Time, Wargame, Turn-Based, Military, Tactics",,Mixed or average reviews,11,Generally favorable reviews,7
20,109158,Paradox Interactive,https://www.metacritic.com/company/paradox-interactive,E10+,BattleGoat Studios,"Strategy, Turn-Based, Wargame, Turn-Based, General",16 Players Online,Mixed or average reviews,17,Mixed or average reviews,40
21,107467,Paradox Interactive,https://www.metacritic.com/company/paradox-interactive,T,Big Time Software,"Strategy, Turn-Based, Wargame, Turn-Based, General",2 Players Online,Mixed or average reviews,15,Generally unfavorable reviews,89
22,107787,Konami,https://www.metacritic.com/company/konami,E10+,"Climax Group, Climax Studios","Strategy, Turn-Based, Wargame, Turn-Based, General",2 Players Online,Generally unfavorable reviews,15,Mixed or average reviews,5
23,109483,"Microsoft Game Studios, Team17",https://www.metacritic.com/company/microsoft-game-studios,E10+,Team17,"Strategy, Turn-Based, Wargame, Turn-Based, Fantasy, Artillery",4 Players Online Up to 4 Players,Generally favorable reviews,25,Mixed or average reviews,31
24,108812,Take-Two Interactive,https://www.metacritic.com/company/take-two-interactive,T,Big Time Software,"Strategy, Wargame, Real-Time",,Generally favorable reviews,5,Mixed or average reviews,9
25,104302,Matrix Games,https://www.metacritic.com/company/matrix-games,,Panther Games,"Strategy, Wargame, Real-Time",,Generally favorable reviews,4,Mixed or average reviews,7
