,developer,id,metascore_how,metascore_review,multigenre,player,publisher,publisher_url,rating,userscore_how,userscore_review
0,Yuke's,101557,Generally favorable reviews,24,"Action, Fighting, Wrestling",,THQ,https://www.metacritic.com/company/thq,T,Mixed or average reviews,56
1,Spike,161011,Generally favorable reviews,10,"Action, Fighting, Wrestling",,Bam Entertainment,https://www.metacritic.com/company/bam-entertainment,T,Generally favorable reviews,5
2,Big Ape Productions,161984,Generally unfavorable reviews,15,"Action, Fighting, Wrestling",,Activision,https://www.metacritic.com/company/activision,T,Mixed or average reviews,35
3,Acclaim Studios Salt Lake City,163132,Generally unfavorable reviews,8,"Action, Fighting, Wrestling",,Acclaim,https://www.metacritic.com/company/acclaim,M,Mixed or average reviews,8
4,Kodiak Interactive,160881,Generally unfavorable reviews,4,"Action, Fighting, Wrestling",,Electronic Arts,https://www.metacritic.com/company/electronic-arts,T,Mixed or average reviews,9
5,Yuke's,161963,Universal acclaim,15,"Action, Fighting, Wrestling",,THQ,https://www.metacritic.com/company/thq,T,Generally favorable reviews,76
6,Aki Corp.,161964,Generally favorable reviews,14,"Action, Fighting, Wrestling",,THQ,https://www.metacritic.com/company/thq,T,Generally favorable reviews,97
7,Acclaim,161937,Generally unfavorable reviews,7,"Action, Fighting, Wrestling",,Acclaim,https://www.metacritic.com/company/acclaim,E,Mixed or average reviews,6
8,Yuke's,161955,Mixed or average reviews,23,"Action, Fighting, Wrestling",,THQ,https://www.metacritic.com/company/thq,T,Mixed or average reviews,11
9,Yuke's,234303,Generally favorable reviews,43,"Action, Sports, Fighting, Fighting, Individual, Wrestling, Combat, Wrestling",Up to 6 Players,2K Games,https://www.metacritic.com/company/2k-games,T,Generally favorable reviews,124
10,Yuke's,234304,Mixed or average reviews,22,"Action, Sports, Fighting, Fighting, Individual, Wrestling, Combat, Wrestling",Up to 6 Players,2K Games,https://www.metacritic.com/company/2k-games,T,Generally favorable reviews,152
11,"THQ, Yuke's",212597,Generally favorable reviews,46,"Action, Sports, Fighting, Fighting, Individual, Wrestling, Combat, Wrestling",Up to 6 Players,THQ,https://www.metacritic.com/company/thq,T,Generally favorable reviews,132
12,THQ,212598,Generally favorable reviews,24,"Action, Sports, Fighting, Fighting, Individual, Wrestling, Combat, Wrestling",Up to 6 Players,THQ,https://www.metacritic.com/company/thq,T,Generally favorable reviews,124
13,THQ,212599,Mixed or average reviews,4,"Action, Sports, Fighting, Fighting, Individual, Wrestling, Combat, Wrestling",No Online Multiplayer,THQ,https://www.metacritic.com/company/thq,T,Mixed or average reviews,17
14,"Spike, Spike Chunsoft",155754,Generally unfavorable reviews,10,"Action, Sports, Fighting, Fighting, Individual, Wrestling, Combat, Wrestling",,Microsoft Game Studios,https://www.metacritic.com/company/microsoft-game-studios,T,Generally unfavorable reviews,18
15,Kung Fu Factory,211535,Generally unfavorable reviews,11,"Action, Sports, Fighting, Fighting, Individual, Wrestling, Combat, Wrestling",,345 Games,https://www.metacritic.com/company/345-games,T,Mixed or average reviews,12
16,Yuke's,181814,Generally favorable reviews,30,"Action, Sports, Fighting, Fighting, Individual, Wrestling, Combat, Wrestling",2 Players,THQ,https://www.metacritic.com/company/thq,T,Generally favorable reviews,114
17,Yuke's,181815,Generally favorable reviews,60,"Action, Sports, Fighting, Fighting, Individual, Wrestling, Combat, Wrestling",2 Players,THQ,https://www.metacritic.com/company/thq,T,Generally favorable reviews,100
18,Yuke's,181791,Mixed or average reviews,28,"Action, Sports, Fighting, Fighting, Individual, Wrestling, Combat, Wrestling",Up to 12 Players,THQ,https://www.metacritic.com/company/thq,T,Mixed or average reviews,94
19,Yuke's,181792,Mixed or average reviews,52,"Action, Sports, Fighting, Fighting, Individual, Wrestling, Combat, Wrestling",Up to 12 Players,THQ,https://www.metacritic.com/company/thq,T,Mixed or average reviews,106
20,Yuke's,181795,Mixed or average reviews,6,"Action, Sports, Fighting, Fighting, Individual, Wrestling, Combat, Wrestling",,THQ,https://www.metacritic.com/company/thq,T,Mixed or average reviews,15
21,THQ,182413,Mixed or average reviews,12,"Action, Sports, Fighting, Fighting, Individual, Wrestling, Combat, Wrestling",,THQ,https://www.metacritic.com/company/thq,T,Mixed or average reviews,13
22,Panic Button,181813,Generally unfavorable reviews,4,"Action, Sports, Fighting, Fighting, Individual, Wrestling, Combat, Wrestling",No Online Multiplayer,"Majesco Games, Majesco",https://www.metacritic.com/company/majesco-games,T,Generally unfavorable reviews,21
23,THQ,143187,Generally favorable reviews,51,"Action, Sports, Fighting, Fighting, Individual, Wrestling, Combat, Wrestling",Up to 4 Players,THQ,https://www.metacritic.com/company/thq,T,Mixed or average reviews,44
24,THQ,143188,Generally favorable reviews,64,"Action, Sports, Fighting, Fighting, Individual, Wrestling, Combat, Wrestling",Up to 4 Players,THQ,https://www.metacritic.com/company/thq,T,Mixed or average reviews,52
25,THQ,143191,Mixed or average reviews,11,"Action, Sports, Fighting, Fighting, Individual, Wrestling, Combat, Wrestling",,THQ,https://www.metacritic.com/company/thq,T,Mixed or average reviews,12
26,THQ,143190,Mixed or average reviews,4,"Action, Sports, Fighting, Fighting, Individual, Wrestling, Combat, Wrestling",,THQ,https://www.metacritic.com/company/thq,T,Generally favorable reviews,35
27,Yuke's,143138,Generally favorable reviews,49,"Action, Sports, Fighting, Fighting, Individual, Wrestling, Combat, Wrestling",Up to 12 Players,THQ,https://www.metacritic.com/company/thq,T,Generally favorable reviews,62
28,Yuke's,143139,Mixed or average reviews,42,"Action, Sports, Fighting, Fighting, Individual, Wrestling, Combat, Wrestling",Up to 12 Players,THQ,https://www.metacritic.com/company/thq,T,Generally favorable reviews,70
29,Yuke's,143141,Mixed or average reviews,7,"Action, Sports, Fighting, Fighting, Individual, Wrestling, Combat, Wrestling",,THQ,https://www.metacritic.com/company/thq,T,Mixed or average reviews,8
30,EA Tiburon,115101,Generally favorable reviews,63,"Action, Sports, Fighting, Fighting, Individual, Wrestling, Wrestling, Combat, Boxing / Martial Arts",Up to 10 Players,EA Sports,https://www.metacritic.com/company/ea-sports,T,Generally favorable reviews,52
31,EA Tiburon,115102,Generally favorable reviews,47,"Action, Sports, Fighting, Fighting, Individual, Wrestling, Wrestling, Combat, Boxing / Martial Arts",Up to 10 Players,EA Sports,https://www.metacritic.com/company/ea-sports,T,Mixed or average reviews,50
32,Immersion Software & Graphics,143012,Generally unfavorable reviews,11,"Action, Sports, Fighting, Fighting, Individual, Wrestling, Combat, Wrestling",Up to 4 Players,Konami,https://www.metacritic.com/company/konami,T,Mixed or average reviews,17
33,Immersion Software & Graphics,143017,Mixed or average reviews,6,"Action, Sports, Fighting, Fighting, Individual, Wrestling, Combat, Wrestling",,Konami,https://www.metacritic.com/company/konami,T,Generally favorable reviews,15
34,Yuke's,131086,Mixed or average reviews,27,"Action, Sports, Fighting, Fighting, Individual, Wrestling, Combat, Wrestling",2 Players,THQ,https://www.metacritic.com/company/thq,T,Mixed or average reviews,14
35,Point of View,145752,Mixed or average reviews,6,"Action, Sports, Fighting, Fighting, Individual, Wrestling, Combat, Wrestling",,SouthPeak Games,https://www.metacritic.com/company/southpeak-games,T,Mixed or average reviews,4
36,Yuke's,131073,Generally favorable reviews,54,"Action, Sports, Fighting, Fighting, Individual, Wrestling, Combat, Wrestling",2 Players,THQ,https://www.metacritic.com/company/thq,T,Mixed or average reviews,54
37,Yuke's,131074,Generally favorable reviews,70,"Action, Sports, Fighting, Fighting, Individual, Wrestling, Combat, Wrestling",2 Players,THQ,https://www.metacritic.com/company/thq,T,Mixed or average reviews,84
38,Yuke's,114925,Generally favorable reviews,59,"Action, Sports, Fighting, Fighting, Individual, Wrestling, Combat, Wrestling",,THQ,https://www.metacritic.com/company/thq,T,Generally favorable reviews,55
39,Yuke's,114926,Generally favorable reviews,38,"Action, Sports, Fighting, Fighting, Individual, Wrestling, Combat, Wrestling",Up to 4 Players,THQ,https://www.metacritic.com/company/thq,T,Generally favorable reviews,72
40,Yuke's,114928,Generally favorable reviews,11,"Action, Sports, Fighting, Fighting, Individual, Wrestling, Combat, Wrestling",No Online Multiplayer,THQ,https://www.metacritic.com/company/thq,T,Generally favorable reviews,14
41,Yuke's,114929,Generally favorable reviews,7,"Action, Sports, Fighting, Fighting, Individual, Wrestling, Combat, Wrestling",,THQ,https://www.metacritic.com/company/thq,T,Generally favorable reviews,12
42,"THQ, Yuke's",112595,Generally favorable reviews,58,"Action, Sports, Fighting, Fighting, Individual, Wrestling, Combat, Wrestling",2 Players Online,THQ,https://www.metacritic.com/company/thq,T,Generally favorable reviews,55
