,id,publisher,publisher_url,rating,developer,multigenre,player,metascore_how,metascore_review,userscore_how,userscore_review
0,161985,Ubisoft,https://www.metacritic.com/company/ubisoft,E,Disney Interactive,"Adventure, General",,Mixed or average reviews,5.0,Mixed or average reviews,11.0
1,160912,Ubisoft,https://www.metacritic.com/company/ubisoft,E,Revolution Software,"Adventure, General",,Generally unfavorable reviews,4.0,No user score yet,
2,101416,DreamCatcher Interactive,https://www.metacritic.com/company/dreamcatcher-interactive,E,Omni Creative Group,"Adventure, General, General",No Online Multiplayer,Mixed or average reviews,11.0,No user score yet,
3,101477,Cryo Interactive,https://www.metacritic.com/company/cryo-interactive,M,Arxel Tribe,"Adventure, General, General",No Online Multiplayer,Mixed or average reviews,7.0,Mixed or average reviews,4.0
4,101005,Funcom,https://www.metacritic.com/company/funcom,M,Funcom,"Adventure, Third-Person, Point-and-Click, Fantasy, Fantasy",No Online Multiplayer,Universal acclaim,26.0,Generally favorable reviews,575.0
5,101348,Ubisoft,https://www.metacritic.com/company/ubisoft,E,Cyan Worlds,"Adventure, First-Person, Fantasy",,Mixed or average reviews,15.0,Generally favorable reviews,42.0
6,160813,Sega,https://www.metacritic.com/company/sega,E,Sega,"Adventure, Party",,Mixed or average reviews,21.0,Mixed or average reviews,45.0
7,101127,TalonSoft,https://www.metacritic.com/company/talonsoft,M,Cryo Interactive,"Adventure, General, General",,Generally favorable reviews,9.0,Mixed or average reviews,16.0
8,102861,LucasArts,https://www.metacritic.com/company/lucasarts,T,LucasArts,"Adventure, 3D, Fantasy, Third-Person, Fantasy",No Online Multiplayer,Generally favorable reviews,32.0,Generally favorable reviews,129.0
9,160805,Nintendo,https://www.metacritic.com/company/nintendo,E,Ambrella,"Adventure, General",,Mixed or average reviews,12.0,Mixed or average reviews,37.0
10,160699,Capcom,https://www.metacritic.com/company/capcom,E,Capcom,"Adventure, General",,Generally favorable reviews,10.0,Generally favorable reviews,57.0
11,161987,Ubisoft,https://www.metacritic.com/company/ubisoft,E,Disney Interactive,"Adventure, General",,Generally unfavorable reviews,5.0,No user score yet,
12,101184,DreamCatcher Interactive,https://www.metacritic.com/company/dreamcatcher-interactive,M,Canal+ Multimedia,"Adventure, First-Person, Point-and-Click, Modern, Fantasy, Modern",No Online Multiplayer,Mixed or average reviews,13.0,Mixed or average reviews,26.0
13,101158,DreamCatcher Interactive,https://www.metacritic.com/company/dreamcatcher-interactive,E,Daydream Software,"Adventure, General, General",,Mixed or average reviews,12.0,Mixed or average reviews,21.0
