,developer,id,metascore_how,metascore_review,multigenre,player,publisher,publisher_url,rating,userscore_how,userscore_review
0,Pipe Dream Interactive,101425,Mixed or average reviews,12,"Action, Shooter, First-Person, Sci-Fi",,Majesco Games,https://www.metacritic.com/company/majesco-games,T,Mixed or average reviews,7.0
1,GSC Game World,101299,Mixed or average reviews,10,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",Up to 16 Players,Virgin Interactive,https://www.metacritic.com/company/virgin-interactive,T,Mixed or average reviews,16.0
2,Gray Matter,102877,Generally favorable reviews,32,"Action, Shooter, Shooter, First-Person, Historic, Historic, Arcade",Online Multiplayer,Activision,https://www.metacritic.com/company/activision,M,Generally favorable reviews,651.0
3,Sir-Tech Software Inc.,101316,Generally favorable reviews,20,"Role-Playing, First-Person, First-Person, General, Western-Style",No Online Multiplayer,Sir-Tech Software Inc.,https://www.metacritic.com/company/sir-tech-software-inc,T,Generally favorable reviews,104.0
4,Bungie Software,161019,Universal acclaim,68,"Action, Shooter, First-Person, Sci-Fi",,Microsoft Game Studios,https://www.metacritic.com/company/microsoft-game-studios,M,Generally favorable reviews,3040.0
5,Pipe Dream Interactive,101459,Mixed or average reviews,14,"Action, Shooter, First-Person, Modern",,Majesco Games,https://www.metacritic.com/company/majesco-games,M,Mixed or average reviews,20.0
6,Gearbox Software,101516,Generally favorable reviews,24,"Action, Shooter, First-Person, Sci-Fi",,Sierra Entertainment,https://www.metacritic.com/company/sierra-entertainment,M,Generally favorable reviews,163.0
7,Monolith Productions,101205,Generally favorable reviews,27,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",,Fox Interactive,https://www.metacritic.com/company/fox-interactive,M,Generally favorable reviews,225.0
8,Red Storm Entertainment,101724,Mixed or average reviews,9,"Action, Shooter, Shooter, First-Person, Tactical, Modern",,Ubisoft,https://www.metacritic.com/company/ubisoft,M,Generally unfavorable reviews,8.0
9,David A. Palmer Productions,161189,Generally favorable reviews,24,"Action, Shooter, First-Person, Sci-Fi",,Activision,https://www.metacritic.com/company/activision,T,Generally favorable reviews,90.0
