,developer,id,metascore_how,metascore_review,multigenre,player,publisher,publisher_url,rating,userscore_how,userscore_review
0,Doki Denki,161778,Mixed or average reviews,5,"Action, Platformer, 2D",,SCEA,https://www.metacritic.com/company/scea,E,Mixed or average reviews,9.0
1,Sonic Team,161197,Mixed or average reviews,28,"Action, Platformer, 3D",,Sega,https://www.metacritic.com/company/sega,E,Generally favorable reviews,327.0
2,Capcom,101308,Generally favorable reviews,33,"Action, Platformer, 3D",,Capcom,https://www.metacritic.com/company/capcom,T,Generally favorable reviews,29.0
3,Nintendo,161028,Universal acclaim,28,"Action, Platformer, 2D",,Nintendo,https://www.metacritic.com/company/nintendo,E,Universal acclaim,272.0
4,Sonic Team,161131,Generally favorable reviews,22,"Action, Platformer, 2D",,Sega,https://www.metacritic.com/company/sega,E,Generally favorable reviews,128.0
5,Capcom,161108,Mixed or average reviews,14,"Action, Platformer, 2D",,Capcom,https://www.metacritic.com/company/capcom,E,Mixed or average reviews,102.0
6,Naughty Dog,101698,Universal acclaim,35,"Action, Platformer, 3D",,SCEA,https://www.metacritic.com/company/scea,E,Generally favorable reviews,594.0
7,Konami,101691,Generally unfavorable reviews,6,"Action, Platformer, 3D",,Konami,https://www.metacritic.com/company/konami,E,Generally unfavorable reviews,27.0
8,Nintendo,161162,Generally favorable reviews,17,"Action, Platformer, 2D",,Nintendo,https://www.metacritic.com/company/nintendo,E,Generally favorable reviews,93.0
9,Ubisoft Montreal,161276,Mixed or average reviews,11,"Action, Platformer, 3D",,Ubisoft,https://www.metacritic.com/company/ubisoft,E,Mixed or average reviews,10.0
10,Helixe,160998,Mixed or average reviews,5,"Action, Platformer, 2D",,THQ,https://www.metacritic.com/company/thq,E,Generally favorable reviews,4.0
11,Digital Illusions,161000,Generally unfavorable reviews,19,"Action, Platformer, 3D",,TDK Mediactive,https://www.metacritic.com/company/tdk-mediactive,T,Generally unfavorable reviews,25.0
12,Oddworld Inhabitants,160717,Generally favorable reviews,30,"Action, Platformer, 3D",,Microsoft Game Studios,https://www.metacritic.com/company/microsoft-game-studios,T,Generally favorable reviews,45.0
13,Digital Eclipse,161139,Mixed or average reviews,16,"Action, Platformer, 2D",,VU Games,https://www.metacritic.com/company/vu-games,E,Mixed or average reviews,26.0
14,Traveller's Tales,101595,Mixed or average reviews,22,"Action, Platformer, 3D",,VU Games,https://www.metacritic.com/company/vu-games,E,Mixed or average reviews,337.0
15,Titus Software,161159,Mixed or average reviews,11,"Action, Platformer, 2D",,Titus Software,https://www.metacritic.com/company/titus-software,E,Generally favorable reviews,5.0
16,Konami,160997,Mixed or average reviews,16,"Action, Platformer, 2D",,Konami,https://www.metacritic.com/company/konami,T,Mixed or average reviews,31.0
17,3DO,101380,Mixed or average reviews,18,"Action, Platformer, 3D",,3DO,https://www.metacritic.com/company/3do,E,Mixed or average reviews,5.0
18,Namco,101306,Universal acclaim,18,"Action, Platformer, 3D",,Namco,https://www.metacritic.com/company/namco,E,Generally favorable reviews,138.0
19,Konami Computer Entertainment Hawaii,161113,Generally unfavorable reviews,10,"Action, Platformer, 2D",,Konami,https://www.metacritic.com/company/konami,E,Mixed or average reviews,7.0
20,Sonic Team,160843,Generally favorable reviews,18,"Action, Platformer, 3D",,Sega,https://www.metacritic.com/company/sega,E,Generally favorable reviews,582.0
21,KCEK,160960,Universal acclaim,22,"Action, Platformer, 2D",,Konami,https://www.metacritic.com/company/konami,T,Generally favorable reviews,149.0
