,id,publisher,publisher_url,rating,developer,multigenre,player,metascore_how,metascore_review,userscore_how,userscore_review
0,108177,Nintendo,https://www.metacritic.com/company/nintendo,E,AI,"Miscellaneous, Puzzle, Puzzle, Puzzle, Logic, Logic",No Online Multiplayer,Mixed or average reviews,14,Mixed or average reviews,5
1,107746,Nintendo,https://www.metacritic.com/company/nintendo,E,Mitchell,"Miscellaneous, Puzzle, Puzzle, General, Puzzle, Matching, General",,Mixed or average reviews,33,Generally favorable reviews,13
2,106771,SCEA,https://www.metacritic.com/company/scea,E,Team17,"Miscellaneous, Puzzle, Action, Puzzle, Puzzle, Action",No Online Multiplayer,Generally favorable reviews,46,Generally favorable reviews,19
3,162962,Mastiff,https://www.metacritic.com/company/mastiff,E,Success,"Miscellaneous, Puzzle, Logic",,Mixed or average reviews,10,No user score yet,
4,109524,Peter Stock,https://www.metacritic.com/company/peter-stock,,Peter Stock,"Miscellaneous, Puzzle, Action, Puzzle, General, General",No Online Multiplayer,Generally favorable reviews,7,Generally favorable reviews,32
5,107706,"Majesco Games, Majesco",https://www.metacritic.com/company/majesco-games,E,Taito Corporation,"Miscellaneous, Puzzle, Puzzle, Puzzle, Matching, Matching",2 Players,Mixed or average reviews,7,No user score yet,
6,107722,Oberon Media,https://www.metacritic.com/company/oberon-media,E,PopCap,"Miscellaneous, Puzzle, Puzzle, General, Matching, General",,Generally favorable reviews,13,Mixed or average reviews,10
7,107578,Ubisoft,https://www.metacritic.com/company/ubisoft,E,Sumo Digital,"Miscellaneous, Puzzle, Puzzle, Puzzle, Logic, Logic",No Online Multiplayer,Mixed or average reviews,13,Mixed or average reviews,7
8,107536,Nintendo,https://www.metacritic.com/company/nintendo,E,Nintendo,"Miscellaneous, Puzzle, Puzzle, Puzzle, Stacking, Stacking",2 Players 4 Players Online,Generally favorable reviews,56,Generally favorable reviews,66
9,107723,Oberon Media,https://www.metacritic.com/company/oberon-media,E,Sprout Games,"Miscellaneous, Puzzle, Puzzle, General, Puzzle, General",No Online Multiplayer,Mixed or average reviews,16,Mixed or average reviews,19
10,107134,Nintendo,https://www.metacritic.com/company/nintendo,E,Genius Sonority Inc.,"Miscellaneous, Puzzle, Puzzle, Puzzle, Matching, Matching",No Online Multiplayer,Mixed or average reviews,32,Mixed or average reviews,25
11,107738,Microsoft Game Studios,https://www.metacritic.com/company/microsoft-game-studios,E,iWin,"Miscellaneous, Puzzle, Puzzle, General, Puzzle, Matching, General",,Mixed or average reviews,8,Generally favorable reviews,4
12,108674,"Got Game Entertainment, Big Fish Games",https://www.metacritic.com/company/got-game-entertainment,,TERMINAL Studio,"Miscellaneous, Puzzle, Puzzle, General, Matching, General",,Mixed or average reviews,8,No user score yet,
13,107288,Ubisoft,https://www.metacritic.com/company/ubisoft,E,Taito Corporation,"Miscellaneous, Puzzle, Puzzle, General, Puzzle, General",24 Players Online,Generally favorable reviews,36,Generally favorable reviews,50
14,107105,Sega,https://www.metacritic.com/company/sega,T,Sonic Team,"Miscellaneous, Puzzle, Puzzle, General, Puzzle, Party / Minigame, General",,Mixed or average reviews,44,Generally favorable reviews,7
15,107483,D3Publisher,https://www.metacritic.com/company/d3publisher,E,Now Production,"Miscellaneous, Puzzle, Puzzle, General, Puzzle, General",,Mixed or average reviews,34,Mixed or average reviews,6
16,107637,Conspiracy Entertainment,https://www.metacritic.com/company/conspiracy-entertainment,E,Magicpot,"Miscellaneous, Puzzle, Puzzle, General, Puzzle, General",,Generally favorable reviews,12,No user score yet,
17,107684,"Atari, Atari SA",https://www.metacritic.com/company/atari,E,Sensory Sweep,"Miscellaneous, Puzzle, Puzzle, General, Puzzle, Board / Card Game, General",,Mixed or average reviews,5,Mixed or average reviews,4
