,developer,id,metascore_how,metascore_review,multigenre,player,publisher,publisher_url,rating,userscore_how,userscore_review
0,Altar Interactive,101369,Mixed or average reviews,9,"Strategy, Real-Time, General, General, Command",,Virgin Interactive,https://www.metacritic.com/company/virgin-interactive,T,Generally favorable reviews,81.0
1,Nintendo,161105,Generally favorable reviews,39,"Strategy, Real-Time, Fantasy",,Nintendo,https://www.metacritic.com/company/nintendo,E,Generally favorable reviews,216.0
2,Stormregion,101907,Mixed or average reviews,12,"Strategy, Real-Time, General, Tactics",,Fishtank Interactive,https://www.metacritic.com/company/fishtank-interactive,T,Generally favorable reviews,61.0
3,Magitech,102001,Mixed or average reviews,9,"Strategy, Real-Time, Historic, General, Historic",,Xicat Interactive,https://www.metacritic.com/company/xicat-interactive,T,Mixed or average reviews,10.0
4,Paradox Development Studio,101810,Generally favorable reviews,11,"Strategy, Real-Time, Historic, General, Historic",,Strategy First,https://www.metacritic.com/company/strategy-first,E,Generally favorable reviews,96.0
5,Stainless Steel Studios,101323,Generally favorable reviews,23,"Strategy, Real-Time, Historic, General, Historic",,Sierra Entertainment,https://www.metacritic.com/company/sierra-entertainment,T,Generally favorable reviews,205.0
6,Mad Doc Software,101587,Mixed or average reviews,13,"Strategy, Real-Time, General, General",,Activision,https://www.metacritic.com/company/activision,E,Generally favorable reviews,37.0
7,LucasArts,101564,Generally favorable reviews,21,"Strategy, Real-Time, Sci-Fi, General",,LucasArts,https://www.metacritic.com/company/lucasarts,T,Generally favorable reviews,99.0
8,Liquid Entertainment,101170,Generally favorable reviews,16,"Strategy, Real-Time, Fantasy, General, Fantasy, Command",Up to 8 Players,Crave,https://www.metacritic.com/company/crave,T,Generally favorable reviews,82.0
9,TimeGate Studios,101825,Generally favorable reviews,10,"Strategy, Real-Time, General, General, Command",Up to 8 Players,Strategy First,https://www.metacritic.com/company/strategy-first,E,Generally favorable reviews,19.0
10,MASA Group,101617,Mixed or average reviews,10,"Strategy, Real-Time, Military, General, Military",,Ubisoft,https://www.metacritic.com/company/ubisoft,T,Mixed or average reviews,7.0
11,MumboJumbo,101472,Generally favorable reviews,12,"Strategy, Real-Time, Fantasy, General",,G.O.D.,https://www.metacritic.com/company/god,M,Mixed or average reviews,13.0
12,Hudson,161001,Generally favorable reviews,11,"Strategy, Real-Time, Fantasy",,Sega,https://www.metacritic.com/company/sega,E,Generally favorable reviews,8.0
13,Charybdis,102898,Mixed or average reviews,14,"Strategy, Real-Time, Fantasy, General, Fantasy",,Bethesda Softworks,https://www.metacritic.com/company/bethesda-softworks,T,Mixed or average reviews,8.0
14,FireFly Studios,101390,Generally favorable reviews,19,"Strategy, Real-Time, Historic, General, Historic",,Gathering,https://www.metacritic.com/company/gathering,T,Generally favorable reviews,393.0
15,Reality Pump,101737,Mixed or average reviews,14,"Strategy, Real-Time, General, General",Online Multiplayer,JoWooD Entertainment AG,https://www.metacritic.com/company/jowood-entertainment-ag,T,Mixed or average reviews,14.0
16,Westwood Studios,101640,Generally favorable reviews,23,"Strategy, Real-Time, Sci-Fi, Sci-Fi, Command",Up to 8 Players,Electronic Arts,https://www.metacritic.com/company/electronic-arts,T,Generally favorable reviews,340.0
17,"Ascaron Entertainment GmbH, Ascaron Entertainment",101814,Generally favorable reviews,12,"Strategy, Real-Time, Historic, General",,Strategy First,https://www.metacritic.com/company/strategy-first,E,Mixed or average reviews,13.0
18,Koei,101333,Mixed or average reviews,15,"Strategy, Real-Time, Historic",,Koei,https://www.metacritic.com/company/koei,T,Generally favorable reviews,28.0
19,Rival Interactive,101488,Generally unfavorable reviews,13,"Strategy, Real-Time, General, General",,Simon & Schuster,https://www.metacritic.com/company/simon-schuster,T,Mixed or average reviews,11.0
20,Pyro Studios,102857,Generally favorable reviews,17,"Strategy, Real-Time, Military, General, Military",,Eidos Interactive,https://www.metacritic.com/company/eidos-interactive,T,Generally favorable reviews,299.0
21,Flying Lab Software,101614,Generally favorable reviews,10,"Strategy, Real-Time, General, General",,Strategy First,https://www.metacritic.com/company/strategy-first,E,Mixed or average reviews,8.0
22,Super X Studios,101428,Mixed or average reviews,9,"Strategy, Real-Time, General, General",,Microids,https://www.metacritic.com/company/microids,E,No user score yet,
23,Creative Assembly,101444,Generally favorable reviews,7,"Strategy, Turn-Based, Real-Time, Historic, Historic, General",,Electronic Arts,https://www.metacritic.com/company/electronic-arts,T,Generally favorable reviews,56.0
24,Microids,101615,Mixed or average reviews,10,"Strategy, Real-Time, General, General, Command",Up to 8 Players,Strategy First,https://www.metacritic.com/company/strategy-first,E,Mixed or average reviews,9.0
25,Taldren,101670,Generally favorable reviews,9,"Strategy, Real-Time, General, Tactics",Up to 8 Players,Interplay,https://www.metacritic.com/company/interplay,E,Generally favorable reviews,11.0
26,The Bitmap Brothers,101285,Mixed or average reviews,9,"Strategy, Real-Time, Sci-Fi, Sci-Fi, General, Command",No Online Multiplayer Up to 8 Players,EON Digital Entertainment,https://www.metacritic.com/company/eon-digital-entertainment,T,Generally favorable reviews,19.0
27,Westwood Studios,101350,Generally favorable reviews,19,"Strategy, Real-Time, Sci-Fi, Sci-Fi, General",,EA Games,https://www.metacritic.com/company/ea-games,T,Generally favorable reviews,95.0
28,Gizmo,101223,Mixed or average reviews,5,"Strategy, Real-Time, General, Tactics",Up to 8 Players,Simon & Schuster,https://www.metacritic.com/company/simon-schuster,E,Mixed or average reviews,4.0
29,GSC Game World,101259,Mixed or average reviews,16,"Strategy, Real-Time, General, General, Command",No Online Multiplayer Up to 8 Players,Strategy First,https://www.metacritic.com/company/strategy-first,T,Generally favorable reviews,119.0
30,PopTop Software,102888,Generally favorable reviews,28,"Strategy, Miscellaneous, Real-Time, Management, Compilation, Modern, Modern, Government",,Gathering,https://www.metacritic.com/company/gathering,T,Generally favorable reviews,135.0
31,Lionhead Studios,102931,Universal acclaim,34,"Strategy, Real-Time, Fantasy, General, Fantasy",,EA Games,https://www.metacritic.com/company/ea-games,T,Generally favorable reviews,402.0
32,Continuum,101492,Mixed or average reviews,8,"Strategy, Real-Time, General, General, Command",Up to 16 Players,Take-Two Interactive,https://www.metacritic.com/company/take-two-interactive,T,Generally favorable reviews,31.0
33,Reflexive Entertainment,102882,Mixed or average reviews,22,"Strategy, Real-Time, Sci-Fi, Sci-Fi, General",,Activision,https://www.metacritic.com/company/activision,T,Mixed or average reviews,10.0
34,TimeGate Studios,101252,Generally favorable reviews,21,"Strategy, Real-Time, General, General, Command",Up to 8 Players,Strategy First,https://www.metacritic.com/company/strategy-first,T,Generally favorable reviews,50.0
35,Object,101322,Mixed or average reviews,14,"Strategy, Real-Time, Fantasy, General, Fantasy",,Eidos Interactive,https://www.metacritic.com/company/eidos-interactive,T,Mixed or average reviews,16.0
36,Konami,101198,Generally favorable reviews,15,"Strategy, Real-Time, Sci-Fi",,Konami,https://www.metacritic.com/company/konami,T,Generally favorable reviews,22.0
37,TopWare Interactive,101254,Generally favorable reviews,13,"Strategy, Real-Time, General, General, Command",Up to 8 Players,Game Studios,https://www.metacritic.com/company/game-studios,T,Mixed or average reviews,24.0
38,Techland,101382,Generally unfavorable reviews,5,"Strategy, Real-Time, General, General, Command",No Online Multiplayer,EON Digital Entertainment,https://www.metacritic.com/company/eon-digital-entertainment,T,Mixed or average reviews,13.0
39,Akella,102941,Mixed or average reviews,15,"Strategy, Real-Time, General, General",Up to 16 Players,TalonSoft,https://www.metacritic.com/company/talonsoft,E,No user score yet,
40,"Phantagram, Bloom Technology",102865,Mixed or average reviews,22,"Strategy, Real-Time, General, General",Up to 8 Players,Gathering,https://www.metacritic.com/company/gathering,T,Mixed or average reviews,16.0
41,Data Becker,101424,Mixed or average reviews,15,"Strategy, Real-Time, Historic, General, Historic",No Online Multiplayer,Data Becker,https://www.metacritic.com/company/data-becker,E,Mixed or average reviews,13.0
42,Planet4,101395,Mixed or average reviews,6,"Strategy, Real-Time, General, General",,"JoWooD Entertainment AG, Simon & Schuster",https://www.metacritic.com/company/jowood-entertainment-ag,T,Mixed or average reviews,5.0
43,O3 Games,101341,Mixed or average reviews,6,"Strategy, Real-Time, General, General",,Strategy First,https://www.metacritic.com/company/strategy-first,T,Generally favorable reviews,11.0
44,High Voltage Software,101302,Generally favorable reviews,7,"Strategy, Real-Time, Sci-Fi, Sci-Fi, General",,Sierra Entertainment,https://www.metacritic.com/company/sierra-entertainment,T,Mixed or average reviews,6.0
45,Taldren,101202,Generally favorable reviews,16,"Strategy, Real-Time, General, Tactics",,Interplay,https://www.metacritic.com/company/interplay,E,Mixed or average reviews,8.0
46,Koei,100673,Generally favorable reviews,20,"Strategy, Real-Time, Historic",,Electronic Arts,https://www.metacritic.com/company/electronic-arts,T,Generally favorable reviews,17.0
47,Paradox Development Studio,103078,Mixed or average reviews,9,"Strategy, Real-Time, Historic, General, Historic",,Strategy First,https://www.metacritic.com/company/strategy-first,E,Mixed or average reviews,12.0
48,Shiny Entertainment,102919,Generally favorable reviews,31,"Strategy, Real-Time, Fantasy, General, Fantasy",No Online Multiplayer,Interplay,https://www.metacritic.com/company/interplay,M,Generally favorable reviews,166.0
49,Blue Tongue Entertainment,101215,Mixed or average reviews,19,"Action, Strategy, Real-Time, Shooter, First-Person, Sci-Fi, Tactics, Sci-Fi",,MicroProse,https://www.metacritic.com/company/microprose,T,Generally favorable reviews,58.0
50,Westwood Studios,102915,Generally favorable reviews,29,"Strategy, Real-Time, Sci-Fi, Sci-Fi, Command",,Electronic Arts,https://www.metacritic.com/company/electronic-arts,T,Generally favorable reviews,557.0
51,Atomic Games,101318,Generally favorable reviews,17,"Strategy, Turn-Based, Real-Time, Historic, Tactics",,SSI,https://www.metacritic.com/company/ssi,E,Generally favorable reviews,31.0
52,Barking Dog,101193,Generally favorable reviews,25,"Strategy, Real-Time, Sci-Fi, Sci-Fi, General",,Sierra Entertainment,https://www.metacritic.com/company/sierra-entertainment,E,Generally favorable reviews,92.0
53,Ellipse Studios,101140,Mixed or average reviews,16,"Strategy, Real-Time, General, General, Command",Up to 24 Players,Strategy First,https://www.metacritic.com/company/strategy-first,E,Generally favorable reviews,32.0
54,Zono Inc.,100729,Mixed or average reviews,20,"Strategy, Real-Time, General, General",,TalonSoft,https://www.metacritic.com/company/talonsoft,T,Generally favorable reviews,67.0
55,Silicon Dreams,102843,Mixed or average reviews,15,"Strategy, Real-Time, Sci-Fi, Sci-Fi, General, Tactics",Up to 8 Players,TalonSoft,https://www.metacritic.com/company/talonsoft,M,No user score yet,
56,Pandemic Studios,101177,Generally favorable reviews,26,"Strategy, Real-Time, Sci-Fi, Sci-Fi, General",,Activision,https://www.metacritic.com/company/activision,T,Mixed or average reviews,20.0
57,Creative Assembly,100908,Generally favorable reviews,24,"Strategy, Turn-Based, Real-Time, Historic, Historic, General, Historic",,Electronic Arts,https://www.metacritic.com/company/electronic-arts,T,Generally favorable reviews,131.0
58,Mass Media,160758,Generally favorable reviews,17,"Strategy, Real-Time, Sci-Fi",,Nintendo,https://www.metacritic.com/company/nintendo,T,Generally favorable reviews,61.0
59,TopWare Interactive,102846,Generally favorable reviews,22,"Strategy, Real-Time, Sci-Fi, Sci-Fi, General, Command",Up to 15 Players,SSI,https://www.metacritic.com/company/ssi,T,Generally favorable reviews,67.0
60,Massive Entertainment,102916,Generally favorable reviews,26,"Strategy, Real-Time, Sci-Fi, Sci-Fi, General, Tactics",Up to 8 Players,Sierra Entertainment,https://www.metacritic.com/company/sierra-entertainment,T,Generally favorable reviews,48.0
61,Firaxis Games,100911,Generally favorable reviews,12,"Strategy, Real-Time, General, General",,Firaxis Games,https://www.metacritic.com/company/firaxis-games,E,Mixed or average reviews,5.0
62,Ensemble Studios,100119,Universal acclaim,21,"Strategy, Real-Time, Historic, Historic, Command",No Online Multiplayer Up to 8 Players,Microsoft Game Studios,https://www.metacritic.com/company/microsoft-game-studios,T,Universal acclaim,1377.0
63,"Relic, Relic Entertainment",100214,Universal acclaim,20,"Strategy, Real-Time, Sci-Fi, Sci-Fi, General, Command",Up to 8 Players,Sierra Entertainment,https://www.metacritic.com/company/sierra-entertainment,E,Generally favorable reviews,408.0
64,Cavedog Entertainment,100221,Mixed or average reviews,18,"Strategy, Real-Time, Fantasy, General, Command",Up to 8 Players,"GT Interactive, Cavedog Entertainment",https://www.metacritic.com/company/gt-interactive,T,Generally favorable reviews,38.0
65,"Bungie Software, Bungie",100217,Generally favorable reviews,12,"Strategy, Real-Time, Fantasy, General",,"Bungie Software, Bungie",https://www.metacritic.com/company/bungie-software,M,Generally favorable reviews,79.0
