,developer,id,metascore_how,metascore_review,multigenre,player,publisher,publisher_url,rating,userscore_how,userscore_review
0,PopTop Software,102888,Generally favorable reviews,28,"Strategy, Miscellaneous, Real-Time, Management, Compilation, Modern, Modern, Government",,Gathering,https://www.metacritic.com/company/gathering,T,Generally favorable reviews,135.0
1,Gabriel Interactive,101529,Generally unfavorable reviews,7,"Strategy, Breeding/Constructing, General, Breeding/Constructing",,"WizardWorks, Infogrames",https://www.metacritic.com/company/wizardworks,E,Mixed or average reviews,25.0
2,HAL Labs,160967,Generally favorable reviews,12,"Strategy, General",,Nintendo,https://www.metacritic.com/company/nintendo,E,Generally favorable reviews,187.0
3,Lionhead Studios,102931,Universal acclaim,34,"Strategy, Real-Time, Fantasy, General, Fantasy",,EA Games,https://www.metacritic.com/company/ea-games,T,Generally favorable reviews,402.0
4,BreakAway Games,101500,Generally favorable reviews,9,"Strategy, General, General",,Strategy First,https://www.metacritic.com/company/strategy-first,E,Mixed or average reviews,5.0
5,Cyberlore Studios,101332,Mixed or average reviews,6,"Strategy, General, General",,Hasbro Interactive,https://www.metacritic.com/company/hasbro-interactive,E,Generally favorable reviews,26.0
6,Continuum,101492,Mixed or average reviews,8,"Strategy, Real-Time, General, General, Command",Up to 16 Players,Take-Two Interactive,https://www.metacritic.com/company/take-two-interactive,T,Generally favorable reviews,31.0
7,Reflexive Entertainment,102882,Mixed or average reviews,22,"Strategy, Real-Time, Sci-Fi, Sci-Fi, General",,Activision,https://www.metacritic.com/company/activision,T,Mixed or average reviews,10.0
8,TimeGate Studios,101252,Generally favorable reviews,21,"Strategy, Real-Time, General, General, Command",Up to 8 Players,Strategy First,https://www.metacritic.com/company/strategy-first,T,Generally favorable reviews,50.0
9,Object,101322,Mixed or average reviews,14,"Strategy, Real-Time, Fantasy, General, Fantasy",,Eidos Interactive,https://www.metacritic.com/company/eidos-interactive,T,Mixed or average reviews,16.0
10,Konami,101198,Generally favorable reviews,15,"Strategy, Real-Time, Sci-Fi",,Konami,https://www.metacritic.com/company/konami,T,Generally favorable reviews,22.0
11,TopWare Interactive,101254,Generally favorable reviews,13,"Strategy, Real-Time, General, General, Command",Up to 8 Players,Game Studios,https://www.metacritic.com/company/game-studios,T,Mixed or average reviews,24.0
12,JoWooD Entertainment AG,101575,Mixed or average reviews,4,"Strategy, General, General",No Online Multiplayer,JoWooD Entertainment AG,https://www.metacritic.com/company/jowood-entertainment-ag,E,Generally favorable reviews,23.0
13,Techland,101382,Generally unfavorable reviews,5,"Strategy, Real-Time, General, General, Command",No Online Multiplayer,EON Digital Entertainment,https://www.metacritic.com/company/eon-digital-entertainment,T,Mixed or average reviews,13.0
14,Paradox Development Studio,101454,Generally favorable reviews,11,"Strategy, General, General",,Strategy First,https://www.metacritic.com/company/strategy-first,E,Generally favorable reviews,41.0
15,Akella,102941,Mixed or average reviews,15,"Strategy, Real-Time, General, General",Up to 16 Players,TalonSoft,https://www.metacritic.com/company/talonsoft,E,No user score yet,
16,Bullfrog Productions,101276,Generally favorable reviews,15,"Strategy, Tycoon, Management, Tycoon, Business / Tycoon",,EA Games,https://www.metacritic.com/company/ea-games,E,Mixed or average reviews,8.0
17,Fireglow,100971,Mixed or average reviews,16,"Strategy, General, General",,Strategy First,https://www.metacritic.com/company/strategy-first,E,Generally favorable reviews,31.0
18,"Phantagram, Bloom Technology",102865,Mixed or average reviews,22,"Strategy, Real-Time, General, General",Up to 8 Players,Gathering,https://www.metacritic.com/company/gathering,T,Mixed or average reviews,16.0
19,Data Becker,101424,Mixed or average reviews,15,"Strategy, Real-Time, Historic, General, Historic",No Online Multiplayer,Data Becker,https://www.metacritic.com/company/data-becker,E,Mixed or average reviews,13.0
20,Planet4,101395,Mixed or average reviews,6,"Strategy, Real-Time, General, General",,"JoWooD Entertainment AG, Simon & Schuster",https://www.metacritic.com/company/jowood-entertainment-ag,T,Mixed or average reviews,5.0
21,O3 Games,101341,Mixed or average reviews,6,"Strategy, Real-Time, General, General",,Strategy First,https://www.metacritic.com/company/strategy-first,T,Generally favorable reviews,11.0
22,Boris Games,101498,Generally unfavorable reviews,5,"Strategy, General, General",,JoWooD Entertainment AG,https://www.metacritic.com/company/jowood-entertainment-ag,T,Generally favorable reviews,7.0
23,Boku Strategy Games,101366,Mixed or average reviews,7,"Strategy, Turn-Based, Historic, General",,Shrapnel Games,https://www.metacritic.com/company/shrapnel-games,,No user score yet,
24,High Voltage Software,101302,Generally favorable reviews,7,"Strategy, Real-Time, Sci-Fi, Sci-Fi, General",,Sierra Entertainment,https://www.metacritic.com/company/sierra-entertainment,T,Mixed or average reviews,6.0
25,Taldren,101202,Generally favorable reviews,16,"Strategy, Real-Time, General, Tactics",,Interplay,https://www.metacritic.com/company/interplay,E,Mixed or average reviews,8.0
26,Bimboosoft,160869,Mixed or average reviews,4,"Strategy, Tycoon",,Xicat Interactive,https://www.metacritic.com/company/xicat-interactive,E,Generally favorable reviews,10.0
27,Bullfrog Productions,101277,Generally favorable reviews,11,"Strategy, Tycoon",,Electronic Arts,https://www.metacritic.com/company/electronic-arts,E,Generally favorable reviews,21.0
28,Sir-Tech Software Inc.,101343,Mixed or average reviews,20,"Strategy, Turn-Based, Modern, Tactics",,Interplay,https://www.metacritic.com/company/interplay,T,Generally favorable reviews,55.0
29,Minds-Eye Productions,102923,Mixed or average reviews,18,"Strategy, Puzzle, Action, General, General",,Empire Interactive,https://www.metacritic.com/company/empire-interactive,E,Mixed or average reviews,14.0
30,Cauldron Ltd.,102854,Mixed or average reviews,11,"Strategy, Turn-Based, Sci-Fi, Sci-Fi, General, Tactics",,Blue Byte,https://www.metacritic.com/company/blue-byte,T,Generally favorable reviews,12.0
31,Victor Interactive Software,160955,Generally favorable reviews,6,"Strategy, Breeding/Constructing",,Natsume,https://www.metacritic.com/company/natsume,E,Generally favorable reviews,102.0
32,Activision,102855,Mixed or average reviews,21,"Strategy, Turn-Based, Historic, General, Historic, 4X",No Online Multiplayer,Activision,https://www.metacritic.com/company/activision,E,Mixed or average reviews,19.0
33,Koei,100673,Generally favorable reviews,20,"Strategy, Real-Time, Historic",,Electronic Arts,https://www.metacritic.com/company/electronic-arts,T,Generally favorable reviews,17.0
34,Paradox Development Studio,103078,Mixed or average reviews,9,"Strategy, Real-Time, Historic, General, Historic",,Strategy First,https://www.metacritic.com/company/strategy-first,E,Mixed or average reviews,12.0
35,Malfador Machinations,101244,Generally favorable reviews,13,"Strategy, Turn-Based, General, General, 4X",Up to 20 Players,Shrapnel Games,https://www.metacritic.com/company/shrapnel-games,E,Generally favorable reviews,45.0
36,Minds-Eye Productions,160745,Mixed or average reviews,6,"Strategy, General",,Empire Interactive,https://www.metacritic.com/company/empire-interactive,E,No user score yet,
37,Shiny Entertainment,102919,Generally favorable reviews,31,"Strategy, Real-Time, Fantasy, General, Fantasy",No Online Multiplayer,Interplay,https://www.metacritic.com/company/interplay,M,Generally favorable reviews,166.0
38,Random Games Inc.,101372,Generally unfavorable reviews,11,"Strategy, General, General",,"Atari, MicroProse",https://www.metacritic.com/company/atari,T,No user score yet,
39,Blue Tongue Entertainment,101215,Mixed or average reviews,19,"Action, Strategy, Real-Time, Shooter, First-Person, Sci-Fi, Tactics, Sci-Fi",,MicroProse,https://www.metacritic.com/company/microprose,T,Generally favorable reviews,58.0
40,Impressions Games,101192,Generally favorable reviews,23,"Strategy, General, General, Management, Government",No Online Multiplayer,Sierra Entertainment,https://www.metacritic.com/company/sierra-entertainment,E,Generally favorable reviews,93.0
41,Westwood Studios,102915,Generally favorable reviews,29,"Strategy, Real-Time, Sci-Fi, Sci-Fi, Command",,Electronic Arts,https://www.metacritic.com/company/electronic-arts,T,Generally favorable reviews,557.0
42,Atomic Games,101318,Generally favorable reviews,17,"Strategy, Turn-Based, Real-Time, Historic, Tactics",,SSI,https://www.metacritic.com/company/ssi,E,Generally favorable reviews,31.0
43,Quest,163328,Generally favorable reviews,10,"Strategy, Turn-Based, Fantasy",,Atlus Co.,https://www.metacritic.com/company/atlus-co,T,Generally favorable reviews,99.0
44,JoWooD Entertainment AG,101287,Generally unfavorable reviews,8,"Strategy, General, General",,Simon & Schuster,https://www.metacritic.com/company/simon-schuster,T,Mixed or average reviews,7.0
45,Chris Sawyer,101344,Generally favorable reviews,12,"Strategy, Tycoon, Management, Business / Tycoon",,"Atari, MicroProse",https://www.metacritic.com/company/atari,E,Generally favorable reviews,207.0
46,SSI,101262,Mixed or average reviews,17,"Strategy, Turn-Based, General, General, Tactics",,SSI,https://www.metacritic.com/company/ssi,E,Generally favorable reviews,16.0
47,3DO,101351,Mixed or average reviews,7,"Strategy, General, General",,3DO,https://www.metacritic.com/company/3do,E,Generally favorable reviews,14.0
48,3DO,101354,Mixed or average reviews,7,"Strategy, General, General",,3DO,https://www.metacritic.com/company/3do,E,Mixed or average reviews,14.0
49,Metro,163129,Generally favorable reviews,6,"Strategy, General",,Vatical Entertainment,https://www.metacritic.com/company/vatical-entertainment,E,Generally favorable reviews,10.0
50,Barking Dog,101193,Generally favorable reviews,25,"Strategy, Real-Time, Sci-Fi, Sci-Fi, General",,Sierra Entertainment,https://www.metacritic.com/company/sierra-entertainment,E,Generally favorable reviews,92.0
51,14 Degrees East,101197,Mixed or average reviews,23,"Strategy, General, General",Up to 3 Players,Interplay,https://www.metacritic.com/company/interplay,T,Mixed or average reviews,18.0
52,Infogrames Sheffield,161939,Mixed or average reviews,10,"Strategy, General",,Infogrames,https://www.metacritic.com/company/infogrames,T,Generally favorable reviews,72.0
