,id,url,image,title,platform,release_date,summary,metascore,userscore,genre
0,161985,https://www.metacritic.com/game/nintendo-64/disneys-donald-duck-goin-quackers,https://static.metacritic.com/images/products/games/5/7ba7785b1575b080c0487d427f065c23-98.jpg,Disney's Donald Duck Goin' Quackers,Nintendo 64,"December 20, 2000","Keeping Donald content is about as easy as herding cats, but everyone's favorite fusspot really goes off the deep end when malodorous magician Merlock duck-naps Daisy. To add insult to injury, Donald's uppity cousin, Gladstone Gander, vows to rescue Daisy. Thus begins Donald's great race to reach Daisy first and foil Merlock's nefarious plans.",65,6.6,Adventure
1,160912,https://www.metacritic.com/game/playstation/gold-and-glory-the-road-to-el-dorado,https://static.metacritic.com/images/products/games/2/f096fe079d10bdb6b7ee07c6b65bb270-98.jpg,Gold and Glory:  The Road to El Dorado,PlayStation,"December 19, 2000","Gold & Glory: The Road to El Dorado is a simplistic, extremely short experience, with abundant flaws that outweigh its few redeeming features.",34,tbd,Adventure
2,101416,https://www.metacritic.com/game/pc/riddle-of-the-sphinx-an-egyptian-adventure,https://static.metacritic.com/images/products/games/6/8544a8f8c0de185ac64b4468e1bd2218-98.jpg,Riddle of the Sphinx: An Egyptian Adventure,PC,"December 5, 2000",Riddle of the Sphinx makes up for its technical shortcomings with a great location and an impressive amount of detail.,72,tbd,Adventure
3,101477,https://www.metacritic.com/game/pc/seven-games-of-the-soul,https://static.metacritic.com/images/products/games/7/72d994b8ce9cb6ede43476cb471ac49f-98.jpg,Seven Games of the Soul,PC,"November 30, 2000","The real problem with Seven Games of the Soul is that it's not only nonsensical, but it's also pretentious.",52,6.5,Adventure
4,101005,https://www.metacritic.com/game/pc/the-longest-journey,https://static.metacritic.com/images/products/games/5/b44be7322174200948fe9e637f5442f0-98.jpg,The Longest Journey,PC,"November 16, 2000",An epic 3-D adventure spanning over 150 unique locations across two distinct and detailed worlds.  [Funcom],91,8.7,Adventure
5,101348,https://www.metacritic.com/game/pc/real-myst,https://static.metacritic.com/images/products/games/8/e36caf60aed52841060506e797db1560-98.jpg,Real Myst,PC,"November 14, 2000","Now you can experience Myst the way the Miller Brothers originally envisioned it -- truly immersed in a world that lives and breathes around you, where the weather changes, the sun rises and sets, the trees sway in the wind, and animals scurry by.  [Mattel Interactive]",66,7.8,Adventure
6,160813,https://www.metacritic.com/game/dreamcast/sonic-shuffle,https://static.metacritic.com/images/products/games/3/e202323b16528f3c3d90fb922d61eade-98.jpg,Sonic Shuffle,Dreamcast,"November 13, 2000","Illumina, the Guardian Angel, needs your help. The mysterious monster Void has locked up the power of the Precioustones, and it's up to you to guide Sonic and his friends through incredible game boards to recover them. Play with up to 3 friends to find out who will be the first to save the land of Maginaryworld. Play minigames, fight bosses, work your way through special events, and more, in Sonic's latest adventure!",54,7.4,Adventure
7,101127,https://www.metacritic.com/game/pc/the-devil-inside,https://static.metacritic.com/images/products/games/7/f148b77ebfec9a22f382551dfb1eef8f-98.jpg,The Devil Inside,PC,"November 9, 2000","The game features you as the star of a live Hollywood television show investigating paranormal activities. Hubert Chardot, author of the Alone In The Dark series, creates the foreboding backdrop for the evening's activities.  [TalonSoft]",76,5.9,Adventure
8,102861,https://www.metacritic.com/game/pc/escape-from-monkey-island,https://static.metacritic.com/images/products/games/1/05ade681b14688bec2e503294dd466a7-98.jpg,Escape from Monkey Island,PC,"November 8, 2000","A scurvy-inducing new chapter in the legendary Monkey Island adventure series unfolds in rollicking 3-D. Developed by the team who created LucasArts' irreverent classic ""Sam & Max Hit The Road,"" Escape features an original cinematic story full of drama, intrigue, and, of course, side-splitting humor. [LucasArts]",86,7.6,Adventure
9,160805,https://www.metacritic.com/game/nintendo-64/hey-you-pikachu!,https://static.metacritic.com/images/products/games/5/3ef17ec6dac9a13804922645d307b257-98.jpg,"Hey You, Pikachu!",Nintendo 64,"November 5, 2000","For the first time ever, you can actually talk to your favorite Pokemon. Tag along with Pikachu as it goes through its daily routines, taking field trips, going fishing and having picnics, becoming better friends with each passing day. Pikachu will hear and react to the words you say. The more you speak the closer friends you'll be!",57,6.5,Adventure
