,id,url,image,title,platform,release_date,summary,metascore,userscore,genre
0,161964,https://www.metacritic.com/game/nintendo-64/wwf-no-mercy,https://static.metacritic.com/images/products/games/4/87a8c0dde278ca34b511a09d21bb9654-98.jpg,WWF No Mercy,Nintendo 64,"November 17, 2000","Jump into the ring with the biggest, baddest jambronis around and experience brutal WWF action never before seen in a console game! Over 65 WWF superstars, all-new Ladder matches, and all-new Double-Team moves, like the Dudley 3D Deathdrop! Take on the entire Federation in Survival Mode. Take the action out of the ring in 10 different backstage areas!",89,8.5,Fighting
1,160856,https://www.metacritic.com/game/playstation/ultimate-fighting-championship,https://static.metacritic.com/images/products/games/6/96808904099d52d63e9d69fb9ec0bdad-98.jpg,Ultimate Fighting Championship,PlayStation,"November 13, 2000",Ultimate Fighting Championship for the PlayStation doesn't have anything to offer beyond the good name of its Dreamcast counterpart.,53,6.9,Fighting
2,160749,https://www.metacritic.com/game/dreamcast/capcom-vs-snk,https://static.metacritic.com/images/products/games/9/823cbce49d5e455616a46ae0732f2342-98.jpg,Capcom vs. SNK,Dreamcast,"November 9, 2000",nster corporations at war. One solution. A massive martial arts event is organized to settle the score and eliminate conflict between the two parties. Join over 25 brawlers from Camcom's legendary Street Fighter® and SNK's world-renowned King of Fighters™ series as they fight for universal domination. Capcom vs. SNK... the ultimate collision of strength and power.,80,8.7,Fighting
3,160922,https://www.metacritic.com/game/playstation/gundam-battle-assault,https://static.metacritic.com/images/products/games/2/6024c08acac1c2d855ecc5cef022f71d-98.jpg,Gundam: Battle Assault,PlayStation,"November 6, 2000","Gundam Battle Assault isn't a good enough game to live on its own - the fighting is competent, but hardly compelling for any length of time, and the story mode is completely uninteresting.",61,7.3,Fighting
4,101153,https://www.metacritic.com/game/playstation-2/tekken-tag-tournament,https://static.metacritic.com/images/products/games/3/181cf4bdbdd85e4783f82525a766e4e5-98.jpg,Tekken Tag Tournament,PlayStation 2,"October 25, 2000","The follow-up to ""Tekken 3"" features 2000 moves in all, and allows for four-player mayhem when utilizing the multi-tap for the tag team experience.",85,8.5,Fighting
5,100468,https://www.metacritic.com/game/playstation-2/doa2-hardcore,https://static.metacritic.com/images/products/games/8/9502cb431420d672c79210a332bb050a-98.jpg,DOA2: Hardcore,PlayStation 2,"October 25, 2000","This third version of Tecmo's acclaimed fighter ""Dead or Alive 2,"" ported to the Dreamcast ealier in the year, is a visual feast for PS2 gamers with the addition of new costumes, levels, hidden characters, amped-up graphics.",91,8.0,Fighting
6,100964,https://www.metacritic.com/game/playstation-2/street-fighter-ex3,https://static.metacritic.com/images/products/games/4/a57d51b017b21f0527dc914325e3869a-98.jpg,Street Fighter EX3,PlayStation 2,"October 24, 2000","The Street Fighter EX3 series returns with a third serving of tag-team, free-for-all brawls. Choose from 16 characters to play one-on-one, two-on-one, and even one-on-three battles. In original mode, take one character through a fighting quest and recruit your defeated opponents for tag or team play. With four gameplay modes and new enhancements such as the Critical Parade and Emotional Flow super moves, Street Fighter EX3 adds more fun to tag-team fighting.",64,7.9,Fighting
7,161941,https://www.metacritic.com/game/dreamcast/street-fighter-iii-3rd-strike,https://static.metacritic.com/images/products/games/1/00f951be64323a74e0bf1371d6e78d79-98.jpg,Street Fighter III: 3rd Strike,Dreamcast,"October 4, 2000","This amazing fighter stars 18 brawlers from the STREET FIGHTER III universe and introduces the new Leap Attack. Plus, a new Grade Judge system evaluates player performance at the end of each match. Huge characters and an innovative Hit-Frame system team up with the return of the Super Arts Fighting Styles. Experience totally seamless animation in the newest chapter of the greatest arcade series ever!",84,8.6,Fighting
8,160785,https://www.metacritic.com/game/dreamcast/ultimate-fighting-championship,https://static.metacritic.com/images/products/games/5/5bd1e0a2cf275d8c896f10a5b655e667-98.jpg,Ultimate Fighting Championship,Dreamcast,"August 29, 2000","The Ultimate Fighting Championship (UFC) is the premier mixed martial arts event in the world. There are no flying chairs or unrealistic moves. Spectators expect and demand to see true-to-life combat. Now, the ultimate fighting event comes to the Dreamcast as the most realistic fighting game ever created.",88,7.4,Fighting
9,160727,https://www.metacritic.com/game/dreamcast/power-stone-2,https://static.metacritic.com/images/products/games/7/275f8ba22ada950e9d8d1cd1242b7226-98.jpg,Power Stone 2,Dreamcast,"August 23, 2000","The world's most revolutionary fighting game does it again! Power Stone 2 takes go-anywhere, grab-anything combat, and introduces awesome new innovations to the hit arcade fighting series. Now, up to four players wage insane battles in fully interactive, multi-level stages. Master over 120 different items used in battle - weapons, vehicles traps, power-upsand more! As if chaotic swashbuckling battles weren't enough, combine forces with other players to battle monstrous bosses to win the game!",87,8.7,Fighting
