,id,url,image,title,platform,release_date,summary,metascore,userscore,genre
0,101425,https://www.metacritic.com/game/playstation-2/star-trek-voyager-elite-force,https://static.metacritic.com/images/products/games/5/104f2fbfa3ea0f531c8d6fc913605735-98.jpg,Star Trek: Voyager Elite Force,PlayStation 2,"December 6, 2001","One blast from destruction, the U.S.S. Voyager is mysteriously transported into a null space infested with danger. As part of the Voyager's Elite Hazard Team, you must defend it from a host of scavenging aliens, infiltrate a Borg cube and derelict vessels to eradicate your deadly foes. [Majesco Sales Inc.]",52,6.9,First-person
1,161243,https://www.metacritic.com/game/game-boy-advance/ecks-vs-sever,https://static.metacritic.com/images/products/games/3/37395a45f62b457c393a09901d13d698-98.jpg,Ecks vs. Sever,Game Boy Advance,"November 27, 2001","An FBI agent and a rogue NSA agent are pitted against each other in a deadly game of cat and mouse. Both skilled assassins bent on personal revenge, each must terminate the other in order to survive. But unknown to each other, they are both pawns in a much larger conspiracy. Now the as the hunters become the hunted, they must both determine who the real enemy is.",80,7.7,First-person
2,101299,https://www.metacritic.com/game/pc/codename-outbreak,https://static.metacritic.com/images/products/games/9/e1586d86534400f91e1e583ee3a10da0-98.jpg,Codename: Outbreak,PC,"November 24, 2001","In the year 2034, Earth has barely escaped the collision with a comet. Passing in dangerous proximity to the Earth, the comet scorched the atmosphere and hundreds of meteorites poured their fiery rain down causing death and destruction and delivering alien life spores which started quickly developing under the planet's conditions. Within several days after the catastrophe aliens spread across vast territories and captured many objectives. The game plot describes a military campaign to resist the invasion and the main character's participation in it.  [GSC Game World]",55,6.7,First-person
3,102877,https://www.metacritic.com/game/pc/return-to-castle-wolfenstein,https://static.metacritic.com/images/products/games/7/008f2557d94b572afb29ab168dc5cb23-98.jpg,Return to Castle Wolfenstein,PC,"November 19, 2001","As B.J. Blazkowicz, a highly decorated Army Ranger recruited into the Office of Secret Actions, you are tasked with escaping and then returning to Castle Wolfenstein in an attempt to thwart Heinrich Himmler's occult and genetic experiments. Through genetic engineering and the harnessing of occult powers, Himmler hopes to raise an unstoppable army to level the Allies once and for all. You must first escape from imprisonment in the castle to report the strange creatures and happenings in and around Wolfenstein to the OSA. Your mission takes a drastic turn as you learn the depth of Himmler's plans and what you must do to defeat the evil he has unleashed. [Activision]",88,8.7,First-person
4,101316,https://www.metacritic.com/game/pc/wizardry-8,https://static.metacritic.com/images/products/games/6/57cfc43d2add0c7c4d70d793277bb5af-98.jpg,Wizardry 8,PC,"November 14, 2001","An epic fantasy RPG that picks up where ""Wizardry 7"" left off. The Dark Savant had taken flight with a device called the Astral Dominae, an incredibly powerful artifact containing the secret of life itself. Following him are two powerful races, the T'Rang and the Umpani, as well as your own brave party of adventurers. Everyone is headed to Dominus, a world on the cusp of the Cosmic Circle, birthplace of the Astral Dominae and home of the Cosmic Lords. Many paths will converge on Dominus, and many long-hidden secrets will be revealed. [Sirtech]",85,8.3,First-person
5,161019,https://www.metacritic.com/game/xbox/halo-combat-evolved,https://static.metacritic.com/images/products/games/9/608a28ac37e2b3fc92291ca176867f67-98.jpg,Halo: Combat Evolved,Xbox,"November 14, 2001","Enter the mysterious world of Halo, an alien planet shaped like a ring.  As mankind's super soldier Master Chief, you must uncover the secrets of Halo and fend off the attacking Covenant.  During your missions, you'll battle on foot, in vehicles, inside, and outside with alien and human weaponry.  Your objectives include attacking enemy outposts, raiding underground labs for advanced technology, rescuing fallen comrades, and sniping enemy forces.  Halo also lets you battle three other players via intense split screen combat or fight cooperatively with a friend through the single-player missions.",97,8.7,First-person
6,102914,https://www.metacritic.com/game/playstation-2/james-bond-007-agent-under-fire,https://static.metacritic.com/images/products/games/4/9014d8028158eaa9e43e77c83ea15cf9-98.jpg,James Bond 007: Agent Under Fire,PlayStation 2,"November 13, 2001",The devious plans of a criminal mastermind once again threaten to bring the world's greatest nations to their knees and only one man can save them. The game's mix of intense first-person action and white-knuckle driving levels will transport the player to exotic locations where they will come face-to-face with the world's most dangerous villains. Only the clever use of firepower and tricks of the spycraft trade will allow them to save the world.  [Electronic Arts],72,7.8,First-person
7,101721,https://www.metacritic.com/game/pc/tom-clancys-ghost-recon,https://static.metacritic.com/images/products/games/1/0daba67f458d7c18f7af12c7f79bfd2c-98.jpg,Tom Clancy's Ghost Recon,PC,"November 13, 2001","Take command of the Ghosts through a series of missions that range from demolitions, to search and rescue, to all-out firefights for survival. Features squad-based tactical combat with next-generation military action in stunning 3D environments and a mission-driven storyline with 15 different singleplayer maps (as big as 400m x 400m), and 6 dedicated multiplayer maps. [Ubi Soft]",80,7.6,First-person
8,101459,https://www.metacritic.com/game/playstation-2/soldier-of-fortune-gold-edition,https://static.metacritic.com/images/products/games/9/f6820ee08c4730600c3e741deac0ebc3-98.jpg,Soldier of Fortune: Gold Edition,PlayStation 2,"November 11, 2001","As John Mullins, decorated Vietnam Vet, you must use any means necessary to find and secure three stolen warheads. Track and stop the terrorist organization responsible for the theft before they can carry out their threat to national security. Dispatch as many terrorists, skinheads, and enemy soldiers as necessary to complete your mission. [Majesco]",59,6.7,First-person
9,101516,https://www.metacritic.com/game/playstation-2/half-life,https://static.metacritic.com/images/products/games/6/3fa40501f939576364b9e24faf748abf-98.jpg,Half-Life,PlayStation 2,"November 11, 2001","One of the best-selling games of all time, Half-Life has been completely redesigned for PlayStation2, with advanced graphic upgrades, more characters, and new multiplayer cooperative games.  So why not head back into the Black Mesa Federal Research Facility as Gordon Freeman for some more FPS carnage?",87,8.6,First-person
10,101205,https://www.metacritic.com/game/pc/aliens-versus-predator-2,https://static.metacritic.com/images/products/games/5/d4ce5c1e1406c0924cb623123391d409-98.jpg,Aliens Versus Predator 2,PC,"October 31, 2001","AVP 2 takes you to Planet LV1201, where three diverse and bloodthirsty species battle for survival. The story-driven plot weaves together the fates of all three races.  Choose to play as Alien, Predator, or Marine as you use your physical prowess, killer instincts, or superior firepower to stay alive. [Sierra]",85,8.7,First-person
11,101724,https://www.metacritic.com/game/pc/tom-clancys-rainbow-six-rogue-spear-black-thorn,https://static.metacritic.com/images/products/games/4/a8cef776f16b84fd07624eba4a56e01f-98.jpg,Tom Clancy's Rainbow Six Rogue Spear: Black Thorn,PC,"October 31, 2001","Someone is recreating terrorism's most violent acts, and RAINBOW is back on the job. But this new, deadly enemy knows how RAINBOW thinks, how RAINBOW acts, and how to stay one step ahead. [Red Storm Entertainment]",67,4.9,First-person
12,161189,https://www.metacritic.com/game/game-boy-advance/doom,https://static.metacritic.com/images/products/games/9/42e31e80561b91fa011d2805571d60d0-98.jpg,Doom,Game Boy Advance,"October 28, 2001","From the legendary game developers at id Software, comes an explosive journey into the nightmare world of DOOM™. Embark on a harrowing mission to rid of Martian Moon Base of hordes of demonic creatures. Navigate through DOOM™'s 24 maze like levels, scouring the corridors for secret areas and combat aids as you take on hell spawned demons with an explosive arsenal of chainguns, plasma rifles and rocket launchers. Use the Game Boy® Advance Game Link® Cable to team up with a friend and blast the levels together or link up to 4 players for the ultimate deathmatch.®",81,8.6,First-person
13,101671,https://www.metacritic.com/game/pc/from-dusk-till-dawn-2001,https://static.metacritic.com/images/products/games/1/711d9c5fa7dff6746e26a961c89d6851-98.jpg,From Dusk Till Dawn (2001),PC,"October 11, 2001","Seth Gecko, sole survivor of the cult-action film ""FDTD"" is sentenced to death in the place of his brother, and has 72 hours left to live. He is innocent, but nobody will believe him. Surrounded by vampires, Seth will find it very difficult to survive. With the help of the few remaining human survivors and armed with raw combat artillery, Seth might make it through the night. [DreamCatcher]",58,6.6,First-person
14,101246,https://www.metacritic.com/game/pc/red-faction,https://static.metacritic.com/images/products/games/6/c58e57e2fd9a861377c39b77d801c438-98.jpg,Red Faction,PC,"September 17, 2001","This first-person shooter features Geo-Mod? technology, the ability to completely alter and destroy the environment in real-time. Wage war through 20 diverse levels with 15 weapons of mass destruction. Hijack 5 fully armed land, sea and air vehicles.  [THQ]",78,8.0,First-person
15,101327,https://www.metacritic.com/game/pc/operation-flashpoint-cold-war-crisis,https://static.metacritic.com/images/products/games/7/6942788cf772fb6ab754bfac891e783d-98.jpg,Operation Flashpoint: Cold War Crisis,PC,"August 30, 2001","Players assume the role of a U.S. NATO private on a training mission in a fictional 1985 Cold War storyline, where a new Soviet regime seizes control of an island community, and underground resistance groups have mobilized in opposition. The new Soviet government, unable to fight the resistance, calls upon NATO to act as a peacekeeping force and help restore order to the region. NATO responds with Operation Flashpoint. [Codemasters]",85,8.7,First-person
