,id,url,image,title,platform,release_date,summary,metascore,userscore,genre
0,102184,https://www.metacritic.com/game/playstation-2/fire-blade,https://static.metacritic.com/images/products/games/4/e02b7943b767d7e2b7400749c9505b6a-98.jpg,Fire Blade,PlayStation 2,"June 16, 2002","In the cockpit of FireBlade there is one goal: use whatever means available to annihilate the terrorist cells flaming up around the globe. Battle through 18 Missions in 4 campaigns at the helm of the Carrier chopper or the Vendetta attack copter and unleash a barrage of hi-tech deadly weapons including Swarm Missiles, Sniper Cannons and Laser Guided Homing Missiles. Go turbo, or remain undetected from enemies in stealth mode. To win the war, you've got to end the war. Attack and destroy! [Midway]",64,tbd,Flight
1,102090,https://www.metacritic.com/game/playstation-2/lethal-skies-elite-pilot-team-sw,https://static.metacritic.com/images/products/games/0/be4b515af6ed74ef481f338b54ace26c-98.jpg,Lethal Skies Elite Pilot: Team SW,PlayStation 2,"May 31, 2002","Feel the adrenaline rush as you take off into uncharted skies! Players are thrust into non-stop action as an elite pilot of The International Alliance's Team SW. Choose from an array of fighters and battle the enemy all across the globe in numerous air-to-air and air-to-ground missions. In Lethal Skies, the heart-pounding experience of flying a real-life warplane is yours to have.",59,tbd,Flight
2,102107,https://www.metacritic.com/game/pc/flanker-25,https://static.metacritic.com/images/products/games/7/b983511497c69020f9977bd781d26e9e-98.jpg,Flanker 2.5,PC,"March 26, 2002","Flanker 2.5 offers high adrenaline gameplay with a level of realism that until now had only been experienced by Russian military pilots. The game builds on the Flanker legacy, incorporating the stunning graphics and streamlined gameplay of Flanker 2.0, and adding new features only available in the sought after Version 2.5 Upgrade. [Ubi Soft]",84,7.8,Flight
3,101918,https://www.metacritic.com/game/pc/janes-attack-squadron,https://static.metacritic.com/images/products/games/8/1ce285849cc341f791de4144d326653c-98.jpg,Jane's Attack Squadron,PC,"March 22, 2002","Features include: fourteen flyable aircraft, with countless other land, sea, and air vehicles. Patrol, Intercept, and Strategic Bombing, plus air strikes on a wide range of targets including warships, subs, trains, tanks, airfields, and factories; real 3D cockpits with fully functional dials and gauges; one million square miles of satellite accurate, mapped-terrain; fully realized damage model with parts that detach, explode, tear away, and affect flight. [Xicat Interactive]",58,tbd,Flight
4,101838,https://www.metacritic.com/game/pc/warbirds-iii-fighter-pilot-academy,https://static.metacritic.com/images/products/games/8/5b00cc39cdf672a60a408197badd8915-98.jpg,WarBirds III Fighter Pilot Academy,PC,"March 19, 2002","WarBirds is an Award Winning, massively multiplayer simulation of World War II aerial combat, with sea and ground vehicles as well. [iEntertainment Network]",78,6.3,Flight
5,101230,https://www.metacritic.com/game/pc/il-2-sturmovik,https://static.metacritic.com/images/products/games/0/9370bb068a74c8c81a364fc7a4244318-98.jpg,IL-2 Sturmovik,PC,"November 18, 2001","Fly 31 types of Russian, German and American planes. Engage in air-to-air and air-to-ground battles. Multiplay with up to 32 players in dogfight and 16 players in cooperative missions. Use custom paint schemes, squadron nose art, numbering on wings, and national markings for each plane. [Ubi Soft]",91,8.6,Flight
6,161037,https://www.metacritic.com/game/xbox/airforce-delta-storm,https://static.metacritic.com/images/products/games/7/6b275ba9023a4489cbf8529b97fc21c1-98.jpg,AirForce Delta Storm,Xbox,"November 14, 2001","Strap into your cockpit and blast through the gut-wrenching world of flight combat. Your adrenaline pumps as machine gun fire pelts off your tail, you execute back-breaking barrel rolls and experience dog-fighting action. Take your pick of over 70 planes, including military fighters rendered from actual aircraft. With a full range of extreme missions to numb your senses, AirForce Delta Storm pushes your Xbox to the sky!",61,7.0,Flight
7,101775,https://www.metacritic.com/game/pc/comanche-4,https://static.metacritic.com/images/products/games/5/478a349fbca3854f0aaf05abf8d29f2c-98.jpg,Comanche 4,PC,"November 12, 2001","A fast-paced action game that moves at 200mph with you at the controls of a Comanche helicopter. Fly the U.S. Army?s next generation attack helicopter in over 30 extreme missions. Fire a 20mm cannon, 70mm rockets, Stinger heat-seeking and Hellfire laser-guided missiles. [NovaLogic]",74,7.6,Flight
8,101456,https://www.metacritic.com/game/playstation-2/ace-combat-04-shattered-skies,https://static.metacritic.com/images/products/games/6/06163e4546e5a8c3797942b0a497dc9b-98.jpg,Ace Combat 04: Shattered Skies,PlayStation 2,"November 1, 2001","The Ace Combat series soars once again. Experience aerial combat like never before. A brand new gripping storyline and 18 fabulous missions will keep pilots-to-be on the edge of their seats. Released as ""Distant Thunder"" in UK & Europe. [Namco]",89,8.7,Flight
9,101739,https://www.metacritic.com/game/playstation-2/top-gun-combat-zones,https://static.metacritic.com/images/products/games/9/7be80e8a2cd38a92d8fa5646fda6f8b9-98.jpg,Top Gun: Combat Zones,PlayStation 2,"October 21, 2001","Puts you in the cockpits of eight fighter jets, including the F-18 Hornet, F-14 Tomcat, and the F-22 Raptor. Fly 36 missions in three major areas: the Persian Gulf, Asia, and Russian Arctic. Choose from three difficulty settings and learn the ropes in the training session, or take off on a customized mission with the Quick Start option. [Titus]",63,3.3,Flight
