,id,url,image,title,platform,release_date,summary,metascore,userscore,genre
0,161437,https://www.metacritic.com/game/gamecube/mario-party-4,https://static.metacritic.com/images/products/games/7/ac01c7de58aa22d13a4773c632c33b2d-98.jpg,Mario Party 4,GameCube,"October 21, 2002","Toad, Koopa, and other party-planning pranksters have hidden birthday presents for their closest friends inside the Party Cube.  To win the presents, Mario, Yoshi, Peach, and other Mushroom Kingdom favorites will have to plunge into a circus of minigame trickery.  As always, keep an eye out for Bowser and his trouble-making goons.  Even Whomp and Thwomp have rockin' surprises for you in their Extra Room.  Packed with surprises, wild multiplayer action, and zany challenges, Mario Party 4 is your ticket to a good time.",70,7.7,Party
1,161365,https://www.metacritic.com/game/xbox/whacked!,https://static.metacritic.com/images/products/games/5/85f406061d08f00e24251d8b10a67bd1-98.jpg,Whacked!,Xbox,"October 8, 2002","In Whacked! you are one of seven demented contestants competing on a dangerous game show. Pitted against each other in free-for-all combat, contestants must use power-ups and weapons, such as giant staplers and rubber ducky grenades, to flatten their opponents. The game's various modes have you fighting to collect resources, fending off a horde of man-eating chickens, or exchanging blows in fierce deathmatches. There are more than a dozen levels--including an arctic pipeline, a Christmas tree, and a kitchen sink--for you to conquer.",59,7.2,Party
2,161230,https://www.metacritic.com/game/gamecube/rayman-arena,https://static.metacritic.com/images/products/games/0/8c4ae36e2452ed25bdae6a232b7fffef-98.jpg,Rayman Arena,GameCube,"September 24, 2002","Rayman Arena puts you in a competitive crash course. As any member of the cast of Rayman 2, you must smoke the competition on challenging race courses or incite a firefight in the battle arena. Take risks, use tricks, and trip up opponents as you sprint, slide, climb, and helicopter through 12 courses in an all-out rush for the checkered flag. Each of the gladiator-style arenas features its own set of power-ups, traps, and special ammo. You can also compete with up to four players in multiplayer action.",60,7.7,Party
3,161794,https://www.metacritic.com/game/game-boy-advance/barbie-groovy-games,https://static.metacritic.com/images/products/games/4/d2a9e40fb82c2997443f90f8c39971fd-98.jpg,Barbie Groovy Games,Game Boy Advance,"September 4, 2002",This is a collection of mini games starring Barbie.,47,6.4,Party
4,161493,https://www.metacritic.com/game/gamecube/pac-man-fever,https://static.metacritic.com/images/products/games/3/7fa572f9c6ea412f3e110c09a922053e-98.jpg,Pac-Man Fever,GameCube,"September 3, 2002","Pac-Man takes break from eating dots and ghosts in the fun new party game Pac-Man Fever.  In addition to our yellow hero, the game also features Ms. Pac-Man and many other Namco favorites from franchises such as Tekken, Ridge Racer, and Soul Calibur.  Up to four players partake in more than 30 minigames and three differently themed game boards.  Try to recover all of the minigames stolen by those pesky, party-crashing Ghosts and determine who the real party animal is.",54,6.9,Party
5,102248,https://www.metacritic.com/game/playstation-2/pac-man-fever,https://static.metacritic.com/images/products/games/8/fb63bb15509b373176f1eddb3cec2312-98.jpg,Pac-Man Fever,PlayStation 2,"September 2, 2002","The outrageously fun party game stars Pac-Man, Ms. Pac-Man and many other Namco favorites from popular franchises such as Tekken, Ridge Racer and Soul Calibur. Up to four players partake in more than 30 mini-games and three differently themed game boards. Try to recover all of the mini-games stolen by those pesky, party-crashing Ghosts and determine who the real party animal is! [Namco]",47,6.0,Party
6,161472,https://www.metacritic.com/game/gamecube/super-monkey-ball-2,https://static.metacritic.com/images/products/games/2/189579ef87ceda56a4a9e74f8184dc5e-98.jpg,Super Monkey Ball 2,GameCube,"August 25, 2002","AiAi, MeeMee, Baby, and GonGon are on a roll again.  Super Monkey Ball 2 brings the party to a whole new level with six brand new party games, six revamped party games, a new Story mode, and 150 new main game stages.  In the new Story mode, you'll fight as AiAi to stop the evil plans of the deranged scientist, Dr. Bad-Boon and his mysterious sidekick.  But Story mode is just the beginning--you'll want to grab some friends and get groovin' with the 12 new party games.  With its new modes, enhanced graphics, and exciting multiplayer features, Super Monkey Ball 2 is keeps your party guests going bananas for hours.",87,8.3,Party
7,161321,https://www.metacritic.com/game/playstation/rayman-rush,https://static.metacritic.com/images/products/games/1/13a72d2b9b4d0ce35f28e738adc4b829-98.jpg,Rayman Rush,PlayStation,"March 26, 2002","Rayman's world kicks into multiplayer overdrive in this total competition crash course with the cast of Rayman 2. Smoke the competition on mind-bending racecourses, or spark up a lum-flinging firefight in the battle arena. And with 8 characters, 24 maps and up to 4 combatants, now Rayman's got more ways to reign supreme than ever.",62,5.5,Party
8,161172,https://www.metacritic.com/game/gamecube/universal-studios-theme-parks-adventure,https://static.metacritic.com/images/products/games/2/7bf8dd1f0132ffa5eb504635e283efb8-98.jpg,Universal Studios Theme Parks Adventure,GameCube,"December 18, 2001","Lights... Camera... PLAY! You're not just a visitor, you're the star in Kemco's Universal Studios™ Theme Park Adventure, a magical 3-D journey beyond the theme park rides and into an amazing realm of games based upon the most successful movies produced in Hollywood. You'll love this virtual gaming lark through the world's best movie theme park!",39,3.2,Party
9,161120,https://www.metacritic.com/game/gamecube/super-monkey-ball,https://static.metacritic.com/images/products/games/0/6859480d7ced907caa5e1f7aabdbbb51-98.jpg,Super Monkey Ball,GameCube,"November 17, 2001","Call your friends and warn your neighbors, it's time to have a ball! Go bananas with 90+ stages, multi-player madness, and 7 cool ways to play! Equal parts ""party"" and ""game"", Super Monkey Ball could be the most ""well-rounded"" game you've ever played!",87,8.0,Party
10,161023,https://www.metacritic.com/game/xbox/fuzion-frenzy,https://static.metacritic.com/images/products/games/3/0f7a61749a3381f1def46a6e63bd80c6-98.jpg,Fuzion Frenzy,Xbox,"November 14, 2001","Fuzion Frenzy combines the continuous, frenetic action of a futuristic street sport with the action-packed fun of minigames set in a dynamic 3D urban environment.  The minigames require strategy and skill to conquer and cover a variety of activities, including: playing tag, collecting and stealing orbs, racing spheres, swatting bugs, lighting fireworks, and playing hot potato with dynamite.  Six arenas and more than 45 minigames provide plenty of competitive fun for up to four players.",70,7.0,Party
11,160906,https://www.metacritic.com/game/nintendo-64/mario-party-3,https://static.metacritic.com/images/products/games/6/dc1a9df66e27f1d7662ca99a534a0f5f-98.jpg,Mario Party 3,Nintendo 64,"May 6, 2001","Mario and friends are throwing a party and you're invited. It's their biggest bash yet, with seventy totally new Mini-Games and five brand new adventure boards. You'll be the life of the party as you punch, pound and stampede right over your opponents in a multiplayer melee or go head-to-head in the new two-player duel mode. You can even unlock new characters in the one-player challenge. With so much fun and excitement, this is  a bash you'll just have to crash!",74,8.2,Party
12,160813,https://www.metacritic.com/game/dreamcast/sonic-shuffle,https://static.metacritic.com/images/products/games/3/e202323b16528f3c3d90fb922d61eade-98.jpg,Sonic Shuffle,Dreamcast,"November 13, 2000","Illumina, the Guardian Angel, needs your help. The mysterious monster Void has locked up the power of the Precioustones, and it's up to you to guide Sonic and his friends through incredible game boards to recover them. Play with up to 3 friends to find out who will be the first to save the land of Maginaryworld. Play minigames, fight bosses, work your way through special events, and more, in Sonic's latest adventure!",54,7.4,Party
13,161969,https://www.metacritic.com/game/playstation/crash-bash,https://static.metacritic.com/images/products/games/9/038b12153595546829e53ba0cf899945-98.jpg,Crash Bash,PlayStation,"November 6, 2000","Crash and his friends are back in a knockdown, drag-out arena rumble.  Get ready to ride, race, jump, throw, and battle it out to the finish in frantic, head-to-head battles, and heart-pumping chases.  Choose your favorite character, including Crash, Coco, Dr. Neo Cortex, and new baddie Rill Roo, and race for points in more than 30 competitive events.  With a Multitap, you can race up to three of your friends and show who's the top bandicoot.  It's a good old-fashioned bandicoot brawl.",68,8.0,Party
14,160697,https://www.metacritic.com/game/nintendo-64/mario-party,https://static.metacritic.com/images/products/games/7/475f3229807b58e1cf9a3de7d7ad2595-98.jpg,Mario Party,Nintendo 64,"February 8, 1999","Tensions mount for Mario and pals as each declares himself to be the one true Super Star of Marioland. Face your friends and family in a contest of strength, wits and agility as you explore 6 thriling Adventure Boards. Reveal new levels of gaming excitement as you customize your boards with speed blocks, warp blocks and other specialty items. Jam-packed with all the electricity of an entire arcade, the action comes alive for up to 4 players. So grab your friends and get ready for a wild ride because this party never ends!",79,8.1,Party
15,239941,https://www.metacritic.com/game/3ds/mario-party-island-tour,https://static.metacritic.com/images/products/games/1/19d72d17e6ac860dc1dff47010651cd4-98.jpg,Mario Party: Island Tour,3DS,"November 22, 2013","The game features seven different game boards, each with its own set of rules. The game offers 81 new mini-games that test speed, concentration and luck. In addition to the board game elements, players are be able to play mini-games exclusively or try their hands at a 30-floor tower climb, AR Card games and StreetPass battles.",57,6.0,Party
