,id,url,image,title,platform,release_date,summary,metascore,userscore,genre
0,161778,https://www.metacritic.com/game/playstation/peter-pan-in-disneys-return-to-neverland,https://static.metacritic.com/images/products/games/8/93ef0275e568c58864b8badbf4107164-98.jpg,Peter Pan in Disney's Return to Neverland,PlayStation,"February 14, 2002",,59,5.4,Platformer
1,161197,https://www.metacritic.com/game/gamecube/sonic-adventure-2-battle,https://static.metacritic.com/images/products/games/7/83790faf6abec68e9ffeb85ed53244d9-98.jpg,Sonic Adventure 2 Battle,GameCube,"February 11, 2002","Sonic and company are back and better than ever in Sonic Adventure 2: Battle.  Dr. Eggman is causing trouble once again, and it's up to Sonic, Tails, and Knuckles to stop him.  Experience faster action, all-new two-player games, and a branching storyline that lets you choose to save the world as the Hero side, or conquer it as the Dark side.  In the single-player mode, you'll go through more than 30 unique stages, which include a forgotten pyramid, an abandoned military base, and a giant space station.  And then there's the expanded two-player mode, which features 12 playable characters competing in new head-to-head games.",73,8.4,Platformer
2,101308,https://www.metacritic.com/game/playstation-2/maximo-ghosts-to-glory,https://static.metacritic.com/images/products/games/8/fa5fdfe9ff9a9a8ea908957cbfc423bf-98.jpg,Maximo: Ghosts to Glory,PlayStation 2,"February 11, 2002","You control the fate of the gallant Maximo, who returns home to find his kingdom in shambles. Your once trusted advisor, Achille has wrought evil on the land. Not only is the countryside filled with hoards of the roaming undead, but the four wise Sorceresses have been imprisoned at the four corners of the Kingdom, and to make matters worse, your girlfriend, Princess Sophia has been forced to marry the scoundrel Achille. Help Maximo rescue the Sorceresses, restore good to the kingdom, whup Achille's butt, and while you're at it...get your girl back! [Capcom]",84,8.8,Platformer
3,161028,https://www.metacritic.com/game/game-boy-advance/super-mario-world-super-mario-advance-2,https://static.metacritic.com/images/products/games/8/5f6feb85d196ccad9296f6a651fb42fa-98.jpg,Super Mario World: Super Mario Advance 2,Game Boy Advance,"February 9, 2002","Mario hasn't even had a chance to savor his victory in the original Super Mario Advance, and already he's back for more in Super Mario World: Super Mario Advance 2.  This game is a re-creation of the Super NES classic Super Mario World, featuring every last secret exit and all 74 levels of platform-jumping action.  Once again, Princess Peach has been kidnapped by the ever-diabolical Bowser, and Mario and Luigi set out on a massive adventure to rescue her.  As either Mario or Luigi, you'll solve puzzles, shoot fireballs, fly, and discover the hidden secrets in Dinosaur Island.",92,9.2,Platformer
4,161131,https://www.metacritic.com/game/game-boy-advance/sonic-advance,https://static.metacritic.com/images/products/games/1/b9940403e633da918871e5434a224ce9-98.jpg,Sonic Advance,Game Boy Advance,"February 3, 2002","Sonic is back to save the world! The evil Dr. Eggman is at it again, with a brand new scheme to trip up Sonic and his pals. Maneuver your way through obstacles, puzzles and traps to collect the chaos emeralds and defeat the vile Dr. Eggman before it's too late!",87,7.9,Platformer
5,161108,https://www.metacritic.com/game/playstation/mega-man-x6,https://static.metacritic.com/images/products/games/8/4e8c938a1c8a3632db55cde8e66fdefc-98.jpg,Mega Man X6,PlayStation,"December 4, 2001","It's been three weeks since Earth's near collision with the space colony Eurasia. The disaster was averted by Zero's heroics. Now, on a bruised and battered planet, tales of rampagning reploids are surfacing. It's up to Mega Man X to investigate these mysteries but it's not going to be easy. Mega Man X must battle through a maze of levels and rescure reploids along the way. Return to battle agagin and again with the new Nightmare System, which randomizes level maps, enemies and endings based on how you play the game. Mega man X is back and now it's personal!",65,6.8,Platformer
6,101698,https://www.metacritic.com/game/playstation-2/jak-and-daxter-the-precursor-legacy,https://static.metacritic.com/images/products/games/8/e416bb54db9105830f0764326d5720fc-98.jpg,Jak and Daxter: The Precursor Legacy,PlayStation 2,"December 3, 2001","Jak and Daxter are quite a comic duo! Jak's the strong, silent type of hero, while Daxter's the obnoxious comic nut! The adventure takes place across a massive piece of continuous coastline - you can explore freely, with no loading screens and no waiting time.  All characters and environmental elements exist in real time and have incredibly smart A.I.; you can't ignore or hide from enemies, they will follow you everywhere. (""Which is supposed to be a good thing?"") [Sony]",90,8.9,Platformer
7,101691,https://www.metacritic.com/game/playstation-2/frogger-the-great-quest,https://static.metacritic.com/images/products/games/1/81d3e44d5de5160c76f7bad41a5a9c99-98.jpg,Frogger: The Great Quest,PlayStation 2,"November 18, 2001","When Frogger makes a wish on a falling star, the Fairy Frogmother appears and tells him he should follow his heart's desire. She grants him three gifts: a Magic Bag that can hold many items, the power to see Fairies and Magic Items, and protection from serious harm. With her advice and support, Frogger gathers up his courage and sets off in search of the adventure of a lifetime. [Konami]",32,4.6,Platformer
8,161162,https://www.metacritic.com/game/game-boy-advance/wario-land-4,https://static.metacritic.com/images/products/games/2/8c8e2dc75bf0327029522b1e5d96aebf-98.jpg,Wario Land 4,Game Boy Advance,"November 18, 2001","Hey! You! Yeah, you! Listen up when Wario's talking to you! I just read about this legendary Pyramid of Gold, and you're gonna help me go explore it. There's lots of treasure in there for the taking, and I want it all. I'm sure there are gonna be all kinds of weird enemies and big, bad bosses in there, so if you don't think you can hack it, put the game down now. I don't want any losers making me jump into bottomless pits, you hear me?",88,8.7,Platformer
9,161276,https://www.metacritic.com/game/gamecube/disneys-tarzan-untamed,https://static.metacritic.com/images/products/games/6/8ef94eb60f20bdbc347d9899a809f3a4-98.jpg,Disney's Tarzan Untamed,GameCube,"November 17, 2001","As the primal action hero Tarzan, use extreme athletic skills through the dense jungle to rescue your animal friends from vicious poachers.",61,7.0,Platformer
