,id,url,image,title,platform,release_date,summary,metascore,userscore,genre
0,108177,https://www.metacritic.com/game/ds/sudoku-gridmaster,https://static.metacritic.com/images/products/games/7/3c5dd02e5352206945585da63c9e8be7-98.jpg,Sudoku Gridmaster,DS,"June 26, 2006","Sudoku Gridmaster uses intuitive Touch Screen controls that make solving the puzzles faster and easier. Simply touch the square you want to fill in, then touch your answer on the number pad. You can also choose to forgo the number pad and write your answer directly on the Touch Screen. Sudoku Gridmaster has plenty of helpful gameplay features to help you solve even the most complicated puzzles. Beginners will love the four in-depth tutorials that can be accessed at any time—even in the middle of a game. Experts will appreciate the ability to highlight entire rows and columns with a single touch. And everyone will wonder how they survived without the ability to highlight all instances of the same number at once. The game features puzzles in four difficulty settings (practice, easy, normal, and hard), and also has a fun unlockable system where you earn stars by performing well. If you gain enough stars, you'll be able to take a test and prove your skills. Pass the test to win a special award and open up even more puzzles. [Nintendo]",62,6.0,Puzzle
1,107746,https://www.metacritic.com/game/ds/magnetica,https://static.metacritic.com/images/products/games/6/e1e40c60b9bdd4f736b48e94c6b434e6-98.jpg,Magnetica,DS,"June 5, 2006","(Also known as ""Actionloop"" and  ""Puzzleloop"") Marbles are exclusively controlled by the stylus in this title that satisfies even the strongest puzzle addiction. Marbles are rolling relentlessly down a twisted track toward you. Stop them by launching launch new marbles with your stylus. When three or more like-colored marbles match up, they vanish. Tons of power-ups, multiple tracks and a great multiplayer mode make Magnetica a must for puzzle/action fans. Innovative use of stylus to flick marbles.Ultrarealistic magnetic physics: Launched marbles will curve toward like-colored balls. Three single-player modes: Challenge, Quest and Puzzle. Multiple paths and scads of power-ups and hazards will keep you on your toes. Consult the all-in-one dashboard on your top screen. Show off your Magnetica personalty by battling a friend head-to-head. Single-player items boost your score, slow down or stop time, or reverse the course of the marbles. Versus weaponry includes Ion Clouds (smoke screens you'll have to blow away via the DS mic), Recoils (which block marbles), Black Holes (which suck up launched marbles), Viruses (which deflect marbles) and Gravitons (which alter the path of launched marbles). A seemingly endless array of fresh twists will keep drawing you back to single-player Magnetica. Switches, tracks that pass over or below each other, and moving barriers that deflect marbles will keep you flicking marbles for hours. [Nintendo]",68,7.7,Puzzle
2,106771,https://www.metacritic.com/game/psp/lemmings,https://static.metacritic.com/images/products/games/1/8e374ae8bfeb6afceebc83ffab95b58a-98.jpg,Lemmings,PSP,"May 23, 2006","Controlling an army of lemmings, the aim is to get as many of these cute characters as you can from the entrance point to the exit point of a level within a time limit. Easy to learn, difficult to master; Lemmings is a test of strategy and fast thinking as you make 'on the spot', life or death decisions for your band of trusting little creatures. Use the unique skills of your Lemmings team to overcome the hazards ahead: The 'Bomber' explodes at will, the 'Floater' can survive high falls and the 'Basher' digs horizontally just when you need it. The 'Climber' is at hand for those tricky mountain ranges, the 'Blocker' creates an obstacle in the path ahead and the 'Builder' is there to construct walkways for his friends. Stretch your strategies across 100 plus levels as you lead your lemmings across an immense variety of challenging backdrops. The levels are arranged into five striking themes, each with its own unique visual flavour. So, whether it's going underground into the sewers or marching through fields and forests, the lemmings always have new terrain to explore. [SCEE]",76,7.9,Puzzle
3,162962,https://www.metacritic.com/game/game-boy-advance/dr-sudoku,https://static.metacritic.com/images/products/games/2/fa680ed0565c1a388693f01bab15be2c-98.jpg,Dr. Sudoku,Game Boy Advance,"May 3, 2006","Sudoku looks like a math problem, but it's not. The rules are simple: start with a grid consisting of nine three-by-three squares in which some of the numbers are already supplied. Fill in the blank squares so that each column, row, and three-by-three grid contains a number from 1 to 9 with none repeated. The game features hundreds of puzzle problems, a tutorial mode, help for those moments when you really are stuck, the ability to 'pencil in' possible solutions, and a puzzle problem creation mode.",68,tbd,Puzzle
4,109524,https://www.metacritic.com/game/pc/armadillo-run,https://static.metacritic.com/images/products/games/4/96abffa2c8554400cf5492fdb3293da5-98.jpg,Armadillo Run,PC,"April 22, 2006","Armadillo Run is a physics-based puzzle game. You have to build structures with the purpose of getting an armadillo to a certain point in space. There is a selection of building materials, each with different properties, which can be combined to form almost anything. The realistic physics simulation gives you the freedom to solve each level in many different ways.",88,7.7,Puzzle
5,107706,https://www.metacritic.com/game/psp/bust-a-move-deluxe,https://static.metacritic.com/images/products/games/6/5ff8bbdddb1d6936f0fe3d36be9d096d-98.jpg,Bust-A-Move Deluxe,PSP,"April 4, 2006","(Currently available in the UK/EU/JPN only; also know as ""Puzzle Bobble Pocket"" and ""Ultra Bust-A-Move Pocket"")  BAM ghost is one of the best versions of this game game for his spooky and funny environment and above all for his several game modes. You can play a funny and creative variation of the classic bust a move game, followed by your favorite characters (who forgot ""the ghost whale"" from Bubble Bobble?) or by one friend wireless. Play screen that tilts due to the ""weight"" of bubbles or ""mix‘em up"" colors in a series of stages where colours changes all of a suddenand many others. [505 GameStreet]",67,tbd,Puzzle
6,107722,https://www.metacritic.com/game/xbox-360/astropop,https://static.metacritic.com/images/products/games/2/316d5a3ee66df68d4cf0b71ab935fadf-98.jpg,AstroPop,Xbox 360,"March 22, 2006","[Xbox Live Arcade]  Fire your rockets and blast off to fast-paced, arcade-puzzle action. Astropop blends fast twitch challenge with an offbeat, fun storyline. Choose from four space pilots, each with unique abilities and weaponry. Then grab, group, and blast bricks to create combos and clear a path to the stars. As you progress, a mysterious link between the pilots unfolds against a backdrop of spectacular graphics, captivating sound effects, and myriads of scoring opportunities. Astropop's two different gameplay modes (Classic & Survival), coupled with 33 challenging bonus rounds, offers hours of extraordinary replay value for players of all ages and skill levels. [Xbox.com]",78,5.5,Puzzle
7,107578,https://www.metacritic.com/game/psp/go!-sudoku,https://static.metacritic.com/images/products/games/8/5b5d8b5c023d5ef56ca9b045437d4321-98.jpg,Go! Sudoku,PSP,"March 21, 2006","Use simple logic to place the numbers 1 to 9 in the correct positions until the whole Game Grid is full, ensuring that every column, every row and every 3X3 box contains the numbers 1 to 9 only once, without any duplications. Features 1000 Sudoku puzzles of varying difficulty, with loads more available via download. Go head-to-head or work as a team in 3 multiplayer modes and share puzzles with your friends in Game Sharing Mode. Learn the basics or fine tune your Sudoku skills with the intuitive training modes. Bin your pen and paper and enjoy an interactive Sudoku experience with customizable Game Grids, time challenge puzzles, music, animated backgrounds and much more. [SCEE]",63,5.3,Puzzle
8,107536,https://www.metacritic.com/game/ds/tetris-ds,https://static.metacritic.com/images/products/games/6/3ae2f25117147ac098027a9a6e3355eb-98.jpg,Tetris DS,DS,"March 20, 2006","10 DS players can battle with only one Tetris DS card. Each of the six modes of play features a theme based on a classic Nintendo game, such as Super Mario Bros., The Legend of Zelda or Metroid. The traditional Tetriminos (falling blocks) and line-clearing strategy remain the staples of the game, but the touch screen adds a new element of interactivity. Some modes give players special Tetris puzzles to solve. Others feature head-to-head action between two players, or massive wireless battles between 10 DS users, even if only one player has a game card. Players also can log onto Nintendo Wi-Fi Connection to compete in two- or four-player battles. Tetris DS even includes a point-based rating system based on players' battle results. Opponents can see one another's ratings, which indicate their skill levels. Every gamer, whether competitive or casual, will find a way to reconnect with one of the most popular puzzle games in history. Look for more details about the new game play modes on Nintendo.com in the weeks leading up to the game's release. [Nintendo.com]",84,7.9,Puzzle
9,107723,https://www.metacritic.com/game/xbox-360/feeding-frenzy,https://static.metacritic.com/images/products/games/3/097a6aedb18314f2208b96f57c267347-98.jpg,Feeding Frenzy,Xbox 360,"March 10, 2006","[Xbox Live Arcade]  Slurp, gulp, and crunch your way all along the Frenzy Coast in Feeding Frenzy! The rules here are simple: Eat anything that's smaller than you and swim clear of everything else. The more you eat, the bigger you get, and the bigger you get, the closer you come to taking on the fearsome Shark King. Starfish bubbles don't help you grow, but they’re an easy way to boost your score. Oysters offer up bonus points in the form of pearls, but be quick or the shell could snap shut with you inside! Nibbling on the tail of a patrolling barracuda is a risky way to earn extra points—he can turn on you in an instant. And the jellyfish - well, it's best to swim clear of them altogether. Did you know that tuna can swim up to 50 miles per hour? Or that a parrot fish can change its gender? Feeding Frenzy includes more than four dozen fascinating fish facts like these - one between each game level. [Xbox.com]",65,7.1,Puzzle
