,id,url,image,title,platform,release_date,summary,metascore,userscore,genre
0,160884,https://www.metacritic.com/game/playstation/rc-revenge,https://static.metacritic.com/images/products/games/4/dec7740ea4a78463d977a39e7a80db89-98.jpg,RC Revenge,PlayStation,"August 16, 2000",RC Revenge is intensely playable and highly polished - a far cry from its predecessor.,72,tbd,Racing
1,161944,https://www.metacritic.com/game/dreamcast/walt-disney-world-quest-magical-racing-tour,https://static.metacritic.com/images/products/games/4/b6c01fac0b64c37269c0de9d82b78df7-98.jpg,Walt Disney World Quest: Magical Racing Tour,Dreamcast,"July 19, 2000","Catch The Magic!

Experience the thrill of WALT DISNEY WORLD Quest - Magical Racing Tour and find all the missing pieces of the Fireworks Machine. Speed around 13 raceways based on popular WALT DISNEY WORLD Theme Parks and Water Parks, including: Space Mountain, Test Track at Epcot and Rock 'n' Roller Coaster.",65,8.0,Racing
2,160686,https://www.metacritic.com/game/playstation/jeremy-mcgrath-supercross-2000,https://static.metacritic.com/images/products/games/6/0c2e37acfcc67d1a2c8460ce92c1afad-98.jpg,Jeremy McGrath Supercross 2000,PlayStation,"July 14, 2000",Jeremy McGrath is an unfortunate example of what happens when sports games fall into a rut.,43,tbd,Racing
3,160790,https://www.metacritic.com/game/dreamcast/test-drive-v-rally,https://static.metacritic.com/images/products/games/0/832e73634cb2fc843117815591df7779-98.jpg,Test Drive V-Rally,Dreamcast,"July 2, 2000","The Ultimate Open Road Racing Championship. 16 officially licensed rally cars with 10 bonus cars. Over 80 new tracks in over 12 different countries exclusively for the Sega Dreamcast. Powerful track editor and generator - create, save and exchange saved tracks you create! Real-Time Damage feature shows visible damage during game play.",86,8.3,Racing
4,101156,https://www.metacritic.com/game/pc/f1-world-grand-prix,https://static.metacritic.com/images/products/games/6/5b095264e3ea4dd92915cdb7269810f4-98.jpg,F1 World Grand Prix,PC,"July 1, 2000","F1 World Grand Prix is the follow to ""Official Formula 1 Racing."" This new game in the franchise will feature all the teams, drivers, and circuits from the 1999 Formula 1 season. A host of graphical and gameplay improvements have been added while retaining the speed, intuitiveness, and fun offered by the first game.",71,6.9,Racing
5,160860,https://www.metacritic.com/game/nintendo-64/rally-challenge-2000,https://static.metacritic.com/images/products/games/0/7741dd7c9e6e69dd159f61ea7e6791f0-98.jpg,Rally Challenge 2000,Nintendo 64,"June 30, 2000","RALLY CHALLENGE 2000 takes you on a scorching tour around the world. Get behind the wheel of one of nine authentic WRC cars, each with its own unique settings for speed, torque and steering. Experience road rage of global proportions. Nasty weather and wicked terrain make even straightaways life-threatening. Go it alone or head-to-head with up to four players. Check out instant replay of all the action from multiple angles. Keep your road rage in check - collision damage could put you on the sidelines.",41,6.6,Racing
6,101180,https://www.metacritic.com/game/pc/breakneck-2000,https://static.metacritic.com/images/products/games/0/aa055ca514b3ff23bdf577737e59af6a-98.jpg,BreakNeck (2000),PC,"June 21, 2000","Want to be hurled into the most stunning racing environments ever seen on PC? Want to race with over 40 vehicles, across 24 tracks in seven different scenarios? Want to feel the road under your wheels? Want to feel the recoil as you unleash a missile? Your life needs BreakNeck. The speed is spine-crushing!  [SouthPeak Interactive]",76,6.7,Racing
7,160664,https://www.metacritic.com/game/nintendo-64/excitebike-64,https://static.metacritic.com/images/products/games/4/538d9e8fa698e5b591db1e2113f5fe46-98.jpg,Excitebike 64,Nintendo 64,"April 30, 2000","Experience extreme MX! You grind your way through the hairpin turn, a wall of mud exploding in your wake. Your next jump launches you into the air - you pull off a spectacular double no-footed can-can and become an instant legend! In Excitebike 64, you'll find all the high-flying action, heart-stopping stunts and bone-jarring crashes of the extreme sport of motocross. It'll set the daredevil inside you free. 20 stadium tracks and awesome outdoor courses - plus six different riders with six unique styles!",88,8.2,Racing
8,160712,https://www.metacritic.com/game/playstation/need-for-speed-porsche-unleashed,https://static.metacritic.com/images/products/games/2/8ba080d6ae3cd504b2e6bc8a5f51ccf7-98.jpg,Need for Speed: Porsche Unleashed,PlayStation,"February 29, 2000","Need for Speed: Porsche Unleashed tests your driving skills while you test-drive some of Porsche's most popular cars. In the game, you'll compete in levels that feature twists, turns, and various driving conditions. You can participate in different types of races, including circuit, streetcar, open road, and more. Survive all the crashes, police, and track challenges to earn prizes and respect. With enough money, you can purchase different custom parts for your vehicle.",78,8.2,Racing
9,160736,https://www.metacritic.com/game/nintendo-64/ridge-racer-64,https://static.metacritic.com/images/products/games/6/a74fafc279d7b3431c2fe1897a897dd0-98.jpg,Ridge Racer 64,Nintendo 64,"February 14, 2000","Race into action with RR64! It's got all the fast-paced arcade action you've come to expect from the Ridge Racer name, plus extra features you've never seen before! Race with up to four players simultaneously on the same screen. Compete on never-before-seen tracks and witness amazing special effects. You've never seen a Ridge Racer like this! Choose from 25 cars and race on 9 different courses.",82,8.1,Racing
