,id,url,image,title,platform,release_date,summary,metascore,userscore,genre
0,101369,https://www.metacritic.com/game/pc/original-war,https://static.metacritic.com/images/products/games/9/01d86da7e2cf0347fef6f2cef058ad0f-98.jpg,Original War,PC,"December 3, 2001","A real-time strategy game in which the plot influences mission objectives and which has multiple endings depending on player's actions. Contrary to other games, there is no other way of creating new human units. Each man or woman is unique. [Altar Interactive]",61,8.8,Real-Time
1,161105,https://www.metacritic.com/game/gamecube/pikmin,https://static.metacritic.com/images/products/games/5/dc18f3d6dcf49a3b5482aad96fc0925c-98.jpg,Pikmin,GameCube,"December 2, 2001","Pikmin may be small and plantlike, but they can be a space traveler's best friend.  Stranded on an unknown planet, Captain Olimar must enlist the help of these native Pikmin to rebuild his spaceship before the life-support system runs out.   In the meantime, you'll have to fend off attackers and solve various puzzles. To produce additional multicolored Pikmin you must defeat enemies and carry them back to the Pikmin nests called onions.  But beware--watching giant predators gobble your Pikmin might make you angrier than you'd expect.",89,8.7,Real-Time
2,101907,https://www.metacritic.com/game/pc/swine,https://static.metacritic.com/images/products/games/7/97394c5c99caba4191038c3cc1d06d44-98.jpg,S.W.I.N.E.,PC,"November 19, 2001","The Pig National Army, following the orders of the notorious SteelFang, has attacked across the border of CarrotLand and the Rabbit capital is now under siege. The happy-go-lucky rabbits' only hope to save their country is to launch a guerilla-styled counterattack using a light, mobile shock force comprised of their remaining units under the player's command, in this hillarious RTS. [Fishtank Interactive]",65,8.3,Real-Time
3,102001,https://www.metacritic.com/game/pc/takeda,https://static.metacritic.com/images/products/games/1/fa8648b138ad10338c5368f8008b929b-98.jpg,Takeda,PC,"November 14, 2001","Historically real Japanese feudal war strategy. Test your strategic skills of warfare in the feudal days of Japan. Be a general in the most glorious days of the Japanese empire when Shoguns and warlords ruled the land. Position your armies where you can overwhelm your competitor. Play against a real artificial intelligence based upon the greatest warlords of all time, or combat your best friends in a game of skill and chance. [Xicat Interactive]",58,7.0,Real-Time
4,101810,https://www.metacritic.com/game/pc/europa-universalis-ii,https://static.metacritic.com/images/products/games/0/e938af400efaec898ce92f94c906607c-98.jpg,Europa Universalis II,PC,"November 12, 2001","From the medieval battles of Jeanne D'Arc to the fantastic empires of the Incas to the flaming wars of Napoleon, EU II invites you to take the seat as the ruler of a superpower for 400 epic years. The challenge begins in 1419 - the 100 years war between France and England - and ends with the rise and eventual fall of one of Europe's greatest strategists, Napoleon. Take on the role of the Colonizing Might of Spain, the feudal warlords of Samurai Japan as well as the small trading nation of Genoa. [Strategy First]",87,8.6,Real-Time
5,101323,https://www.metacritic.com/game/pc/empire-earth,https://static.metacritic.com/images/products/games/3/176c67edf56f46ef301d4033c5bce1fd-98.jpg,Empire Earth,PC,"November 12, 2001","From the lead designer of Age of Empires® comes Empire EarthTM a real-time strategy game that lets you control the destiny of a fledgling civilization through 500,000 years of human history. Choose any point in time and establish a civilization to transcend the ages and dominate the earth. [Sierra]",81,8.4,Real-Time
6,101587,https://www.metacritic.com/game/pc/star-trek-armada-ii,https://static.metacritic.com/images/products/games/7/ad6b81877b7b4c0129fae22cc4fa7ded-98.jpg,Star Trek: Armada II,PC,"November 12, 2001","Takes the concept of its predecessor to it's logical conclusion by allowing the player to experience the game in a full 3D mode, so the battles and elements of space conquest and exploration take on the vividness of the best of Star Trek. With over 45 new ship classes, 22 new special weapons, over 30 new stations, building a devastating armada has been taken to a new level. [Activision]",65,7.8,Real-Time
7,101564,https://www.metacritic.com/game/pc/star-wars-galactic-battlegrounds,https://static.metacritic.com/images/products/games/4/20c426dabb2b6bbbe5008d04abc612b4-98.jpg,Star Wars Galactic Battlegrounds,PC,"November 11, 2001","Galactic Battlegrounds lets you lead the armies of Star Wars to victory in intense, real-time strategy clashes. Enter the fray as the Galactic Empire, Rebel Alliance, Trade Federation, Wookiees and other civilizations in campaigns that will determine the final outcome of the Galactic Civil War. [LucasArts]",75,8.1,Real-Time
8,101170,https://www.metacritic.com/game/pc/battle-realms,https://static.metacritic.com/images/products/games/0/668d8782ca508d28ce167c8069f6e6c7-98.jpg,Battle Realms,PC,"November 7, 2001","A fantasy RTS combining a unique Living Resource System with a detailed combat model. After seven years of exile, Kenji returns to his war-torn homeland. Will he rise above his bitterness and liberate the land under the Dragon Clan flag, or will he give in to his darker side and conquer it as his father's Serpent Clan did so many years ago? Regardless of Kenji's choice, his actions will force him into conflict with the sinister Lotus Clan, the noble Wolf Clan and a mysterious foe from the past. [Ubi Soft]",82,8.6,Real-Time
9,101825,https://www.metacritic.com/game/pc/kohan-ahrimans-gift,https://static.metacritic.com/images/products/games/5/568d97258e0c8a2c6d360c96a91d4199-98.jpg,Kohan: Ahriman's Gift,PC,"November 5, 2001","A stand-alone prequel to ""Immortal Sovereigns,"" this RTS features you as one of the Kohan, an ancient race devastated by a cycle of world-breaking cataclysms. Now, as your strength grows and your destiny unfolds, you have to seize the reins of power and take your place in the war between the Creator and the Shadow. [TimeGate Studios]",79,8.6,Real-Time
10,101617,https://www.metacritic.com/game/pc/conflict-zone,https://static.metacritic.com/images/products/games/7/77a1c3ec374195c9aa9b780214fcdbf0-98.jpg,Conflict Zone,PC,"October 31, 2001","It's early 21st century and the majority of the world's countries have created the International Corps for Peace, an organisation dedicated to  bringing about world peace. However, not all countries are keen to be  involved and these persist in generating conflicts through the  organisation GHOST. A secret organisation, which warrants only the  economic interests of its members without any attachment to morals,  GHOST, does not hesitate to create crisis situations with the goal of  destabilising the world-wide equilibrium and endanger any chance of  peace?[Ubi Soft]",59,5.3,Real-Time
11,101472,https://www.metacritic.com/game/pc/myth-iii-the-wolf-age,https://static.metacritic.com/images/products/games/2/0eb3aae8ebc0017d3a9ab48ab6635b87-98.jpg,Myth III: The Wolf Age,PC,"October 30, 2001","Myth III: The Wolf Age takes place 1000 years before the first two Myth games. This prequel is a fully 3D squad-based Real Time Strategy (RTS) fantasy game that follows the life of Connacht the Wolf ? the legendary hero who saved humanity from the Myrkridia and the oppressive Trow to ultimately become the Emperor of all human lands. To defeat your enemies, you must cast spells, gain experience, collect items, and build ancient devices. [GodGames]",76,6.8,Real-Time
12,161001,https://www.metacritic.com/game/dreamcast/bomberman-online,https://static.metacritic.com/images/products/games/1/4dcfd86bc6e6d00d4e57ed03291da1c3-98.jpg,Bomberman Online,Dreamcast,"October 30, 2001","Blast your way through the levels by destroying your opponents with strategically placed bombs. You need to use your bombs effectively, but you also better know when to run! Brand new stages and frantic new modes create an endless chain reaction of fun!",80,8.6,Real-Time
13,102898,https://www.metacritic.com/game/pc/magic-mayhem-the-art-of-magic,https://static.metacritic.com/images/products/games/8/706dadb6d564e0bdee479d577bad222b-98.jpg,Magic & Mayhem: The Art of Magic,PC,"October 26, 2001","A unique blend of strategy, tactical combat, and role-playing brought to life with full 3D graphics and an epic storyline. As a Wizard, you have the power to conjure terrifying creatures and devastating spells against you opponent. Before each battle, you choose which spells you will bring with you, and then use the spells in real-time tactical combat against your opponent. [Bethesda Softworks]",71,7.0,Real-Time
14,101390,https://www.metacritic.com/game/pc/stronghold,https://static.metacritic.com/images/products/games/0/3aac9966ea55c2c43c49c4c0f90a804f-98.jpg,Stronghold,PC,"October 21, 2001","Set in medieval Europe, players establish settlements, build and manage castles and engage in siege warfare. The game incorporates much more building and ""community managing"" than a traditional RTS, yet allows for a more intense combat experience than city builders have featured in the past.  [GodGames]",81,8.8,Real-Time
15,101737,https://www.metacritic.com/game/pc/world-war-iii-black-gold,https://static.metacritic.com/images/products/games/7/194d50e7c2331b9a66d5dd696c123229-98.jpg,World War III: Black Gold,PC,"October 16, 2001","A fully 3D RTS featuring three parties: the USA, Russia and Iraq. Whichever is chosen allows the player to select two campaigns, consisting of 5 missions on average. Features a first-rate weapon system: anti-aircraft, anti-tank, mass destruction weapons, highly destructive chemical weapons. The existing weapon systems allow the player to exploit weaknesses in the enemy defense. [JoWood]",71,5.9,Real-Time
16,101640,https://www.metacritic.com/game/pc/command-conquer-red-alert-2---yuris-revenge,https://static.metacritic.com/images/products/games/0/81afdb2ef323533145e189221f39a7ed-98.jpg,Command & Conquer: Red Alert 2 - Yuri's Revenge,PC,"October 10, 2001","This Red Alert 2 Expansion Pack finds Yuri ready for world domination in a post-peace treaty, free world. Refining his mind-control technologies, he's created an army of terrors, from mind-controlling tanks to long-range psychics, whose brains are their biggest weapons.  Play as Allies or Soviets, and take on Yuri in Hollywood, Egypt -- even the moon -- in 14 new solo campaign missions. [Westwood Studios]",86,8.9,Real-Time
17,101814,https://www.metacritic.com/game/pc/patrician-ii-quest-for-power,https://static.metacritic.com/images/products/games/4/344ee7c1b1ebbe0295f8f2b2821aba40-98.jpg,Patrician II: Quest for Power,PC,"October 8, 2001","A real-time trading simulation featuring elements of construction and the historical background of maritime trade in the North European area between London and Novgorod during the 1300's. As a citizen of a medieval town, the aim of the game is to rise from the status of a simple trader to that of a big businessman and perhaps to the head of the Hanseatic League. [Strategy First]",76,6.9,Real-Time
18,101333,https://www.metacritic.com/game/playstation-2/kessen-ii,https://static.metacritic.com/images/products/games/3/e84f926cd65de8749bfb5e8ab6083c72-98.jpg,Kessen II,PlayStation 2,"September 26, 2001","Assume the role of historical Chinese general Liu Bei of the Shu kingdom whose ultimate goal is the destruction of the Cao Cao, the leader of the Wei kindgom in order to rescue his lost love and claim his opponenet's land.  New ""Agen Technology"" allows for 500 soldiers on-screen at a given time.",71,8.6,Real-Time
19,101488,https://www.metacritic.com/game/pc/real-war,https://static.metacritic.com/images/products/games/8/0b583b3dc4a33e31fd7330132ffb68c8-98.jpg,Real War,PC,"September 24, 2001","Engage in 24 RTS missions, 12 as the U.S. Military and 12 as the terrorist Independent Liberation Army; control over 60 military units, all of which become tougher and faster with experience; and fight against up to 3 other commanders online.",48,6.2,Real-Time
20,102857,https://www.metacritic.com/game/pc/commandos-2-men-of-courage,https://static.metacritic.com/images/products/games/7/399cd25b120bbb1f31f634a92aa7d41f-98.jpg,Commandos 2: Men of Courage,PC,"September 20, 2001","A tactical action/strategy game set against the backdrop of WWII. Take control of an elite group of commandos who must venture deep into enemy territory and utilize their combined expertise to complete a series of mission-based objectives. Go covert into new environments based on authentic WWII locations: the heart of the third Reich, a northern European submarine installation, and the headquarters of the Japanese army.  [Eidos Interactive]",87,8.8,Real-Time
21,101614,https://www.metacritic.com/game/pc/rails-across-america,https://static.metacritic.com/images/products/games/4/8c8f5c3f2b56d3f0f871968770b91c16-98.jpg,Rails Across America,PC,"September 18, 2001","A game of railroad empires in North America, covering the period from 1830 to the near future. It is a real-time strategy with a ""sim"" flavor. Rails allows hundreds of tracks with thousands of trains crossing the continent. Players must focus on where to expand, where to compete, and when to call in favors from government officials, union leaders, and other powerful figures.  [Strategy First]",81,7.0,Real-Time
22,101428,https://www.metacritic.com/game/pc/far-gate,https://static.metacritic.com/images/products/games/8/f7fcac0bc3fcc1794f174b34e10ad4ca-98.jpg,Far Gate,PC,"September 10, 2001","Seattle development house Super X Studios brings us this 3D real-time strategy title set in massive, constantly changing and moving  360° space environments with 16 missions, 3 unique races, and over 75 distinctive units.",66,tbd,Real-Time
