,id,url,image,title,platform,release_date,summary,metascore,userscore,genre
0,160656,https://www.metacritic.com/game/playstation/dragon-valor,https://static.metacritic.com/images/products/games/6/790ec6f3dcc5bf8c8aa25bec036d3c08-98.jpg,Dragon Valor,PlayStation,"October 16, 2000","The branching family tree adds a measure of replay value, but the game is average enough that few will want to play it through more than once.",57,8.6,Role-Playing
1,102891,https://www.metacritic.com/game/pc/wizards-warriors,https://static.metacritic.com/images/products/games/1/6be90780864bc08ee0b5f09d7d0f97a9-98.jpg,Wizards & Warriors,PC,"September 27, 2000","In an enchanted medieval realm, an evil Pharaoh has overcome a curse to wreak havoc. Only the legendary Mavin Sword has the power to bring his defeat. With the assistance of Kerah, an angel, and Erathsmedor, a dragon, you must embark on a dangerous quest to bring an end to all evil in the land.  [Activision]",70,7.5,Role-Playing
2,101179,https://www.metacritic.com/game/pc/baldurs-gate-ii-shadows-of-amn,https://static.metacritic.com/images/products/games/9/fee92d54ce517ca92f49122771fd4aa5-98.jpg,Baldur's Gate II: Shadows of Amn,PC,"September 24, 2000","An epic continuation of the story that began in ""Baldur's Gate,"" this RPG is set along the southern portion of the Sword Coast, a detailed and rich area of the Forgotten Realms called Amn. It features 300 spells and 130-plus monster types compared to only 130 spells and 60 monster types in Baldur's Gate. [Interplay]",95,9.1,Role-Playing
3,160832,https://www.metacritic.com/game/playstation/rpg-maker,https://static.metacritic.com/images/products/games/2/46750f05ed7393b383d8f7052800acc9-98.jpg,RPG Maker,PlayStation,"September 19, 2000","For the first time ever, RPG fanatics are given the chance to be true game designers. You construct an entire RPG using the massive library of in-game design tools: plot your story path, create an incredibly nasty boss, customize dungeons and maps, even animate your own title screen. When your RPG masterpiece is complete, save it and challenge friends to play through your one-of-a-kind fantasy adventure creation.",66,7.7,Role-Playing
4,160720,https://www.metacritic.com/game/playstation/parasite-eve-ii,https://static.metacritic.com/images/products/games/0/cecb851df8d59d18cbde94698b75511f-98.jpg,Parasite Eve II,PlayStation,"September 12, 2000","Aya Brea is back. The Neo Mitochondrion Creature infestation has resurfaced and taken on a sinister twist. The outcome of this battle will determine earth's dominant species. Horrifying CG cinemas and sharper graphics bring the shocking new storyline to life as Aya hunts for the source of the outbreak. Fully-upgradable weapons, customizable armor, and a new, real-time battle system will aid in the conflict, along with powerful new Parasite Energy abilities.",79,8.7,Role-Playing
5,160786,https://www.metacritic.com/game/playstation/valkyrie-profile,https://static.metacritic.com/images/products/games/6/09a029626c937b7cee6d76402abf1243-98.jpg,Valkyrie Profile,PlayStation,"August 29, 2000","You must gather the souls of fallen warriors and train them to fight at Odin's side. From the creators of STAR OCEAN The Second Story™, Valkyries Profile sets new standards for role playing games on the PlayStation® game console.",81,8.7,Role-Playing
6,160641,https://www.metacritic.com/game/playstation/chrono-cross,https://static.metacritic.com/images/products/games/1/4d458337d5127394cea7b9f8b444d8f2-98.jpg,Chrono Cross,PlayStation,"August 15, 2000","Featuring a storyline developed by the creator of Chrono Trigger and Xenogears, Chrono Cross has been christened the ""Best RPG Creation"" by its development team. With multiple scenarios cast along a single story thread, and many different endings, each replay can result in an entirely new adventure. In addition, a brand new battle system makes combat smooth and innovative by introducing an element field system and combo system that gives the player unparalleled flexibility in their fighting options. The elimination of random battles also quickens the pace of the game, and places the choice of where to battle in the player's hands. With character designs by a famed Japanese illustrator and music by the original Chrono Trigger composer, Chrono Cross features visuals and sounds that bring its magic to life.",94,8.8,Role-Playing
7,102847,https://www.metacritic.com/game/pc/soulbringer,https://static.metacritic.com/images/products/games/7/bef8cd593eabe0a637790cafc6b2c6b6-98.jpg,Soulbringer,PC,"June 30, 2000","It features a five-act plot that involves the player in a fully 3-D world with 1,000 years of history. It includes over 60 speaking NPCs with over 450 people to meet plus over 100 locations to visit spanning an incredible 60 unique maps!  [Interplay]",70,7.8,Role-Playing
8,101160,https://www.metacritic.com/game/pc/icewind-dale,https://static.metacritic.com/images/products/games/0/9a4a8111ad9a34d4bc7711b7ef07ce9e-98.jpg,Icewind Dale,PC,"June 29, 2000","A completely new Advanced Dungeons & Dragons adventure with an epic storyline in the tradition of ""Baldur's Gate."" Includes 3-D technology developed for ""Baldur's Gate II"" that allows for incredible spell and environment effects. New spells, equipment, and abilities provide a higher level of gameplay.  [Interplay]",87,8.3,Role-Playing
9,100487,https://www.metacritic.com/game/pc/diablo-ii,https://static.metacritic.com/images/products/games/7/1d7db04abd1981ab59dd2facf5733ca8-98.jpg,Diablo II,PC,"June 28, 2000","In Diablo II, return to a world of dark fantasy. As one of five distinct character types, explore the world of Diablo II -- journey across distant lands, fight new villains, discover new treasures, and uncover ancient mysteries, all in the quest to stop the Lord Of Terror, once and for all.  [Blizzard Entertainment]",88,8.8,Role-Playing
10,160690,https://www.metacritic.com/game/playstation/the-legend-of-dragoon,https://static.metacritic.com/images/products/games/0/16e7c57ba167935f5737fb9f24f1c5a9-98.jpg,The Legend of Dragoon,PlayStation,"June 11, 2000","A peaceful beginning. The legend was born 10,000 years ago. A violent uprising. A civilization of flying creatures enslave the human race. A bloody war. In a bid for freedom, the humans harness the spiritual forces of Dragons and triumph. Tranquility and harmony exist between all. But the past and the future are about to collide...Unveil a fantasy of Magnificence, Deception, Magical Combat and Retribution. Transform into Dragoons and unleash extraordinary powers. Incredibly diverse characters wield unique weapons and Dragoon attacks powered by the forces of Earth, Light, Fire, Wind, Lightning, Water and Darkness. Totally unique and innovative tactical combat ""Additionals"" System.",74,8.8,Role-Playing
11,102944,https://www.metacritic.com/game/pc/vampire-the-masquerade---redemption,https://static.metacritic.com/images/products/games/4/700db7b25d9886943067bf691815d79c-98.jpg,Vampire: The Masquerade - Redemption,PC,"June 7, 2000",Your unholy showdown begins in Europe and rages on into the modern day as you track a soulless enemy in an eternal struggle to destroy him.  [Activision],74,8.3,Role-Playing
12,161982,https://www.metacritic.com/game/playstation/vagrant-story,https://static.metacritic.com/images/products/games/2/4e0dd908bee16a52afabc754bb050782-98.jpg,Vagrant Story,PlayStation,"May 15, 2000","Relive an adventurous tale rich with agents, espionage, and conspiracies. Challenge deadly monsters and villains with your steel and magic. Clear your name by uncovering a sinister plot -- or perish in the attempt.",92,9.0,Role-Playing
13,102844,https://www.metacritic.com/game/pc/everquest-the-ruins-of-kunark,https://static.metacritic.com/images/products/games/4/8027e7a882d2477c845a8b003f980cde-98.jpg,EverQuest: The Ruins of Kunark,PC,"March 24, 2000","An entire world with its own diverse species, economic systems, alliances, and politics awaits you. Choose from a variety of races and classes, and begin your quest in any number of cities or villages throughout several continents. From there, equip yourself for adventure, seek allies and knowledge, and head out into a rich world of dungeons, towers, crypts, evil abbeys -- anything conceivable -- even planes and realities beyond your imagination. Learn skills, earn experience, acquire treasure and equipment, meet friends and encounter enemies. A multitude of quests and adventures await, but you choose your role, you define your destiny. [Sony Online Entertainment]",86,8.5,Role-Playing
14,100257,https://www.metacritic.com/game/pc/planescape-torment,https://static.metacritic.com/images/products/games/7/a99c16e3950e1ba1b6312a0daccac6b9-98.jpg,Planescape: Torment,PC,"December 14, 1999","Welcome to Sigil, the ""City of Doors"", a place with gates that lead anywhere in existence, provided you have the proper key. It is a neutral ground and watering hole for races across the multiverse, all under the watchful shadow of the Lady of Pain, the enigmatic ruler of the city. It is a place where the word is mightier than the sword, where thought defines reality, where belief has the power to reshape worlds and change the laws of physics. [Interplay]",91,9.2,Role-Playing
15,100261,https://www.metacritic.com/game/pc/asherons-call,https://static.metacritic.com/images/products/games/1/7d673b84eb4a582c13db61a5665ccf11-98.jpg,Asheron's Call,PC,"October 31, 1999","Welcome to the online role-playing game Asheron's Call, where thousands of players inhabit a beautiful 3D fantasy world to make friends and seek out perilous adventure. Customize your alter ego with a unique appearance and balance of heroic skills, then enter a magical frontier of terrible monsters, breathtaking vistas, and fast alliances. With over 500 square miles that offer ever more wonders to explore, Asheron's Call gives you a world of unparalleled scope and freedom, the richest setting yet for creating your personal saga or joining your friends in an epic campaign. [Turbine]",81,8.5,Role-Playing
