,id,url,image,title,platform,release_date,summary,metascore,userscore,genre
0,101243,https://www.metacritic.com/game/pc/airfix-dogfighter,https://static.metacritic.com/images/products/games/3/495be642fc2c16b272b93f60df8b9133-98.jpg,Airfix Dogfighter,PC,"January 14, 2000","Get behind the controls and take on the role of a WWII fighter pilot. Wreak havoc by raiding and ransacking your house in search of new model kits and tools, such as bombs and cannons with which to upgrade your firepower. Top speed and skill are imperative to survive.  [EON Digital Entertainment]",75,7.7,Simulation
1,100263,https://www.metacritic.com/game/pc/freespace-2,https://static.metacritic.com/images/products/games/3/28edf758857984205ae5ad2aa0edeac0-98.jpg,FreeSpace 2,PC,"September 30, 1999","The year is 2367. Thirty-two years have passed since the Great War. As Terrans and Vasudans struggle to rebuild their civilizations, civil war erupts in the Polaris system. A rogue Terran admiral declares war against the Vasudans, threatening the stability of the Alliance. Without warning, the Shivans return, and Terrans and Vasudans face annihilation at the hands of their Great War nemesis. [Interplay]",91,8.7,Simulation
2,100560,https://www.metacritic.com/game/pc/flanker-20,https://static.metacritic.com/images/products/games/0/6634965cc2878962e90a186a3ad50f39-98.jpg,Flanker 2.0,PC,"September 30, 1999","The usefulness of any combat system is a weapon. Flanker has a wide variety of air to air and air to ground missile and bomb systems which have realistic behavior and power. Using Russian satellite imagery Flanker provides photo-realistic terrain. The perfect flight dynamics, new 3D sound system, and accurate damage modeling offers players a true combat experience. [Eagle Dynamics]",81,tbd,Simulation
3,100020,https://www.metacritic.com/game/pc/falcon-40,https://static.metacritic.com/images/products/games/0/0da7a61b31bc3e5997e89f25d2aff293-98.jpg,Falcon 4.0,PC,"November 30, 1998","Falcon 4.0 is an extremely detailed Simulation integrating a fully dynamic, realtime Air, land, and sea war in which you take part as an F-16 pilot. Running on any OS platform capable of supporting Directx 5.0 and above. Falcon 4.0 not only simulates a fantastic and versatile fighter, but also a very versatile product. With 4 years of hard work behind it, it is the ultimate Simulation experience for all enthusiasts. [Falcon 4.0 HQ]",85,7.9,Simulation
4,160757,https://www.metacritic.com/game/nintendo-64/star-wars-rogue-squadron,https://static.metacritic.com/images/products/games/7/97ae599a8ff5cd2526c9cd970fcde7d7-98.jpg,Star Wars: Rogue Squadron,Nintendo 64,"November 17, 1998","Fly against the evil Empire! As Luke Skywalker, co-founder of the Rebel Alliance's elite Rogue Squadron, you must combat the evil Galactic Empire! Engage in intense, fast-paced planetary air-to-ground and air-to-air missions - dogfights, search and destroy, reconnaissance, bombing runs, rescue assignments and more! Pilot X-wings, Y-wings, A-wings, V-wings and Snowspeeders with powerful weapons in over 15 missions battling TIE fighters, TIE bombers, Imperial shuttles, AT-AT walkers, AT-STs and other challenging foes.",85,8.4,Simulation
5,160643,https://www.metacritic.com/game/playstation/colony-wars,https://static.metacritic.com/images/products/games/3/45688158c3cdea5500e5160be1043d8c-98.jpg,Colony Wars,PlayStation,"October 31, 1997",Delivers the real experience with its spectacular cinematic graphics.,91,8.3,Simulation
6,160618,https://www.metacritic.com/game/playstation/ace-combat-2,https://static.metacritic.com/images/products/games/8/210b055f45d61cf59bd00156b2f6a269-98.jpg,Ace Combat 2,PlayStation,"July 31, 1997","We've devised a weapon that's deadlier than a smart bomb. It's called a smart pilot. Now, Ace Combat 2 pits you against a whole squadron of them - 3-D polygonal jet jocks that maneuver like the real deal, turning every scorching sortie and dogfight into a kill-or-be-killed situation. With nearly double the missions of its predecessor, you'll double your chances of taking out the enemy. (Or taking a heat-seeker up the exhaust.)",83,8.6,Simulation
7,100013,https://www.metacritic.com/game/pc/interstate-76,https://static.metacritic.com/images/products/games/3/9c3aad07541235cea3a177876f5c65b3-98.jpg,Interstate '76,PC,"February 28, 1997","You are Groove Champion, auto-vigilante. Your agenda: Payback for your dead sister. Your weapon: A 425-horsepower '72 Picard Piranha with two 50-caliber M60 machine guns on top and a flame-thrower on the side. You're one mean dude in an even meaner ride. They've messed with the wrong Champion. [Activision]",80,8.5,Simulation
8,160725,https://www.metacritic.com/game/nintendo-64/pilotwings-64,https://static.metacritic.com/images/products/games/5/49637cf29e3916219b65cb183f5df5e3-98.jpg,Pilotwings 64,Nintendo 64,"September 29, 1996",Forget about those other flying games. This is the ultimate flight experience! Pilotwings 64 carries you off into a vast three-dimensional environment. Pilot several different vehicles and take in breathtaking sights! Successfully complete flight tests to earn your flight badge. Get a high enough score and you'll get a chance at bonus games such as Cannonball and Sky Diving! Soar into the wild blue yonder with Pilotwings 64!,80,8.0,Simulation
9,102184,https://www.metacritic.com/game/playstation-2/fire-blade,https://static.metacritic.com/images/products/games/4/e02b7943b767d7e2b7400749c9505b6a-98.jpg,Fire Blade,PlayStation 2,"June 16, 2002","In the cockpit of FireBlade there is one goal: use whatever means available to annihilate the terrorist cells flaming up around the globe. Battle through 18 Missions in 4 campaigns at the helm of the Carrier chopper or the Vendetta attack copter and unleash a barrage of hi-tech deadly weapons including Swarm Missiles, Sniper Cannons and Laser Guided Homing Missiles. Go turbo, or remain undetected from enemies in stealth mode. To win the war, you've got to end the war. Attack and destroy! [Midway]",64,tbd,Simulation
10,102262,https://www.metacritic.com/game/pc/f1-2002,https://static.metacritic.com/images/products/games/2/c2eccec02cc0b541623b777c3e70bb7f-98.jpg,F1 2002,PC,"June 11, 2002","In-depth telemetry -- Optimize vehicle setup, driving style and general performance using detailed Telemetry data; State of the art technology -- Cutting edge graphics technology, dynamic weather effects, real word lighting, character animation for pit crews, and engine and brake temperature modelling; Authentic 2002 driver controls -- Experience the same technological wizardry available to Formula One drivers, including Launch Control, Traction Control and variable level automated shifting; Greater Accessibility -- An all-new team themed user interface, enhanced game controller support and Force Feedback. [EA Sports]",88,7.5,Simulation
