,id,url,image,title,platform,release_date,summary,metascore,userscore,genre
0,161682,https://www.metacritic.com/game/gamecube/reign-of-fire,https://static.metacritic.com/images/products/games/2/b411c67b8b0c2a22d6c4dc63577221c0-98.jpg,Reign of Fire,GameCube,"November 26, 2002","Based on the movie, Reign of Fire lets you play as either a human or a dragon in an epic battle. As a human, you'll take the role of a resistance fighter who's trying to defend the last remaining humans from attack. You must make your way to the site of the sole male dragon using a variety of well-equipped vehicles and high-tech weaponry. As a dragon, you'll take the role of an infant, led by instinct to attack foes, and you'll attempt to eradicate the human race. With your natural fire-breathing and flying abilities, you can destroy everything on the ground or in the skies.",54,8.2,Third-Person
1,163154,https://www.metacritic.com/game/gamecube/dead-to-rights,https://static.metacritic.com/images/products/games/4/7414ffb2023918c7b5cb5c4310ae6fee-98.jpg,Dead to Rights,GameCube,"November 25, 2002","Meet Jack Slate, a cop framed for murder and facing execution.  Slate escapes from Iron Point Maximum-Security Penitentiary to bring down the criminals that framed.  In Dead to Rights, you play the role of Slate, as he fights through the hard streets and corrupt enemies of Grant City.  There are plenty of ways go about bringing the conspirators to justice--Jack can perform disarm moves, shoot different weapons, pick locks, fight hand-to-hand, and play minigames such as arm wrestling, bench press, and dancing.  In this gritty, crime-noir inspired epic, you're always on the run.",77,7.6,Third-Person
2,161338,https://www.metacritic.com/game/xbox/seablade,https://static.metacritic.com/images/products/games/8/94f43d1ec824783df87e06ba3b93d74c-98.jpg,SeaBlade,Xbox,"November 20, 2002","SeaBlade is just too light on action, production quality, and overall gameplay to make it a worthwhile purchase.",48,tbd,Third-Person
3,102149,https://www.metacritic.com/game/playstation-2/star-wars-bounty-hunter,https://static.metacritic.com/images/products/games/9/0e8ad017aaa41079e63c9410cb9a5f4c-98.jpg,Star Wars: Bounty Hunter,PlayStation 2,"November 19, 2002","The Hunt Begins! You are Jango Fett, the galaxy's most dangerous bounty hunter, hired to hunt down the elusive leader of a mysterious cult - dead or alive. Through 18 action-packed levels across six diverse worlds, face off against galactic scum, fearsome beasts, and brutal competition that stands between you and your prey: a deranged dark Jedi. This hunt will lead you to the darkest corners of the Star Wars universe where no one else has dared to go, but you are the fearless, ruthless, and relentless Jango Fett. For the galaxy's most wanted, there is no place to hide... [LucasArts]",65,7.9,Third-Person
4,161186,https://www.metacritic.com/game/gamecube/minority-report-everybody-runs,https://static.metacritic.com/images/products/games/6/e118121f8587323fa281b844d995dcc0-98.jpg,Minority Report: Everybody Runs,GameCube,"November 19, 2002","The year is 2054 and you are Precrime Officer John Anderton, head of an elite police force division that can apprehend murderers before the crime can be committed. Everyone thought the system was perfect, until a precrime report lists you as the prime suspect. Now, you're on the run through 40 futuristic levels filled with both human and robot enemies in a mission to clear your name. With an arsenal of weapons, hand-to-hand combat skills, and a Jetpack that allows you to fly through levels, it's up to you to stop an evil conspiracy before it's too late.",53,7.8,Third-Person
5,101828,https://www.metacritic.com/game/playstation-2/minority-report-everybody-runs,https://static.metacritic.com/images/products/games/8/4e82a02bfd180eb12330098b6cce920b-98.jpg,Minority Report: Everybody Runs,PlayStation 2,"November 18, 2002","Based on Spielberg's futuristic thriller, Minority Report is the only game that lets you relive the movie experience, immersing you in a sci-fi action/adventure with weapons and devices straight out of the movie. Set in the near-future 2054, you are pre-crime officer John Anderton - head of an elite police squad able to predict and apprehend murderers before their crimes can be committed. [Activision]",50,5.4,Third-Person
6,101583,https://www.metacritic.com/game/playstation-2/dead-to-rights,https://static.metacritic.com/images/products/games/3/2ff031ea10b0a3e5ade2d6ba189752df-98.jpg,Dead to Rights,PlayStation 2,"November 18, 2002","A cop framed for murder and facing execution, makes a daring escape and seeks revenge on those who killed his father and set him up. What he discovers sends him on a downward spiral into a labyrinth of corruption, betrayal and crime. Meet Jack Slate. [Namco]",73,8.3,Third-Person
7,161558,https://www.metacritic.com/game/xbox/fireblade,https://static.metacritic.com/images/products/games/8/3bad6ef6ef217f5be8ab131a1d4ff0eb-98.jpg,Fireblade,Xbox,"November 17, 2002","Your goal in Fireblade is to annihilate terrorists around the globe. At the helm of the Carrier chopper or the Vendetta attack copter, you'll battle through 18 missions in four campaigns. Transport and rescue missions take you to a variety of lush environments, including the Swiss Alps, Arizona Desert, Amazon Jungle, and the Arctic Circle. Unleash an array of deadly weapons--including swarm missiles, sniper cannons, and laser-guided homing missiles--or disable alarms to remain undetected.",71,tbd,Third-Person
8,163164,https://www.metacritic.com/game/gamecube/defender,https://static.metacritic.com/images/products/games/4/f0df5da29a2670b8d6e01460dd56ae1b-98.jpg,Defender,GameCube,"November 3, 2002","Defender undergoes a 3D makeover, featuring fast-paced action, strategy, and an army of aliens. A remake of an arcade classic, Defender sends you on a mission to defend your solar system and save the human race from alien invasion. In addition to space combat action, the game showcases elements of strategy, multiple types of humans to protect and use, ground units for players to defend and position, and bases to build and expand. And now, you can upgrade your Defender ships with special weapons, shields, and other technologies.",66,7.2,Third-Person
9,101598,https://www.metacritic.com/game/pc/project-nomads,https://static.metacritic.com/images/products/games/8/87fff46a15b507d2a927228b03ec008c-98.jpg,Project Nomads,PC,"November 1, 2002","Catastrophe, first part: The planet of the Nomads burst. Catastrophe, second part: A few survivors drift on rocky islands through space and time. Anyway, the catastrophe has its good sides as well: 1.) A fascinating world in airy spaces was created. 2.) The game character you choose - mysterious Susie, clever John or strong Goliath - has survived. 3.) You have a task: Destroy the originators of the catastrophe and other creeps. 4.) Get ready for the final countdown. With magic items, you can transform your island to a battle giant teeming with weapons. You also use these items to produce heavily armed flight devices for the search of further artefacts and in order to gain raw materials for energy supply. There's heaps to do. Snap to it! [CDV]",62,8.4,Third-Person
10,161581,https://www.metacritic.com/game/game-boy-advance/reign-of-fire,https://static.metacritic.com/images/products/games/1/fde3bf6650c48b3c79421cde25a1d771-98.jpg,Reign of Fire,Game Boy Advance,"October 31, 2002","Based on the movie, Reign of Fire lets you play as either a human or a dragon in an epic battle. As a human, you'll take the role of a resistance fighter who's trying to defend the last remaining humans from attack. You must make your way to the site of the sole male dragon using a variety of well-equipped vehicles and high-tech weaponry. As a dragon, you'll take the role of an infant, led by instinct to attack foes, and you'll attempt to eradicate the human race. With your natural fire-breathing and flying abilities, you can destroy everything on the ground or in the skies.",61,tbd,Third-Person
11,102252,https://www.metacritic.com/game/pc/tony-tough-and-the-night-of-roasted-moths,https://static.metacritic.com/images/products/games/2/91d2b3970199ed2a9f10c7e3bbe34713-98.jpg,Tony Tough and the Night of Roasted Moths,PC,"October 31, 2002","Don't let the small stature, over-sized raincoat and flying saucer-sized glasses fool you, Tony is a seasoned private eye for Wallen & Wallen Investigations, and he's been on the beat for ten years. Tonight, Halloween night, Tony has been assigned the case of a lifetime, he must nab the swollen-headed psychopath who is stealing candy from the children. [Got Game]",68,6.0,Third-Person
12,102509,https://www.metacritic.com/game/pc/the-cameron-files-pharaohs-curse,https://static.metacritic.com/images/products/games/9/3f778902f0475b27ff52d6a5eb33b95c-98.jpg,The Cameron Files: Pharaoh's Curse,PC,"October 29, 2002",An Ancient Evil Awakes... and the Pharaoh no longer slumbers. Investigate the disappearance of the Pharaoh. An ancient ritual revisited awakens a Pharaoh long dead and entombed. You must piece together the clues to discover the real reason why the mummy is missing. [Dreamcatcher],57,tbd,Third-Person
13,161485,https://www.metacritic.com/game/gamecube/star-wars-the-clone-wars,https://static.metacritic.com/images/products/games/5/301ceee2cbf1d344901c12422336c181-98.jpg,Star Wars: The Clone Wars,GameCube,"October 28, 2002","Star Wars: The Clone Wars begins where Star Wars Episode II: Attack of the Clones ends.  As Jedi Anakin Skywalker, Mace Windu, or Obi-Wan Kenobi, you lead the Republic Army in the greatest battles of the epic Clone Wars.  Your mission is to stop the Separatists from reassembling an ancient Sith weapon of mass annihilation.  Then battle for survival in a variety of multiplayer games with up to four players, with Deathmatch, King-of-the-Hill, and even strategic Conquest games.  And engage over 30 unique combat units as you wage war across six worlds in the galaxy's most unforgettable conflict.",73,7.3,Third-Person
14,161297,https://www.metacritic.com/game/gamecube/robotech-battlecry,https://static.metacritic.com/images/products/games/7/d8561d421f1dd4bb312b508b46191c06-98.jpg,Robotech: Battlecry,GameCube,"October 27, 2002","The Veritech fighter--a mecha capable of fighting on land, in air, and in outer space--is the only weapon you have against the forces of the alien, Zentraedi. As the intrepid fighter pilot Jack Archer, you'll control this powerful robot through more than 40 missions. With each of the 40 Veritech fighters, you can switch from ground to hover and flight modes instantly. Battlecry's combination of fast-paced gameplay, freedom of movement, and dramatic storyline make for a unique combat experience.",74,8.8,Third-Person
15,161557,https://www.metacritic.com/game/xbox/defender,https://static.metacritic.com/images/products/games/7/990f672d4c8d532188ffdffd293cdbef-98.jpg,Defender,Xbox,"October 22, 2002","Defender undergoes a 3D makeover, featuring fast-paced action, strategy, and an army of aliens. A remake of an arcade classic, Defender sends you on a mission to defend your solar system and save the human race from alien invasion. In addition to space combat action, the game showcases elements of strategy, multiple types of humans to protect and use, ground units for players to defend and position, and bases to build and expand. And now, you can upgrade your Defender ships with special weapons, shields, and other technologies.",69,tbd,Third-Person
16,102432,https://www.metacritic.com/game/pc/the-lord-of-the-rings-the-fellowship-of-the-ring,https://static.metacritic.com/images/products/games/2/2e1b1bb5127818c623a6b03f26dffeef-98.jpg,The Lord of the Rings: The Fellowship of the Ring,PC,"October 22, 2002","Undertake a fantastic journey following the same path as the Fellowship in the book. Play as either Frodo, Aragorn, or Gandalf the Grey. As you take the fabled One Ring closer to its fate, you will explore the most dangerous wilds of Middle-earth from the Shire to the very edge of Mordor. [Universal Interactive]",59,6.0,Third-Person
17,101936,https://www.metacritic.com/game/playstation-2/reign-of-fire,https://static.metacritic.com/images/products/games/6/20463ddbb98fb995304888e766e62564-98.jpg,Reign of Fire,PlayStation 2,"October 22, 2002","Fight for mankind as one of the many different human forces, with a huge arsenal of high tech weaponry at your disposal. Take to the skies as a terrifying dragon and reign terror over the world, savaging the earth and destroying everything in your path breathing fireballs and napalm. (The player can choose whether they play as either a Human or a Dragon following two different routes--In effect two games in one.) Experience numerous action packed missions, including the desecration of central London, military style reconnaissance activities, third person shootouts and heroic fire fighting rescues. Third person shoot-em up action taking place over scorched landscapes, the result of battles between two species competing for survival - human and dragon. [BAM! Entertainment]",56,7.5,Third-Person
18,102326,https://www.metacritic.com/game/playstation-2/defender,https://static.metacritic.com/images/products/games/6/8a65b590bdaa89eff497ec1dfde80420-98.jpg,Defender,PlayStation 2,"October 22, 2002","Relive the excitement of the ultimate action videogame with the all-new next-generation remake of Defender. Developed by 7 Studios, this all-new 3D Defender -- based on the timeless arcade classic -- offers players space-combat action as they fight to defend their solar system and save the human race from alien invasion. In addition to fast and furious space-combat action, Defender will showcase elements of strategy, multiple types of humans to protect and use, ground units for players to defend and strategically position, and bases to build and expand. Players will also be able to take flight in new Defender ships with the ability to upgrade with special weapons, shields and other technologies as they take on the aliens who've invaded their universe. [Midway]",73,7.7,Third-Person
19,161252,https://www.metacritic.com/game/xbox/reign-of-fire,https://static.metacritic.com/images/products/games/2/0e09bc7b3d1dc71fef3db5afd69e6ced-98.jpg,Reign of Fire,Xbox,"October 22, 2002","Based on the movie, Reign of Fire lets you play as either a human or a dragon in an epic battle. As a human, you'll take the role of a resistance fighter who's trying to defend the last remaining humans from attack. You must make your way to the site of the sole male dragon using a variety of well-equipped vehicles and high-tech weaponry. As a dragon, you'll take the role of an infant, led by instinct to attack foes, and you'll attempt to eradicate the human race. With your natural fire-breathing and flying abilities, you can destroy everything on the ground or in the skies.",54,tbd,Third-Person
20,161292,https://www.metacritic.com/game/xbox/bloodrayne,https://static.metacritic.com/images/products/games/2/75621a678151bc8e54e1b4ddbe996e55-98.jpg,BloodRayne,Xbox,"October 15, 2002","BloodRayne is a killing machine. The Brimstone Society calls upon this half-vampire, half-human agent to take on two missions in the years between the world wars. At the root of these missions is one man who searches for powerful occult artifacts that would bring Germany into a new age of domination. As BloodRayne, you must stop this man's elite Nazi army from releasing terrorizing creatures onto the world. With melee attacks, weapons, and bloodsucking abilities, your enemies won't stand a chance.",76,8.1,Third-Person
