,id,url,image,title,platform,release_date,summary,metascore,userscore,genre
0,161823,https://www.metacritic.com/game/xbox/dai-senryaku-vii-modern-military-tactics,https://static.metacritic.com/images/products/games/3/b428d21a4a2ee87f6a34d2b05bcd0306-98.jpg,Dai Senryaku VII: Modern Military Tactics,Xbox,"February 16, 2005","Command an entire military force with the most modern technologies of war. In this strategic war simulation, you must take into account everything from terrain to armor. Test your battlefield tactics against the game's challenging artificial intelligence, or face your friends in multiplayer skirmishes. Choose from a wide array of vehicles specifically designed for land, sea, and air attacks. If you don't like the terrain, you can create your own with the map editor, and you can design the map to cater to your specific strategic strengths.",74,7.9,Turn-Based
1,103268,https://www.metacritic.com/game/pc/flashpoint-germany,https://static.metacritic.com/images/products/games/8/6f1d962badb61a321d3467da6a5fbcf6-98.jpg,Flashpoint Germany,PC,"January 25, 2005","Flashpoint Germany brings you back to the height of the Cold War, before the collapse of the Soviet Union. Massive armies of incredible power face off across the West German border. A single decision, a mere moment separated a tense peace from the most intense and possibly the last war that the world would ever behold. The stakes could not possibly be higher. You may think you know how this ends, but in Flashpoint Germany, it turned out differently. Step into the maelstrom, choose your side and see what you would have done, if you were there. Flashpoint Germany portrays the highest intensity and density potential combat in human history – the Central Front of a NATO vs. Warsaw Pact World War III. As the General in charge of a regiment or brigade, you give the orders and let the staff sweat the details. Electronic warfare, tactical doctrine, nuclear and chemical weapons, air strikes, artillery, smoke and minefields are all represented, along with a complete database of accurate equipment and unit types. [Matrix Games]",76,tbd,Turn-Based
2,104258,https://www.metacritic.com/game/pc/gates-of-troy,https://static.metacritic.com/images/products/games/8/f7c51ead5c8d1f478220e860989b3da1-98.jpg,Gates of Troy,PC,"December 8, 2004","Gates of Troy is a Trojan themed expansion pack for ""Spartan,"" the award winning turn-based strategy game from Slitherine Software. It includes 17 new heroes ranging from Achilles and Hektor in the Trojan Wars to Leonidas & Demophilus in the pass of Thermopylae. Play as Achilles with his Myrmidon warriors, or maybe you prefer Odysseus or Hektor? Control vast armies of Trojans and Greeks and lay siege to the most powerful city of its time ? Troy! Take command of Leonidas and his 300 Spartans against the mighty Persian horde. The pass of Thermopylae has been re-created on a one for one scale with 300 Spartans, 700 Thespian allies under Demophilus & 400 unreliable Thebans who really didn't want to be there ? and can you blame them! This small force stands against the might of the Persian army with wave upon wave of increasingly powerful troops hitting your lines until the mighty Immortals arrive. Xerxes launches attack after attack from his inexhaustible horde and your objective is just to hold the pass long enough for Greece to muster her forces. [Slitherine]",70,8.4,Turn-Based
3,104015,https://www.metacritic.com/game/pc/worms-forts-under-siege,https://static.metacritic.com/images/products/games/5/47e7a1b2a49e1a46d5dbfe35503fd753-98.jpg,Worms Forts: Under Siege,PC,"November 24, 2004","Worms Forts: Under Siege! puts players in command of a crack team of up to four fort-dwelling worms. Set in the cartoon environments that will be very familiar to Worms fans, players direct their worm garrison to construct defenses to maximize strategic advantages, expand castles, seize valuable victory locations and of course, build massively destructive weapons to eliminate their opponents' fortifications. Players can test their mettle in a single-player game by battling through the 20 missions, or they can take on up to four friends in the frenzy of destruction that is Fort vs. Fort mode. Massive weapons and massive destruction, including catapults, cannons, giant crossbows, bows and arrows, rocket launchers, air strikes, napalm... even nuclear strikes; For the first time in the history of the series, players can build their own castle, including towers, walls, citadels and keeps. Each building will offer unique special powers and weapons, and poor choices may leave players lagging in the arms race. [Acclaim]",60,7.4,Turn-Based
4,103775,https://www.metacritic.com/game/pc/galactic-civilizations-altarian-prophecy,https://static.metacritic.com/images/products/games/5/2a1b89e3cdd423d2e79a5e1867f79d43-98.jpg,Galactic Civilizations: Altarian Prophecy,PC,"November 12, 2004","Galactic Civilizations: Altarian Prophecy is an expansion pack to Stardock's award winning space strategy game, Galactic Civilizations. The expansion pack adds a host of new features, content, and other enhancements to the game to add depth and much greater replayability. In the late 22nd century, humanity came into contact with 5 major alien civilizations. These civilizations were called, the Drengin Empire, the Torian Confederation, the Arcean Empire, the Yor Collective and the Altarian Republic. Of these 5, the Altarians were the most curious to us. Not for their cultural traits or their technology but because they happened to look human. How was this possible? The ""Altarian Prophecy"" is a campaign that takes the player on a multi-game journey to solve the mystery alluded to in Galactic Civilizations. In doing so, it introduces two new civilizations: The Dominion of the Korx and the Drath. These two civilizations hold the secret to Altaria's past, but worse, they know the Altarian Prophecy that for tells the destruction of the galaxy that is connected to Altaria's past. [Strategy First]",77,6.9,Turn-Based
5,162467,https://www.metacritic.com/game/game-boy-advance/the-lord-of-the-rings-the-third-age,https://static.metacritic.com/images/products/games/7/c11f6144232e0a6f8c00a36ca2e51f17-98.jpg,"The Lord of the Rings, The Third Age",Game Boy Advance,"November 2, 2004","In The Lord of the Rings: The Third Age, you can travel in the wake of the Fellowship while exploring your own path and periodically intersecting the major events of the film trilogy. Through both familiar and new locations, you must fight to save or destroy Middle-earth in an epic adventure. Encounter the demonic Balrog in the Mines of Moria, defend the fallen city of Osgiliath, or try to destroy Helm's Deep. These choices and many more will confront you as you align yourself with the people of Middle-earth or undertake missions on behalf of Sauron.",67,8.3,Turn-Based
6,104317,https://www.metacritic.com/game/pc/tin-soldiers-alexander-the-great,https://static.metacritic.com/images/products/games/7/043604d7f7d20c2b7dc67f098bfa302f-98.jpg,Tin Soldiers: Alexander the Great,PC,"October 8, 2004","Tin Soldiers: Alexander the Great is wargaming with a classic style. Easy to learn but difficult to master, it places you in the role of Alexander the Great during his conquest of the known world. Guide Alexander through his grand campaign from inheriting his father?s legacy at the battle of Thebes to his conquest of Darius III and the Persian Empire through his last great battle at the Hydaspes, in the heart of Asia against the Indian army of King Porus. Designed to evoke the beauty of museum-quality miniatures on a professional tabletop battlefield, Tin Soldiers: Alexander the Great uses an innovative multi-phase turn-based system. As you play, the campaign unfolds before you with cinematic cut-scenes and three dimensional panoramas of the battlefields. Each battle is based on the historical terrain and troop placements, but the campaign allows you to make decisions in between battles on which units to reinforce, whether to recruit new units or replace commanders and how many of your resources to focus on training. [Koios Works]",77,tbd,Turn-Based
7,103473,https://www.metacritic.com/game/playstation-2/phantom-brave,https://static.metacritic.com/images/products/games/3/658a536c1982c99ef26dbd0908311b51-98.jpg,Phantom Brave,PlayStation 2,"August 31, 2004","Phantom Brave is the spiritual successor to 2003's strategy role-playing game ""Disgaea: Hour of Darkness.""  Enter thirteen-year-old orphan Marona who lives alone on Phantom Isle Island. Marona isn't your average child, as she has the uncanny ability to see and manipulate spirits, one of whom happens to be Ash, a swordsman who died alongside Marona's mother and father. Ash serves as a companion and guardian to Marona, counseling her as she works to help people in the surrounding islands who rely on her abilities. Key Phantom Brave features include: No more grids!  Free-roaming battle system allows you to strategically place your characters anywhere you want on the battle field; Create and customize the jobs of your soldiers with over 400 different skills and magical spells; Step-by-step tutorials will have even the novice player up and running in no time; Experience 20 heart-warming episodes spread over 100 hours of game play; Dual language option! Select either the original Japanese voices or the all new English dub. [Atlus Software]",81,8.2,Turn-Based
8,103436,https://www.metacritic.com/game/playstation-2/front-mission-4,https://static.metacritic.com/images/products/games/6/d2d46ecf0ec6bd241717738bdb67f307-98.jpg,Front Mission 4,PlayStation 2,"June 15, 2004","Front Mission 4 (FM4) marks the debut of the popular mech-based strategy game series on the PS2. Utilizing the technological capabilities of the system, FM4 brings you the newest chapter in the best-selling series. While boasting an enhanced battle system, outstanding new graphics and dramatic voiceovers, FM4 maintains the strategic gameplay that has won acclaim from both gamers and press worldwide. As in the previous games, players can fully customize their wanzers, or mech units, with a variety of powerful weaponry and parts. In addition, new tactical features such as the ""Link System"" bring a new dimension of strategy to the game. Set in 2096, FM4 opens as an unidentified group of wanzers assaults and destroys an E.C. German base. The player?s point of view switches between two main characters that find themselves trapped within a dangerous global conspiracy. Elsa, a new recruit in the E.C.'s Durandal corps, is sent to Germany with her team to investigate the attack. The story then shifts to Darril, a U.C.S. Army sergeant in South America. He and his company are sent to Venezuela after its governor declares independence from the U.C.S. Though Darril's squad seems far more interested in slacking off than fighting a war, their plans for early retirement are put on hold after they witness a fateful plane crash in the jungle. [Square Enix]",75,8.5,Turn-Based
9,162287,https://www.metacritic.com/game/game-boy-advance/shining-force-resurrection-of-the-dark-dragon,https://static.metacritic.com/images/products/games/7/adbea51fc0e3b8b6007dc0c963ab2e2c-98.jpg,Shining Force: Resurrection of the Dark Dragon,Game Boy Advance,"June 8, 2004","Darksol, a mysterious traveler, plans to resurrect a dangerous creature, the Dark Dragon, to invade the kingdom of Guardiana. In Shining Force: Dark Resurrection, you play the part of a young warrior who was washed ashore in Guardiana, and you remember nothing from your past. Now, you must become a leader and control a band of up to 12 characters on the battlefield as you fight to save Guardiana from the forces of evil. On your journey, you'll discover a wide array of weapons, armor, and powerful magic spells.",77,8.6,Turn-Based
