,id,url,image,title,platform,release_date,summary,metascore,userscore,genre
0,285022,https://www.metacritic.com/game/playstation-4/worms-battlegrounds,https://static.metacritic.com/images/products/games/2/82b29e7dc7a8dd1fba72e69aebff9e6e-98.jpg,Worms Battlegrounds,PlayStation 4,"June 3, 2014","Worms Battlegrounds features an extensive single player campaign spanning 25 story missions and 10 “Worm-Ops” time-attack missions, which are set across five stunning environments (Inca, Viking, Feudal Japan and Industrial Revolution) with new day-to-night lighting transitions.",62,5.9,Wargame
1,284627,https://www.metacritic.com/game/xbox-one/worms-battlegrounds,https://static.metacritic.com/images/products/games/7/c1055e39d34a5d3e74dc0a00d7af03da-98.jpg,Worms Battlegrounds,Xbox One,"May 30, 2014","Worms Battlegrounds features an extensive single player campaign covering 25 story missions and 10 “Worm-Ops” time-attack missions, which are set across five stunning environments (Inca, Viking, Feudal Japan and Industrial Revolution) with new day-to-night lighting transitions.",70,6.1,Wargame
2,174700,https://www.metacritic.com/game/pc/toy-soldiers,https://static.metacritic.com/images/products/games/0/c073e11ee18274fb5a7333b8fa96627e-98.jpg,Toy Soldiers,PC,"April 27, 2012","Put your foot soldiers, snipers, cavalry, and fighter pilots to the test in Toy Soldiers. Poised to be a smash hit on Xbox LIVE Arcade, Toy Soldiers is an action packed strategy-based game in which players command antique WWI toy soldiers vying for control of the trench-filled battlefields of Europe. Deploy an exciting arsenal such as tanks, cavalry, biplanes, and flamethrowers in vintage WWI toy dioramas. Developed by Signal Studios exclusively for Xbox 360, Toy Soldiers allows you to take control of individual units or control the entire battlefield from a strategic view. Integrating multiple game genres and world-class visuals, Toy Soldiers is a unique and action-packed entertainment experience!",71,7.4,Wargame
3,173856,https://www.metacritic.com/game/pc/sengoku,https://static.metacritic.com/images/products/games/6/5a0928a623385303c179616a363cb0ef-98.jpg,Sengoku,PC,"September 13, 2011",Sengoku is a strategy game for the PC set in 15th-century feudal Japan.,70,6.8,Wargame
4,174699,https://www.metacritic.com/game/xbox-360/toy-soldiers-cold-war,https://static.metacritic.com/images/products/games/9/332ace192867bfdf603a1cd26f88335f-98.jpg,Toy Soldiers: Cold War,Xbox 360,"August 17, 2011","The Cold War ignites when '80s era action toys come alive and wage war! Toy Soldiers: Cold War delivers hours of intense combat combined with addictive action strategy gameplay. Superpowers collide in this playful homage to '80s action toys and films. Command the powerful Cold War arsenals of the USA or USSR armies! Control base turrets, modern combat vehicles, fighter jets, attack helicopters, and commando action figures. Whether lighting up the Toy Box alone or jumping into the fray with your friends, battle in campaign, co-op, or competitive modes. Fight for the high score in the addictive mini-games, and while you're at it, don't forget to BLOW EVERYTHING UP!",81,8.5,Wargame
5,154759,https://www.metacritic.com/game/pc/supreme-ruler-cold-war,https://static.metacritic.com/images/products/games/9/4f45e73cd24135a567b0e89c1b0eaf80-98.jpg,Supreme Ruler: Cold War,PC,"July 19, 2011","In Supreme Ruler 2020: Cold War, players will enter a portrayal of the world in the year 2020 based on recent real-world headlines. Battle economic challenges, unstable governments and worldwide tensions in this grand strategy experience.",63,6.8,Wargame
6,166673,https://www.metacritic.com/game/pc/panzer-corps,https://static.metacritic.com/images/products/games/3/4f23b5f5ca58e737ee6f1ff896d224c0-98.jpg,Panzer Corps,PC,"July 11, 2011","Panzer Corps will feature 26 scenarios on 21 unique maps, covering most major battles of the European Theatre of World War II and including a few hypothetical 'what if' scenarios based on your actions.",80,7.6,Wargame
7,181213,https://www.metacritic.com/game/pc/naval-warfare,https://static.metacritic.com/images/products/games/3/e49713d8e10280b57c980be9528fe310-98.jpg,Naval Warfare,PC,"May 25, 2011","""Naval Warfare"" is a stylish arcade-action shooter with numerous tactical elements, driven by an entertaining story with beautiful hand-drawn comic sequences also featuring a thrilling campaign mode and various exciting multiplayer modes. The game itself is presented in a fictional Imperial Victorian setting.

In a fantasy world of Victorian architecture, war is raging between the industrial superpowers. As Commander of a Naval Super-Destroyer, it is your duty to destroy the enemy's mighty Boss Units in a military campaign of epic proportions in, under and above the surface. If you are to emerge victorious from a variety of challenging scenarios, you must lead your troops against wave after wave of massive attacks from ships, planes and gigantic Special Forces.

Key features:

- Destructive: Powerful weapons with many lethal upgrades
- Comprehensive: Great variety of enemy units with ships, submarines, planes and futuristic vehicles
- Explosive: Challenge your friends in the immensely variable multi-player mode or play alongside them against the PC in Co-operational Mode
- Impressive: An exciting story-line plus sensational graphics with incredible effects and stylish cut-scenes guarantee maximum enjoyment.",57,5.1,Wargame
8,180296,https://www.metacritic.com/game/pc/combat-mission-battle-for-normandy,https://static.metacritic.com/images/products/games/6/ec002081951f3ca99d65c62538e88df7-98.jpg,Combat Mission: Battle for Normandy,PC,"May 17, 2011","Combat Mission - Battle for Normandy (CM:BN) faithfully recreates the experience of tactical land warfare in Western France during World War Two. Using the unique Turn-Based (WeGo)/Real-Time hybrid game system of our proprietary CMx2 battle engine, the first installment in this new series covers the three months after the Allied D-Day landings in Normandy in June 1944, from Operation Overlord in June through the Cobra Breakout in August.",81,5.5,Wargame
9,174767,https://www.metacritic.com/game/pc/risk-factions,https://static.metacritic.com/images/products/games/7/1df56837dc85e60a642c13d7a2207014-98.jpg,RISK: Factions,PC,"March 8, 2011","Wage war with five factions, each with unique abilities, in the original game of strategy and world domination! Play with classic rules or reign supreme with objective-based and world conquest scenarios as you command your army and take tactical gambles to win the day. Then challenge your friends in online multiplayer and see how you stack up on the leaderboards.",77,5.9,Wargame
