,id,publisher,publisher_url,rating,developer,multigenre,player,metascore_how,metascore_review,userscore_how,userscore_review
0,160633,Titus Software,https://www.metacritic.com/company/titus-software,E,Player 1,"Action, Platformer, 3D",,Generally unfavorable reviews,6,Generally unfavorable reviews,13
1,101214,Simon & Schuster,https://www.metacritic.com/company/simon-schuster,T,Double Helix Games,"Action, Shooter, Shooter, Third-Person, Sci-Fi, Arcade",,Generally favorable reviews,23,Generally favorable reviews,25
2,161943,Eidos Interactive,https://www.metacritic.com/company/eidos-interactive,E,Crystal Dynamics,"Action, Platformer, 3D",,Mixed or average reviews,5,Generally favorable reviews,10
3,101404,Mattel,https://www.metacritic.com/company/mattel,E,Mattel,"Action, Miscellaneous, General, General, Board / Card Game",,Generally favorable reviews,11,Mixed or average reviews,7
4,161948,Capcom,https://www.metacritic.com/company/capcom,T,Psikyo,"Action, Shooter, Scrolling",,Mixed or average reviews,17,Generally favorable reviews,8
5,160845,Eidos Interactive,https://www.metacritic.com/company/eidos-interactive,E,Blitz Games,"Action, General",,Generally favorable reviews,7,Mixed or average reviews,12
6,160856,Crave,https://www.metacritic.com/company/crave,T,Opus,"Action, Fighting, 3D",,Mixed or average reviews,6,Mixed or average reviews,19
7,160911,SCEA,https://www.metacritic.com/company/scea,E,Disney Interactive,"Action, General",,Mixed or average reviews,8,Mixed or average reviews,11
8,160958,Namco,https://www.metacritic.com/company/namco,E,Namco,"Action, General",,Mixed or average reviews,8,Mixed or average reviews,5
9,100593,Konami,https://www.metacritic.com/company/konami,E,KCET,"Action, Shooter, Scrolling",,Mixed or average reviews,15,Generally favorable reviews,7
10,101249,Eidos Interactive,https://www.metacritic.com/company/eidos-interactive,E,Timeline Computer Entertainment,"Action, General, General",,Generally unfavorable reviews,13,Mixed or average reviews,7
11,161940,THQ,https://www.metacritic.com/company/thq,,Avalanche Software,"Action, Platformer, 3D",,Mixed or average reviews,4,Mixed or average reviews,12
12,160930,Namco,https://www.metacritic.com/company/namco,E,Mass Media,"Action, General",,Mixed or average reviews,4,Mixed or average reviews,11
13,102872,Fox Interactive,https://www.metacritic.com/company/fox-interactive,M,Monolith Productions,"Action, Shooter, Shooter, First-Person, Modern, Modern, Arcade",,Universal acclaim,32,Generally favorable reviews,245
14,160749,Capcom,https://www.metacritic.com/company/capcom,T,Capcom,"Action, Fighting, 2D",,Generally favorable reviews,17,Generally favorable reviews,32
15,101336,Sierra Entertainment,https://www.metacritic.com/company/sierra-entertainment,M,The Counter-Strike Team,"Action, Shooter, Shooter, First-Person, Modern, Tactical, Modern",Online Multiplayer Up to 32 Players,Generally favorable reviews,11,Universal acclaim,7444
16,101235,NovaLogic,https://www.metacritic.com/company/novalogic,T,NovaLogic,"Action, Shooter, Shooter, First-Person, Tactical, Modern, Modern",,Mixed or average reviews,22,Generally favorable reviews,60
17,160773,Electronic Arts,https://www.metacritic.com/company/electronic-arts,T,Black Ops Entertainment,"Action, Shooter, First-Person, Modern",,Mixed or average reviews,11,Mixed or average reviews,58
18,160820,Titus Software,https://www.metacritic.com/company/titus-software,T,Polygon Magic,"Action, General",,Generally favorable reviews,11,Generally favorable reviews,17
19,160922,Bandai,https://www.metacritic.com/company/bandai,T,Natsume,"Action, Fighting, 2D",,Mixed or average reviews,4,Mixed or average reviews,10
20,161972,Electronic Arts,https://www.metacritic.com/company/electronic-arts,T,Eurocom Entertainment Software,"Action, Shooter, First-Person, Modern",,Generally favorable reviews,16,Generally favorable reviews,63
21,101216,Hasbro Interactive,https://www.metacritic.com/company/hasbro-interactive,E,Creative Asylum,"Action, General, General",,Generally favorable reviews,5,Generally favorable reviews,21
22,161959,Konami,https://www.metacritic.com/company/konami,E,Artificial Mind and Movement,"Action, General",,Mixed or average reviews,6,Generally favorable reviews,6
23,160825,Midway,https://www.metacritic.com/company/midway,T,Saffire,"Action, Shooter, Third-Person, Fantasy",,Mixed or average reviews,7,Generally favorable reviews,9
24,160688,Sega,https://www.metacritic.com/company/sega,T,Smilebit,"Action, Platformer, 3D",,Universal acclaim,24,Generally favorable reviews,114
25,160847,Gathering,https://www.metacritic.com/company/gathering,M,Tremor Entertainment,"Action, General",,Mixed or average reviews,9,Mixed or average reviews,7
26,163334,Working Designs,https://www.metacritic.com/company/working-designs,E,Taito Corporation,"Action, Shooter, Scrolling",,Mixed or average reviews,8,No user score yet,
27,101153,Namco,https://www.metacritic.com/company/namco,T,Namco,"Action, Fighting, 3D",,Generally favorable reviews,25,Generally favorable reviews,181
28,100468,Tecmo,https://www.metacritic.com/company/tecmo,T,Team Ninja,"Action, Fighting, 3D",,Universal acclaim,20,Generally favorable reviews,70
29,100508,Koei,https://www.metacritic.com/company/koei,T,Omega Force,"Action, Beat-'Em-Up",,Generally favorable reviews,17,Generally favorable reviews,40
30,101389,InfoBank,https://www.metacritic.com/company/infobank,T,Cyberscape Graphics,"Action, General, General, Shooter, Rail",,Generally unfavorable reviews,4,No user score yet,
31,160809,Ripcord Games,https://www.metacritic.com/company/ripcord-games,T,Runecraft,"Action, Shooter, Third-Person, Tactical, Modern",,Mixed or average reviews,4,Mixed or average reviews,6
32,100964,Capcom,https://www.metacritic.com/company/capcom,T,Arika,"Action, Fighting, 3D",,Mixed or average reviews,17,Generally favorable reviews,34
33,101176,Konami,https://www.metacritic.com/company/konami,M,KCET,"Action, Shooter, Rail",,Mixed or average reviews,23,Mixed or average reviews,5
34,101182,Eidos Interactive,https://www.metacritic.com/company/eidos-interactive,T,Free Radical Design,"Action, Shooter, First-Person, Sci-Fi",,Generally favorable reviews,23,Generally favorable reviews,61
35,101215,MicroProse,https://www.metacritic.com/company/microprose,T,Blue Tongue Entertainment,"Action, Strategy, Real-Time, Shooter, First-Person, Sci-Fi, Tactics, Sci-Fi",,Mixed or average reviews,19,Generally favorable reviews,58
36,161966,SCEA,https://www.metacritic.com/company/scea,E,Insomniac Games,"Action, Platformer, 3D",,Universal acclaim,15,Generally favorable reviews,414
37,161968,Konami,https://www.metacritic.com/company/konami,M,Konami,"Action, Shooter, Rail",,Mixed or average reviews,10,Mixed or average reviews,6
38,161986,Electronic Arts,https://www.metacritic.com/company/electronic-arts,T,Dreamworks Interactive,"Action, Shooter, First-Person, Historic",,Generally favorable reviews,16,Generally favorable reviews,126
39,101112,Electronic Arts,https://www.metacritic.com/company/electronic-arts,T,Electronic Arts,"Action, Shooter, Third-Person, Sci-Fi",,Mixed or average reviews,18,No user score yet,
40,161956,Sega,https://www.metacritic.com/company/sega,M,Raster,"Action, Shooter, First-Person, Sci-Fi",,Universal acclaim,25,Generally favorable reviews,106
41,102903,Infogrames,https://www.metacritic.com/company/infogrames,M,Epic Games,"Action, Shooter, First-Person, Sci-Fi",,Generally favorable reviews,23,Mixed or average reviews,22
42,160878,LucasArts,https://www.metacritic.com/company/lucasarts,T,LucasArts,"Action, Beat-'Em-Up",,Generally favorable reviews,14,Generally favorable reviews,29
43,101368,Hasbro Interactive,https://www.metacritic.com/company/hasbro-interactive,E,Meyer / Glass Interactive,"Action, Miscellaneous, General, General, Board / Card Game",,Mixed or average reviews,8,No user score yet,
44,160803,Hasbro Interactive,https://www.metacritic.com/company/hasbro-interactive,E,Blitz Games,"Action, General",,Generally favorable reviews,4,Generally favorable reviews,13
45,160620,Fox Interactive,https://www.metacritic.com/company/fox-interactive,M,Argonaut Games,"Action, Shooter, First-Person, Sci-Fi",,Mixed or average reviews,12,Generally favorable reviews,31
46,101271,Sierra Entertainment,https://www.metacritic.com/company/sierra-entertainment,M,Sierra Entertainment,"Action, Shooter, Shooter, First-Person, Tactical, Modern",,Generally favorable reviews,9,Generally favorable reviews,56
47,161941,Capcom,https://www.metacritic.com/company/capcom,T,Capcom,"Action, Fighting, 2D",,Generally favorable reviews,15,Generally favorable reviews,66
48,161958,Capcom,https://www.metacritic.com/company/capcom,M,Capcom,"Action, Shooter, Third-Person, Fantasy",,Mixed or average reviews,16,Generally favorable reviews,14
49,101339,Hasbro Interactive,https://www.metacritic.com/company/hasbro-interactive,E,"Hasbro Interactive, Blitz Games","Action, General, General, Platformer, 3D",,Mixed or average reviews,11,Generally favorable reviews,16
50,160883,Hasbro Interactive,https://www.metacritic.com/company/hasbro-interactive,E,Hasbro Interactive,"Action, General",,Mixed or average reviews,4,Generally favorable reviews,9
51,101247,Red Storm Entertainment,https://www.metacritic.com/company/red-storm-entertainment,T,Red Storm Entertainment,"Action, Shooter, Shooter, First-Person, Tactical, Modern, Modern",,Mixed or average reviews,13,Mixed or average reviews,6
52,161733,THQ,https://www.metacritic.com/company/thq,E,Mass Media,"Action, General",,Generally unfavorable reviews,5,Generally unfavorable reviews,23
53,160821,3DO,https://www.metacritic.com/company/3do,T,3DO,"Action, General",,Mixed or average reviews,8,Mixed or average reviews,10
54,160849,3DO,https://www.metacritic.com/company/3do,T,3DO,"Action, Shooter, Third-Person, Fantasy",,Generally unfavorable reviews,8,Mixed or average reviews,18
55,160867,Activision,https://www.metacritic.com/company/activision,E,Traveller's Tales,"Action, Platformer, 3D",,Mixed or average reviews,16,Generally favorable reviews,6
56,160923,Activision,https://www.metacritic.com/company/activision,E,Traveller's Tales,"Action, Platformer, 3D",,Mixed or average reviews,10,Mixed or average reviews,14
57,102880,Fox Interactive,https://www.metacritic.com/company/fox-interactive,T,Monolith Productions,"Action, General, General",,Mixed or average reviews,20,Mixed or average reviews,14
58,101217,Hasbro Interactive,https://www.metacritic.com/company/hasbro-interactive,E,King of the Jungle,"Action, Shooter, Shooter, Static, Static, Rail",,Mixed or average reviews,6,Mixed or average reviews,6
59,163333,3DO,https://www.metacritic.com/company/3do,T,3DO,"Action, General",,Generally unfavorable reviews,5,No user score yet,
60,101203,Activision,https://www.metacritic.com/company/activision,T,Raven Software,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",,Generally favorable reviews,25,Generally favorable reviews,81
61,160802,GT Interactive,https://www.metacritic.com/company/gt-interactive,M,n-Space,"Action, Shooter, Third-Person, Sci-Fi",,Generally unfavorable reviews,7,Mixed or average reviews,35
62,160801,Infogrames,https://www.metacritic.com/company/infogrames,E,Paradigm Entertainment,"Action, Platformer, 3D",,Mixed or average reviews,7,Generally favorable reviews,9
63,160900,3DO,https://www.metacritic.com/company/3do,T,3DO,"Action, General",,Generally unfavorable reviews,4,Overwhelming dislike,5
