,id,publisher,publisher_url,rating,developer,multigenre,player,metascore_how,metascore_review,userscore_how,userscore_review
0,160884,Acclaim,https://www.metacritic.com/company/acclaim,E,Acclaim,"Driving, Racing, Arcade",,Mixed or average reviews,8,No user score yet,
1,161944,Eidos Interactive,https://www.metacritic.com/company/eidos-interactive,E,Crystal Dynamics,"Driving, Racing, Kart",,Mixed or average reviews,14,Generally favorable reviews,5
2,160686,Acclaim,https://www.metacritic.com/company/acclaim,E,Acclaim,"Driving, Racing, Motorcycle, Motocross",,Generally unfavorable reviews,11,No user score yet,
3,160790,Infogrames,https://www.metacritic.com/company/infogrames,E,Eden Studios,"Driving, Racing, Rally / Offroad",,Generally favorable reviews,12,Generally favorable reviews,15
4,101156,Eidos Interactive,https://www.metacritic.com/company/eidos-interactive,E,Video System,"Driving, Racing, Simulation, Formula One, Formula One, Automobile",,Mixed or average reviews,10,Mixed or average reviews,12
5,160860,SouthPeak Games,https://www.metacritic.com/company/southpeak-games,E,Europress,"Driving, Racing, Rally / Offroad",,Generally unfavorable reviews,9,Mixed or average reviews,7
6,101180,SouthPeak Games,https://www.metacritic.com/company/southpeak-games,E,Synetic,"Driving, Racing, Arcade, Arcade, Automobile",,Generally favorable reviews,16,Mixed or average reviews,7
7,160664,Nintendo,https://www.metacritic.com/company/nintendo,E,Left Field Productions,"Driving, Racing, Motorcycle, Motocross",,Generally favorable reviews,24,Generally favorable reviews,36
8,160712,Electronic Arts,https://www.metacritic.com/company/electronic-arts,E,Eden Studios,"Driving, Racing, Arcade",,Generally favorable reviews,13,Generally favorable reviews,50
9,160736,Nintendo,https://www.metacritic.com/company/nintendo,E,Nintendo,"Driving, Racing, Arcade",,Generally favorable reviews,12,Generally favorable reviews,28
10,103328,EON Digital Entertainment,https://www.metacritic.com/company/eon-digital-entertainment,T,Techland,"Simulation, Driving, Racing, Mission-based, Arcade, Mission-based, Space, Automobile, Combat",Up to 16 Players,Mixed or average reviews,7,Generally favorable reviews,9
11,160679,SCEA,https://www.metacritic.com/company/scea,T,Polyphony Digital,"Driving, Racing, GT / Street",,Universal acclaim,23,Universal acclaim,370
12,160647,SCEA,https://www.metacritic.com/company/scea,E,Naughty Dog,"Driving, Racing, Kart",,Generally favorable reviews,20,Generally favorable reviews,590
13,160685,Acclaim,https://www.metacritic.com/company/acclaim,E,Acclaim,"Driving, Racing, Motorcycle, Motocross",,Generally unfavorable reviews,14,Generally favorable reviews,4
14,160793,SCEE,https://www.metacritic.com/company/scee,E,Psygnosis,"Driving, Racing, Futuristic",,Generally favorable reviews,14,Generally favorable reviews,40
15,160615,Midway,https://www.metacritic.com/company/midway,E,Boss Game Studios,"Driving, Racing, GT / Street",,Generally favorable reviews,14,Generally favorable reviews,16
16,160737,Namco,https://www.metacritic.com/company/namco,,Namco,"Driving, Racing, Arcade",,Generally favorable reviews,18,Generally favorable reviews,72
17,160711,Electronic Arts,https://www.metacritic.com/company/electronic-arts,E,EA Canada,"Driving, Racing, Arcade",,Generally favorable reviews,14,Generally favorable reviews,72
18,160631,EA Sports,https://www.metacritic.com/company/ea-sports,E,Paradigm Entertainment,"Driving, Racing, Arcade",,Universal acclaim,14,Generally favorable reviews,28
19,160794,Midway,https://www.metacritic.com/company/midway,E,Psygnosis,"Driving, Racing, Futuristic",,Generally favorable reviews,11,Mixed or average reviews,24
20,160675,Nintendo,https://www.metacritic.com/company/nintendo,E,Nintendo,"Driving, Racing, Futuristic",,Generally favorable reviews,13,Generally favorable reviews,135
21,160678,SCEA,https://www.metacritic.com/company/scea,E,Polyphony Digital,"Driving, Racing, GT / Street",,Universal acclaim,16,Generally favorable reviews,412
22,160654,Nintendo,https://www.metacritic.com/company/nintendo,E,Rare Ltd.,"Driving, Racing, Kart",,Generally favorable reviews,15,Generally favorable reviews,209
23,160665,Acclaim,https://www.metacritic.com/company/acclaim,E,Probe Entertainment Limited,"Driving, Racing, Futuristic",,Generally favorable reviews,11,Generally favorable reviews,28
24,160709,Electronic Arts,https://www.metacritic.com/company/electronic-arts,,EA Canada,"Driving, Racing, Arcade",,Mixed or average reviews,5,Mixed or average reviews,41
25,160696,Nintendo,https://www.metacritic.com/company/nintendo,E,Nintendo,"Driving, Racing, Kart",,Generally favorable reviews,15,Generally favorable reviews,495
26,160791,Nintendo,https://www.metacritic.com/company/nintendo,E,Nintendo,"Driving, Racing, Snow / Water",,Universal acclaim,13,Generally favorable reviews,126
27,160795,SCEE,https://www.metacritic.com/company/scee,,Psygnosis,"Driving, Racing, Futuristic",,Universal acclaim,8,Generally favorable reviews,55
28,101442,EA Games,https://www.metacritic.com/company/ea-games,E,EA Games,"Driving, Racing, Simulation, GT / Street, Automobile",,Mixed or average reviews,12,Mixed or average reviews,36
29,101391,Xicat Interactive,https://www.metacritic.com/company/xicat-interactive,E,GRIN,"Driving, Racing, Arcade, Futuristic, Futuristic",No Online Multiplayer,Mixed or average reviews,12,Mixed or average reviews,18
30,102927,Activision,https://www.metacritic.com/company/activision,E,Exakt,"Driving, Racing, GT / Street",,Mixed or average reviews,15,Mixed or average reviews,10
31,101794,Electronic Arts,https://www.metacritic.com/company/electronic-arts,E,EA Sports,"Driving, Racing, Stock Car",,Generally favorable reviews,17,Generally favorable reviews,23
32,101633,SCEA,https://www.metacritic.com/company/scea,T,SCE Santa Monica,"Driving, Racing, Futuristic",,Generally favorable reviews,21,Generally favorable reviews,23
33,101783,Acclaim,https://www.metacritic.com/company/acclaim,E,Broadsword Interactive,"Driving, Racing, Rally / Offroad",,Generally unfavorable reviews,6,Generally unfavorable reviews,15
34,101926,Lego Media,https://www.metacritic.com/company/lego-media,E,Attention To Detail,"Driving, Racing, General, Arcade, Other, Kart",,Mixed or average reviews,5,Generally favorable reviews,35
35,161343,EA Sports,https://www.metacritic.com/company/ea-sports,E,Black Box,"Driving, Racing, Stock Car",,Mixed or average reviews,8,Mixed or average reviews,11
36,101809,EA Sports,https://www.metacritic.com/company/ea-sports,E,EA Sports,"Driving, Racing, Simulation, Formula One, Formula One, Automobile",,Generally favorable reviews,8,Mixed or average reviews,14
