,id,publisher,publisher_url,rating,developer,multigenre,player,metascore_how,metascore_review,userscore_how,userscore_review
0,160656,Namco,https://www.metacritic.com/company/namco,T,Namco,"Role-Playing, Action RPG",,Mixed or average reviews,9,Generally favorable reviews,25
1,102891,Activision,https://www.metacritic.com/company/activision,M,Heuristic Park,"Role-Playing, General, General, Western-Style",No Online Multiplayer,Mixed or average reviews,23,Generally favorable reviews,17
2,101179,Interplay,https://www.metacritic.com/company/interplay,T,BioWare,"Role-Playing, PC-style RPG, PC-style RPG, Western-Style",Up to 6 Players,Universal acclaim,30,Universal acclaim,1567
3,160832,Agetec Inc.,https://www.metacritic.com/company/agetec-inc,E,Kuusou Kagaku,"Role-Playing, Console-style RPG",,Mixed or average reviews,11,Generally favorable reviews,12
4,160720,Square EA,https://www.metacritic.com/company/square-ea,M,SquareSoft,"Role-Playing, Action RPG",,Generally favorable reviews,14,Generally favorable reviews,165
5,160786,Enix Corporation,https://www.metacritic.com/company/enix-corporation,T,Tri-Ace,"Role-Playing, Console-style RPG",,Generally favorable reviews,8,Generally favorable reviews,80
6,160641,Square EA,https://www.metacritic.com/company/square-ea,T,SquareSoft,"Role-Playing, Console-style RPG",,Universal acclaim,16,Generally favorable reviews,484
7,102847,Interplay,https://www.metacritic.com/company/interplay,T,Infogrames,"Role-Playing, General, General, Action RPG",No Online Multiplayer,Mixed or average reviews,19,Generally favorable reviews,33
8,101160,Interplay,https://www.metacritic.com/company/interplay,T,Black Isle Studios,"Role-Playing, PC-style RPG, General, PC-style RPG, Western-Style",,Generally favorable reviews,29,Generally favorable reviews,268
9,100487,Blizzard Entertainment,https://www.metacritic.com/company/blizzard-entertainment,M,Blizzard North,"Role-Playing, Action RPG, Action RPG",Up to 8 Players,Generally favorable reviews,34,Generally favorable reviews,1698
10,160690,SCEA,https://www.metacritic.com/company/scea,T,SCEI,"Role-Playing, Console-style RPG",,Mixed or average reviews,12,Generally favorable reviews,387
11,102944,Activision,https://www.metacritic.com/company/activision,M,Nihilistic,"Role-Playing, PC-style RPG, PC-style RPG, Western-Style",No Online Multiplayer,Mixed or average reviews,22,Generally favorable reviews,153
12,161982,Square EA,https://www.metacritic.com/company/square-ea,T,SquareSoft,"Role-Playing, Action RPG",,Universal acclaim,19,Universal acclaim,242
13,102844,Sony Online Entertainment,https://www.metacritic.com/company/sony-online-entertainment,T,Sony Online Entertainment,"Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Fantasy",,Generally favorable reviews,11,Generally favorable reviews,32
14,100257,Interplay,https://www.metacritic.com/company/interplay,T,Black Isle Studios,"Role-Playing, General, PC-style RPG, Western-Style",No Online Multiplayer,Universal acclaim,22,Universal acclaim,1123
15,100261,Microsoft Game Studios,https://www.metacritic.com/company/microsoft-game-studios,T,Turbine Inc.,"Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Fantasy",Massively Multiplayer,Generally favorable reviews,15,Generally favorable reviews,26
16,100274,Monolith Productions,https://www.metacritic.com/company/monolith-productions,T,Valkyrie Studios,"Role-Playing, General, General",No Online Multiplayer,Mixed or average reviews,20,Generally favorable reviews,78
17,160667,Square EA,https://www.metacritic.com/company/square-ea,T,SquareSoft,"Role-Playing, Console-style RPG",,Generally favorable reviews,14,Generally favorable reviews,52
18,160680,SCEA,https://www.metacritic.com/company/scea,E,Game Arts,"Role-Playing, Console-style RPG",,Generally favorable reviews,14,Generally favorable reviews,150
19,160671,Square EA,https://www.metacritic.com/company/square-ea,T,SquareSoft,"Role-Playing, Console-style RPG",,Universal acclaim,24,Generally favorable reviews,1208
20,160762,Konami,https://www.metacritic.com/company/konami,T,Konami,"Role-Playing, Console-style RPG",,Generally favorable reviews,8,Universal acclaim,316
21,160755,Enix Corporation,https://www.metacritic.com/company/enix-corporation,E,Tri-Ace,"Role-Playing, Console-style RPG",,Generally favorable reviews,13,Generally favorable reviews,73
22,160694,Working Designs,https://www.metacritic.com/company/working-designs,T,Game Arts,"Role-Playing, Console-style RPG",,Generally favorable reviews,15,Generally favorable reviews,67
23,100230,Sony Online Entertainment,https://www.metacritic.com/company/sony-online-entertainment,T,Sony Online Entertainment,"Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Fantasy, Fantasy",Massively Multiplayer,Generally favorable reviews,17,Generally favorable reviews,72
24,100152,Interplay,https://www.metacritic.com/company/interplay,T,BioWare,"Role-Playing, PC-style RPG, PC-style RPG, Western-Style",Online Multiplayer Up to 6 Players,Universal acclaim,16,Generally favorable reviews,852
25,160635,Square EA,https://www.metacritic.com/company/square-ea,E,SquareSoft,"Role-Playing, Action RPG",,Generally favorable reviews,12,Generally favorable reviews,37
26,100118,Interplay,https://www.metacritic.com/company/interplay,M,Black Isle Studios,"Role-Playing, First-Person, First-Person, PC-style RPG, Western-Style",No Online Multiplayer,Generally favorable reviews,15,Universal acclaim,1640
27,160796,Square EA,https://www.metacritic.com/company/square-ea,T,SquareSoft,"Role-Playing, Console-style RPG",,Generally favorable reviews,15,Universal acclaim,392
28,160719,Square EA,https://www.metacritic.com/company/square-ea,M,SquareSoft,"Role-Playing, General",,Generally favorable reviews,17,Generally favorable reviews,197
29,160623,Working Designs,https://www.metacritic.com/company/working-designs,T,Matrix Software,"Role-Playing, Action RPG",,Generally favorable reviews,9,Generally favorable reviews,98
30,100543,Interplay,https://www.metacritic.com/company/interplay,M,Black Isle Studios,"Role-Playing, First-Person, First-Person, PC-style RPG, PC-style RPG, Western-Style",No Online Multiplayer,Generally favorable reviews,12,Generally favorable reviews,1455
31,101060,Electronic Arts,https://www.metacritic.com/company/electronic-arts,M,Origin,"Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Fantasy, Fantasy",,Mixed or average reviews,6,Generally favorable reviews,62
32,160670,SCEA,https://www.metacritic.com/company/scea,T,SquareSoft,"Role-Playing, Console-style RPG",,Universal acclaim,20,Generally favorable reviews,2541
33,100002,Blizzard Entertainment,https://www.metacritic.com/company/blizzard-entertainment,M,Blizzard Entertainment,"Role-Playing, Action RPG, Action RPG",Up to 4 Players,Universal acclaim,12,Generally favorable reviews,1378
34,161601,Infogrames,https://www.metacritic.com/company/infogrames,E,Pronto Games,"Role-Playing, Console-style RPG",,Mixed or average reviews,9,Mixed or average reviews,18
35,161101,Sega,https://www.metacritic.com/company/sega,T,Sonic Team,"Role-Playing, Massively Multiplayer Online, Sci-Fi",,Generally favorable reviews,31,Generally favorable reviews,83
36,102172,Sony Online Entertainment,https://www.metacritic.com/company/sony-online-entertainment,T,Sony Online Entertainment,"Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Fantasy, Fantasy",,Generally favorable reviews,10,Mixed or average reviews,7
