,developer,id,metascore_how,metascore_review,multigenre,player,publisher,publisher_url,rating,userscore_how,userscore_review
0,Attention To Detail,160831,Mixed or average reviews,10,"Sports, Olympic Sports",,Eidos Interactive,https://www.metacritic.com/company/eidos-interactive,E,Mixed or average reviews,5
1,High Voltage Software,160714,Generally unfavorable reviews,9,"Sports, Traditional, Football, Sim",,Acclaim,https://www.metacritic.com/company/acclaim,E,No user score yet,
2,Wow Entertainment,160811,Generally unfavorable reviews,21,"Sports, Traditional, Baseball, Sim",,Sega,https://www.metacritic.com/company/sega,E,Mixed or average reviews,5
3,Vingt-et-un Systems,160863,Mixed or average reviews,8,"Sports, Nature, Fishing",,Take-Two Interactive,https://www.metacritic.com/company/take-two-interactive,E,No user score yet,
4,Infogrames,160723,Mixed or average reviews,12,"Sports, Traditional, Golf, Sim",,Infogrames,https://www.metacritic.com/company/infogrames,E,Generally favorable reviews,6
5,Hitmaker,160789,Universal acclaim,23,"Sports, Traditional, Tennis",,SegaSoft,https://www.metacritic.com/company/segasoft,E,Generally favorable reviews,19
6,KCET,163187,Universal acclaim,4,"Sports, Traditional, Soccer, Sim",,Konami,https://www.metacritic.com/company/konami,E,Generally favorable reviews,71
7,Neversoft Entertainment,160778,Universal acclaim,18,"Sports, Alternative, Skateboarding",,Activision,https://www.metacritic.com/company/activision,T,Generally favorable reviews,126
8,Midway,160713,Generally favorable reviews,14,"Sports, Traditional, Football, Arcade",,Midway,https://www.metacritic.com/company/midway,E,Generally favorable reviews,21
9,Camelot Software Planning,160695,Universal acclaim,14,"Sports, Traditional, Golf, Arcade",,Nintendo,https://www.metacritic.com/company/nintendo,E,Generally favorable reviews,56
10,Konami Computer Entertainment Osaka,163185,Universal acclaim,5,"Sports, Traditional, Soccer, Sim",,Konami,https://www.metacritic.com/company/konami,E,Generally favorable reviews,67
11,Wow Entertainment,161799,Mixed or average reviews,7,"Sports, Alternative, Other",,Agetec Inc.,https://www.metacritic.com/company/agetec-inc,E,Generally favorable reviews,4
12,Creative Assembly,101743,Mixed or average reviews,14,"Sports, Alternative, Rugby",,Electronic Arts,https://www.metacritic.com/company/electronic-arts,E,Generally favorable reviews,35
13,Hot-B,103219,Mixed or average reviews,5,"Sports, Traditional, Soccer, Sim",,Hot B,https://www.metacritic.com/company/hot-b,E,Generally unfavorable reviews,4
14,NuFX,101542,Generally favorable reviews,22,"Sports, Traditional, Basketball, Arcade",,Electronic Arts,https://www.metacritic.com/company/electronic-arts,E,Generally favorable reviews,47
15,Atlus Co.,161010,Generally favorable reviews,11,"Sports, Alternative, Other",,Atlus Co.,https://www.metacritic.com/company/atlus-co,E,Generally favorable reviews,5
16,Vicarious Visions,161008,Universal acclaim,16,"Sports, Alternative, Skateboarding",,Activision,https://www.metacritic.com/company/activision,E,Mixed or average reviews,46
17,Midway,161013,Mixed or average reviews,12,"Sports, Traditional, Boxing",,Midway,https://www.metacritic.com/company/midway,E,Mixed or average reviews,6
18,"Z-Axis, Ltd.",161045,Mixed or average reviews,11,"Sports, Alternative, Biking",,Acclaim,https://www.metacritic.com/company/acclaim,E,Mixed or average reviews,10
19,Idol Minds,101675,Generally favorable reviews,16,"Sports, Alternative, Snowboarding",,SCEA,https://www.metacritic.com/company/scea,E,Mixed or average reviews,6
20,Carapace,101680,Mixed or average reviews,5,"Sports, Traditional, Team, Volleyball, Volleyball",,"Atari, Infogrames",https://www.metacritic.com/company/atari,E,No user score yet,
21,Shaba Games,161967,Generally favorable reviews,15,"Sports, Alternative, Biking",,Activision,https://www.metacritic.com/company/activision,E,Generally favorable reviews,19
22,989 Sports,163140,Generally favorable reviews,5,"Sports, Traditional, Baseball, Sim",,SCEA,https://www.metacritic.com/company/scea,E,Mixed or average reviews,11
23,Konami,101439,Generally favorable reviews,8,"Sports, Traditional, Soccer, Sim",,Konami,https://www.metacritic.com/company/konami,E,No user score yet,
24,Sports Mogul,101803,Generally favorable reviews,5,"Sports, Traditional, Team, Baseball, Management, Sim",,Sports Mogul,https://www.metacritic.com/company/sports-mogul,E,No user score yet,
25,Blue Shift,160888,Generally unfavorable reviews,8,"Sports, Alternative, Biking",,THQ,https://www.metacritic.com/company/thq,T,No user score yet,
26,3DO,101379,Generally favorable reviews,17,"Sports, Traditional, Baseball, Sim",,3DO,https://www.metacritic.com/company/3do,E,Mixed or average reviews,7
27,Kush Games,101236,Generally unfavorable reviews,10,"Sports, Traditional, Ice Hockey, Sim",,Konami,https://www.metacritic.com/company/konami,E,No user score yet,
28,3DO,101522,Generally favorable reviews,12,"Sports, Traditional, Team, Baseball, Sim, Sim",,3DO,https://www.metacritic.com/company/3do,E,Generally favorable reviews,15
29,3DO,160925,Mixed or average reviews,6,"Sports, Traditional, Baseball, Sim",,3DO,https://www.metacritic.com/company/3do,E,No user score yet,
30,Acclaim Studios Austin,101474,Generally favorable reviews,16,"Sports, Traditional, Baseball, Sim",,Acclaim,https://www.metacritic.com/company/acclaim,E,Generally favorable reviews,8
31,EA Sports,101481,Mixed or average reviews,16,"Sports, Traditional, Baseball, Sim",,EA Sports,https://www.metacritic.com/company/ea-sports,E,No user score yet,
32,EA Sports,160975,Generally favorable reviews,8,"Sports, Traditional, Baseball, Sim",,EA Sports,https://www.metacritic.com/company/ea-sports,E,Mixed or average reviews,6
33,Treyarch,101562,Mixed or average reviews,10,"Sports, Traditional, Team, Baseball, Sim, Sim",,EA Sports,https://www.metacritic.com/company/ea-sports,E,Mixed or average reviews,7
34,Stormfront Studios,102933,Mixed or average reviews,19,"Sports, Traditional, Golf, Sim",,EA Sports,https://www.metacritic.com/company/ea-sports,E,No user score yet,
35,Eurocom Entertainment Software,101415,Mixed or average reviews,10,"Sports, Traditional, Basketball, Arcade",,Midway,https://www.metacritic.com/company/midway,E,No user score yet,
36,989 Sports,101487,Mixed or average reviews,12,"Sports, Traditional, Basketball, Sim",,SCEA,https://www.metacritic.com/company/scea,E,No user score yet,
37,Eurocom Entertainment Software,160977,Mixed or average reviews,10,"Sports, Traditional, Basketball, Arcade",,Midway,https://www.metacritic.com/company/midway,E,Generally favorable reviews,5
38,Konami,102897,Mixed or average reviews,8,"Sports, Traditional, Basketball, Sim",,Konami,https://www.metacritic.com/company/konami,E,No user score yet,
39,EA Sports,102869,Generally favorable reviews,13,"Sports, Traditional, Team, Basketball, Sim, Sim",,EA Sports,https://www.metacritic.com/company/ea-sports,E,Mixed or average reviews,15
40,Black Ops Entertainment,102938,Generally favorable reviews,18,"Sports, Traditional, Boxing",,EA Sports,https://www.metacritic.com/company/ea-sports,T,No user score yet,
41,989 Sports,101489,Mixed or average reviews,11,"Sports, Traditional, Ice Hockey, Sim",,SCEA,https://www.metacritic.com/company/scea,E,Generally unfavorable reviews,4
42,EA Sports,102934,Mixed or average reviews,18,"Sports, Traditional, Basketball, Sim",,EA Sports,https://www.metacritic.com/company/ea-sports,E,Generally favorable reviews,4
43,989 Sports,101426,Generally unfavorable reviews,10,"Sports, Traditional, Basketball, Sim",,SCEA,https://www.metacritic.com/company/scea,E,No user score yet,
44,989 Sports,101427,Mixed or average reviews,9,"Sports, Traditional, Football, Sim",,SCEA,https://www.metacritic.com/company/scea,E,No user score yet,
45,"Z-Axis, Ltd.",101408,Mixed or average reviews,13,"Sports, Alternative, Individual, Biking, Biking",,Acclaim,https://www.metacritic.com/company/acclaim,E,Generally favorable reviews,11
46,Krome Studios,161980,Mixed or average reviews,9,"Sports, Alternative, Surfing",,Mattel,https://www.metacritic.com/company/mattel,E,Generally favorable reviews,5
47,Black Ops Entertainment,160938,Mixed or average reviews,9,"Sports, Traditional, Basketball, Sim",,EA Sports,https://www.metacritic.com/company/ea-sports,E,No user score yet,
48,Krome Studios,160940,Mixed or average reviews,5,"Sports, Alternative, Surfing",,Mattel,https://www.metacritic.com/company/mattel,E,No user score yet,
