,id,publisher,publisher_url,rating,developer,multigenre,player,metascore_how,metascore_review,userscore_how,userscore_review
0,161682,Bam Entertainment,https://www.metacritic.com/company/bam-entertainment,T,Kuju Entertainment,"Action, Shooter, Third-Person, Fantasy",,Mixed or average reviews,9,Generally favorable reviews,5
1,163154,Namco,https://www.metacritic.com/company/namco,M,Namco,"Action, Shooter, Third-Person, Modern",,Generally favorable reviews,16,Generally favorable reviews,9
2,161338,Simon & Schuster,https://www.metacritic.com/company/simon-schuster,T,Simon & Schuster,"Action, Shooter, Third-Person, Sci-Fi",,Generally unfavorable reviews,11,No user score yet,
3,102149,LucasArts,https://www.metacritic.com/company/lucasarts,T,LucasArts,"Action, Shooter, Third-Person, Sci-Fi",,Mixed or average reviews,32,Generally favorable reviews,55
4,161186,Activision,https://www.metacritic.com/company/activision,T,Treyarch,"Action, Shooter, Third-Person, Sci-Fi",,Mixed or average reviews,19,Generally favorable reviews,5
5,101828,Activision,https://www.metacritic.com/company/activision,T,Treyarch,"Action, Shooter, Third-Person, Sci-Fi",,Mixed or average reviews,26,Mixed or average reviews,18
6,101583,Namco,https://www.metacritic.com/company/namco,M,Namco,"Action, Shooter, Third-Person, Modern",,Mixed or average reviews,20,Generally favorable reviews,42
7,161558,Midway,https://www.metacritic.com/company/midway,T,Kuju Entertainment,"Action, Shooter, Third-Person, Sci-Fi",,Mixed or average reviews,5,No user score yet,
8,163164,Midway,https://www.metacritic.com/company/midway,T,Inevitable Entertainment,"Action, Shooter, Third-Person, Sci-Fi",,Mixed or average reviews,14,Mixed or average reviews,5
9,101598,cdv Software,https://www.metacritic.com/company/cdv-software,T,Radon Labs,"Strategy, Adventure, Real-Time, 3D, Fantasy, Third-Person, General, Fantasy",,Mixed or average reviews,13,Generally favorable reviews,26
10,161581,Bam Entertainment,https://www.metacritic.com/company/bam-entertainment,T,Crawfish Interactive,"Action, Shooter, Third-Person, Fantasy",,Mixed or average reviews,9,No user score yet,
11,102252,Got Game Entertainment,https://www.metacritic.com/company/got-game-entertainment,T,Prograph,"Adventure, 3D, Fantasy, Third-Person, Fantasy",No Online Multiplayer,Mixed or average reviews,9,Mixed or average reviews,6
12,102509,DreamCatcher Interactive,https://www.metacritic.com/company/dreamcatcher-interactive,T,Galilea Multimedia,"Adventure, 3D, Modern, Third-Person, Modern",,Mixed or average reviews,9,No user score yet,
13,161485,LucasArts,https://www.metacritic.com/company/lucasarts,T,Pandemic Studios,"Action, Shooter, Third-Person, Sci-Fi",,Mixed or average reviews,30,Mixed or average reviews,20
14,161297,TDK Mediactive,https://www.metacritic.com/company/tdk-mediactive,T,Vicious Cycle,"Action, Shooter, Third-Person, Sci-Fi",,Mixed or average reviews,11,Generally favorable reviews,5
15,161557,Midway,https://www.metacritic.com/company/midway,T,7 Studios,"Action, Shooter, Third-Person, Sci-Fi",,Mixed or average reviews,15,No user score yet,
16,102432,Black Label Games,https://www.metacritic.com/company/black-label-games,T,Surreal Software,"Action, Action Adventure, Shooter, General, Fantasy, Third-Person, Fantasy",,Mixed or average reviews,16,Mixed or average reviews,54
17,101936,Bam Entertainment,https://www.metacritic.com/company/bam-entertainment,M,Kuju Entertainment,"Action, Shooter, Third-Person, Sci-Fi",,Mixed or average reviews,16,Generally favorable reviews,6
18,102326,Midway,https://www.metacritic.com/company/midway,T,7 Studios,"Action, Shooter, Third-Person, Sci-Fi",,Mixed or average reviews,24,Generally favorable reviews,7
19,161252,Bam Entertainment,https://www.metacritic.com/company/bam-entertainment,M,Bam Entertainment,"Action, Shooter, Third-Person, Sci-Fi",,Mixed or average reviews,13,No user score yet,
20,161292,Majesco Games,https://www.metacritic.com/company/majesco-games,M,Terminal Reality,"Action, Shooter, Third-Person, Fantasy",,Generally favorable reviews,20,Generally favorable reviews,8
21,161293,Majesco Games,https://www.metacritic.com/company/majesco-games,M,Terminal Reality,"Action, Shooter, Third-Person, Fantasy",,Mixed or average reviews,17,Generally favorable reviews,10
22,101994,Majesco Games,https://www.metacritic.com/company/majesco-games,M,Terminal Reality,"Action, Shooter, Third-Person, Fantasy",,Generally favorable reviews,18,Generally favorable reviews,46
23,102475,Gotham Games,https://www.metacritic.com/company/gotham-games,T,Pivotal Games,"Action, Shooter, Third-Person, Tactical, Modern",,Mixed or average reviews,10,Generally favorable reviews,46
24,161196,Gotham Games,https://www.metacritic.com/company/gotham-games,T,SCi,"Action, Shooter, Third-Person, Tactical, Modern",,Mixed or average reviews,14,Generally favorable reviews,19
25,101548,Codemasters,https://www.metacritic.com/company/codemasters,T,Wide Games,"Action, Shooter, Shooter, Third-Person, Historic, Historic, Arcade",,Mixed or average reviews,12,Generally favorable reviews,22
26,101600,Gotham Games,https://www.metacritic.com/company/gotham-games,T,Pivotal Games,"Action, Shooter, Shooter, Third-Person, Tactical, Modern, Modern",No Online Multiplayer,Mixed or average reviews,4,Generally favorable reviews,30
27,161425,Universal Interactive,https://www.metacritic.com/company/universal-interactive,E,Digital Eclipse,"Action, Shooter, Third-Person, Fantasy",,Mixed or average reviews,9,No user score yet,
